"Address A","Address B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"2.16.238.12","192.168.119.140",76,50755,44,47738,32,3017,114.447310752,21.286142886999997,17941.437395557405,1133.8832088147115
"3.228.65.180","192.168.119.140",33,11851,13,6896,20,4955,193.423683578,14.422969179999996,3825.0099068713407,2748.3938643485344
"8.238.16.250","192.168.119.140",21,6332,9,4987,12,1345,221.150696189,1.4604275259999895,27318.027967654376,7367.705557749175
"13.227.211.2","192.168.119.140",35,9307,16,7182,19,2125,21.986045895,79.367053761,723.9275905720111,214.19467139592365
"13.227.211.100","192.168.119.140",35,9305,16,7179,19,2126,21.98742016,79.36442799,723.6491392243953,214.30255885096312
"13.227.216.166","192.168.119.140",26,5788,12,4328,14,1460,112.258737368,50.440772267,686.4288242202856,231.55870687652887
"13.227.219.34","192.168.119.140",35,9242,16,7133,19,2109,2.027965224,99.325420004,574.5155670894917,169.8658812549752
"13.227.219.40","192.168.119.140",336,239123,179,226755,157,12368,159.943705605,47.68263414900002,38044.03914287615,2075.0531459905724
"13.227.219.41","192.168.119.140",26,6051,12,4593,14,1458,89.654573691,8.09195573000001,4540.805860291077,1441.4315141093816
"13.227.219.51","192.168.119.140",22,7611,10,6411,12,1200,3.212974647,1.5445671500000002,33205.41939533027,6215.3335321161
"13.227.219.59","192.168.119.140",62,23865,27,19673,35,4192,264.888578308,7.30697189,21538.881272471954,4589.589299761217
"13.227.219.60","192.168.119.140",77,28540,37,24128,40,4412,162.875978938,44.75060066,4313.327578919697,788.7268434264631
"13.227.219.69","192.168.119.140",29,9424,14,7611,15,1813,264.371507693,2.351127593000001,25897.360985971794,6168.954863692927
"13.227.219.76","192.168.119.140",76,45191,40,41965,36,3226,2.966364247,98.386928013,3412.241918516257,262.3112696088036
"13.227.219.103","192.168.119.140",114,60668,61,55132,53,5536,43.429087854,57.923921437999994,7614.4015986917075,764.5891179416182
"13.227.219.107","192.168.119.140",25,7933,12,6536,13,1397,260.17994758,1.7329492360000245,30172.839985024963,6449.121398268035
"13.227.219.111","192.168.119.140",38,11910,18,7257,20,4653,98.016774163,3.337217886000005,17396.526682765092,11154.201275307425
"13.227.219.128","192.168.119.140",35,9219,16,7170,19,2049,2.9649319629999997,98.371406341,583.0962688605282,166.63378729361537
"15.188.95.229","192.168.119.140",40,9279,19,5792,21,3487,117.338623875,31.302127231000014,1480.2827826382104,891.1854390641298
"15.236.176.210","192.168.119.140",35,9260,16,5748,19,3512,130.667841389,31.04774118200001,1481.0739283880437,904.9289555495493
"23.198.19.183","192.168.119.140",93,58503,54,54177,39,4326,111.196269647,54.677168975000015,7926.818599517659,632.9515709897815
"34.192.74.211","192.168.119.140",47,18125,17,7549,30,10576,103.009771603,62.929208076999984,959.6815508325567,1344.4949107968102
"34.200.179.164","192.168.119.140",6,412,2,140,4,272,20.271211182,1.0406349410000004,1076.2659948009564,2091.0310756132867
"34.225.226.14","192.168.119.140",27,8071,11,6540,16,1531,19.206251171,4.02645493,12994.060758057461,3041.881807429048
"35.163.228.239","192.168.119.140",47,15668,20,12804,27,2864,0.002207332,2.291739697,44696.17563202685,9997.64503359301
"44.233.28.196","192.168.119.140",80,26931,39,15403,41,11528,0.001292389,12.369037456000001,9962.294999779973,7456.036925109623
"47.74.138.66","192.168.119.140",277,99706,122,85938,155,13768,143.00014364,64.80566772,10608.701741496383,1699.6044308329517
"47.88.128.4","192.168.119.140",122,41855,55,33226,67,8629,143.553091009,22.473139370999974,11827.80899508,3071.755968775818
"47.88.198.68","192.168.119.140",107,36738,47,30749,60,5989,144.060345896,63.73055902799999,3859.875132931496,751.7900475178617
"47.88.198.69","192.168.119.140",37,12888,16,10733,21,2155,147.133088556,18.89339000000001,4544.658211152152,912.4884417248567
"47.88.251.189","192.168.119.140",54,20918,24,18364,30,2554,144.062526203,6.503520297999984,22589.61197448397,3141.68312910216
"47.91.64.6","192.168.119.140",74,24164,34,20358,40,3806,180.636640602,27.136444401000006,6001.670579731452,1122.0335114676247
"47.91.64.21","192.168.119.140",73,23452,32,19093,41,4359,137.881930135,27.991230414,5456.851940442178,1245.818761241683
"47.246.48.251","192.168.119.140",177,56929,77,47619,100,9310,141.987409669,65.644369608,5803.26998758434,1134.598449871064
"47.246.48.252","192.168.119.140",414,245319,203,229838,211,15481,141.72173091,65.90570827000002,27899.009786333936,1879.1695476911375
"47.254.175.252","192.168.119.140",30,9290,13,7338,17,1952,152.560198722,13.312752609,4409.606467133893,1173.0106055935348
"52.25.161.19","192.168.119.140",115,29059,53,15363,62,13696,3.309357902,254.76372255500002,482.4234736696733,430.0769312881498
"52.34.224.144","192.168.119.140",26,8089,11,6487,15,1602,0.00301337,2.2770789909999998,22790.601558011567,5628.263248949364
"52.46.136.68","192.168.119.140",29,9843,14,7070,15,2773,28.617706922,56.326763915,1004.1407684160937,393.84474551878753
"52.46.137.70","192.168.119.140",25,7557,13,6431,12,1126,23.784597463,55.539753786000006,926.3274770398529,162.19013203963215
"52.46.145.203","192.168.119.140",25,8636,11,6503,14,2133,21.984537517,42.144891268,1234.4082149643855,404.88893164985916
"52.46.153.141","192.168.119.140",111,77116,46,10646,65,66470,18.718263616,70.977869621,1199.9233064442612,7491.912660092997
"52.49.80.169","192.168.119.140",22,7945,9,6013,13,1932,31.082399088,47.237910482000004,1018.3346280384274,327.19482810082184
"52.72.230.184","192.168.119.140",21,7659,9,6400,12,1259,19.20702674,4.022019482000001,12729.923420097442,2504.214622797294
"52.88.93.2","192.168.119.140",165,47700,64,25463,101,22237,0,98.170464442,2075.00291618107,1812.1132563766425
"52.222.139.10","192.168.119.140",28,8105,13,6586,15,1519,174.170832611,33.449873922999984,1575.132992168678,363.28985956638655
"52.222.139.41","192.168.119.140",11,1086,5,352,6,734,112.144540005,0.36196921900000234,7779.667032958351,16222.373869862018
"52.222.139.54","192.168.119.140",95,31443,44,24932,51,6511,113.552583424,52.308975796,3813.035850249856,995.7755663796252
"52.222.139.89","192.168.119.140",28,8112,13,6586,15,1526,174.169423499,33.446091844999984,1575.311107921764,365.0052764483164
"52.222.139.94","192.168.119.140",32,9056,15,7088,17,1968,128.716258103,37.145386742,1526.5421893127102,423.8480570777954
"52.222.139.102","192.168.119.140",22,7569,10,6373,12,1196,264.889422682,1.9674391260000448,25913.88944452599,4863.174607822546
"52.222.139.110","192.168.119.140",57,19653,28,16034,29,3619,264.887515965,3.123057652,41072.56871094098,9270.402030990108
"54.145.82.54","192.168.119.140",173,61378,68,19976,105,41402,18.722555991,82.70880263199999,1932.1764421018274,4004.6039775680747
"54.152.149.108","192.168.119.140",39,14890,16,7289,23,7601,223.449066076,29.20580146499998,1996.5896183291077,2082.0520906735555
"54.187.209.159","192.168.119.140",21,7579,9,6317,12,1262,0.073753679,2.155089936,23449.601409117247,4684.723282935882
"54.192.85.4","192.168.119.140",28,8129,13,6602,15,1527,78.993474216,4.737699845999998,11148.025775544249,2578.4664282423614
"54.216.11.244","192.168.119.140",39,18053,18,14819,21,3234,33.541598586,44.773528503,2647.8145449728527,577.8414358892102
"64.210.135.112","192.168.119.140",89,38424,39,33177,50,5247,207.728683924,37.10178707,7153.725493039977,1131.3740742677385
"64.210.135.115","192.168.119.140",16,4473,6,3374,10,1099,208.130744259,3.0312852679999764,8904.473717780167,2900.4198624304695
"64.210.135.117","192.168.119.140",32,8946,12,6748,20,2198,208.131786966,3.040566556000016,17754.585866069006,5783.13274060754
"64.210.135.118","192.168.119.140",16,4473,6,3374,10,1099,208.132963683,3.0393089019999877,8880.966321731292,2892.762889028657
"64.210.135.119","192.168.119.140",451,312358,244,294839,207,17519,207.396565413,43.508520828,54212.64513506618,3221.254074668631
"66.254.114.41","192.168.119.140",99,69479,61,64716,38,4763,205.057839188,13.799005047000009,37519.22680197565,2761.3585088356826
"66.254.114.181","192.168.119.140",19,5999,8,4863,11,1136,207.080286465,16.258956627000003,2392.7734658812674,558.953456146642
"69.192.67.191","192.168.119.140",211,78488,100,67002,111,11486,141.723371739,66.04942467100003,8115.37727497187,1391.2006116284126
"87.248.116.11","192.168.119.140",83,19711,35,14148,48,5563,28.93726384,72.419512315,1562.8937061559939,614.530512252318
"87.248.116.12","192.168.119.140",23,7307,10,6051,13,1256,35.546784086,1.0751382919999983,45024.90550304023,9345.774468983396
"91.198.174.192","192.168.119.140",48,14004,19,10754,29,3250,98.334761457,45.04730544799999,1909.8145636992733,577.17103701159
"91.198.174.208","192.168.119.140",20,5851,8,4659,12,1192,101.345764836,61.109766269000005,609.9188767296511,156.04707041462632
"95.101.125.221","192.168.119.140",25,5504,12,4066,13,1438,125.801753338,10.588139575000014,3072.1166612501856,1086.4987109881374
"100.20.75.68","192.168.119.140",34,9698,14,7485,20,2213,1.9555147640000001,99.545708635,601.5327111644706,177.84794787000314
"104.16.47.182","192.168.119.140",64,14737,28,10592,36,4145,166.062189366,41.56544580299999,2038.6164123345977,797.7780427801083
"104.16.49.182","192.168.119.140",149,104739,82,99725,67,5014,169.735969876,37.891870345,21054.648206492482,1058.5911868373357
"104.16.65.85","192.168.119.140",183,93179,109,79491,74,13688,85.402423399,80.459625976,7903.690730425326,1360.9807238311491
"104.18.169.12","192.168.119.140",22,4991,10,3785,12,1206,89.584744502,11.201114008999994,2703.302544342491,861.3428978803286
"104.18.170.12","192.168.119.140",20,4881,8,3675,12,1206,89.583476017,8.46671308900001,3472.421905756628,1139.5213111136036
"104.73.132.208","192.168.119.140",54,13301,26,9346,28,3955,125.797548141,40.063936079,1866.2170350054685,789.7376817297911
"104.78.177.94","192.168.119.140",112,69430,64,64969,48,4461,119.150083544,46.72353986899999,11123.985927805175,763.8119907023179
"104.81.140.89","192.168.119.140",56,26550,27,23808,29,2742,176.657552884,31.122680701999997,6119.781320371945,704.8236046900149
"104.81.141.250","192.168.119.140",26,5927,13,4555,13,1372,78.994854211,11.584437366000003,3145.5994666560478,947.4780391332815
"104.99.232.36","192.168.119.140",91,79509,60,76557,31,2952,125.799511209,21.009980530000007,29150.717161564156,1124.0372148978852
"104.99.232.128","192.168.119.140",32,7313,15,5394,17,1919,129.182569382,36.67868285899999,1176.487175558749,418.55374302878
"104.99.235.115","192.168.119.140",147,118021,92,111970,55,6051,124.552358027,41.31416128699999,21681.66972523927,1171.7047736663644
"142.250.179.130","192.168.119.140",48,14763,20,11796,28,2967,78.951362649,83.186652329,1134.4127616384683,285.3342373500623
"142.250.179.138","192.168.119.140",109,49088,56,42701,53,6387,74.653083105,26.701590088000003,12793.545211134167,1913.5939032695705
"142.250.179.142","192.168.119.140",82,42459,42,38429,40,4030,54.751644707,46.60051714000001,6597.180007174486,691.8378159440313
"142.250.179.150","192.168.119.140",24,7579,10,6112,14,1467,64.275555975,3.631361040999991,13464.92388058864,3231.8460950300287
"142.250.179.174","192.168.119.140",886,573426,449,536388,437,37038,55.852106691,45.504181653,94301.31131073963,6511.577381162841
"142.250.179.195","192.168.119.140",27,7451,11,5807,16,1644,9.176916345,61.38150445,756.8403612173113,214.26649799229546
"142.251.36.3","192.168.119.140",160,90692,85,75761,75,14931,253.26702664,11.368383256999977,53313.47354310974,10507.034931853745
