"Address A","Address B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"44.229.60.175","192.168.119.140",84,27255,41,15559,43,11696,0,12.373647441,10059.442908286108,7561.87700079146
"52.88.93.2","192.168.119.140",68,23247,29,19121,39,4126,0.008395278,2.876550354,53177.58466744365,11474.855621456645
"35.163.228.239","192.168.119.140",21,7579,9,6317,12,1262,0.011407941,2.5497036630000003,19820.342549352958,3959.6758425333915
"52.13.18.22","192.168.119.140",21,7579,9,6317,12,1262,0.094869524,2.460268317,20540.849000414128,4103.617451087957
"100.20.75.68","192.168.119.140",34,9699,14,7486,20,2213,0.903564212,82.97832506099999,721.7306441890028,213.35692166581129
"13.227.219.76","192.168.119.140",35,9219,16,7170,19,2049,1.608703631,82.11321193,698.5477568323395,199.62682758012045
"13.227.219.101","192.168.119.140",76,45189,40,41963,36,3226,1.610205718,82.107171237,4088.607547214116,314.3209004912122
"13.227.219.51","192.168.119.140",64,19665,30,13840,34,5825,3.516594851,151.21108968599998,732.2214278722383,308.1784550112564
"192.168.119.140","198.143.164.252",61,32604,31,3073,30,29531,3.660354744,80.176892013,306.62201268682145,2946.584658852758
"100.20.213.74","192.168.119.140",113,28968,50,15207,63,13761,3.9069467319999998,252.446617845,481.907822883552,436.08427373581634
"142.250.179.195","192.168.119.140",49,14496,21,11511,28,2985,7.290239258,218.889277133,420.70585277709205,109.09625319604028
"192.168.119.140","216.58.208.106",28,7862,16,1647,12,6215,7.291911814,62.673057446,210.23387938832613,793.3233517901924
"151.101.1.32","192.168.119.140",47,9709,23,6987,24,2722,8.568410169,233.19716814699999,239.69416285863713,93.38020771449982
"52.222.142.236","192.168.119.140",438,283916,242,262854,196,21062,11.665061188,143.06386002,14698.554895037985,1177.767746350788
"151.101.2.137","192.168.119.140",114,23622,56,15788,58,7834,14.447388553,210.613127348,599.6967121204441,297.56929584187736
"50.16.0.241","192.168.119.140",100,24113,41,11552,59,12561,16.459989039,67.35281546499999,1372.1178448438304,1491.96435674198
"52.86.177.211","192.168.119.140",21,7659,9,6400,12,1259,16.941241421,2.3608299539999997,21687.288367910976,4266.296258624988
"54.83.162.52","192.168.119.140",21,7659,9,6400,12,1259,16.986492825,2.417289769,21180.74574947659,4166.649827904848
"52.46.145.203","192.168.119.140",27,8752,13,6611,14,2141,16.99429654,54.903167605,963.2959682855078,311.9674282407007
"54.156.197.243","192.168.119.140",21,7659,9,6400,12,1259,17.372880411,2.7871008229999994,18370.343683831637,3613.791046553755
"18.233.145.62","192.168.119.140",21,7659,9,6400,12,1259,17.373957132,2.821102046,18148.93582903027,3570.2359701170485
"13.227.211.100","192.168.119.140",35,9312,16,7180,19,2132,17.493056722,66.24796826600002,867.0454581998031,257.45695221197496
"13.227.211.173","192.168.119.140",35,9312,16,7181,19,2131,17.494104693,66.23666802700001,867.3141586255896,257.38009636974397
"87.248.116.11","192.168.119.140",31,8709,13,6647,18,2062,24.723145039,59.018218804,901.0099097805364,279.506910481039
"52.212.25.194","192.168.119.140",22,7953,9,6013,13,1940,25.872280655,56.012559611,858.8073877372517,277.0807138217642
"54.216.11.244","192.168.119.140",34,16786,15,14445,19,2341,27.499993065,44.524847767,2595.4047188376544,420.6190686603634
"87.248.116.12","192.168.119.140",92,54084,49,49821,43,4263,28.589385283,55.151275068000004,7226.813877078574,618.3719226427804
"104.18.40.122","192.168.119.140",231,185472,147,176572,84,8900,37.699782494,46.03256533500001,30686.449684479652,1546.731090953656
