"Address A","Address B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"192.168.119.140","198.143.164.252",106,47666,54,5711,52,41955,0,56.839996488,803.8001904107366,5904.996846205998
"142.250.179.138","192.168.119.140",97,23279,43,16970,54,6309,0.819485301,242.951958181,558.7936027206595,207.7447754604974
"142.250.179.173","192.168.119.140",38,10308,17,7949,21,2359,0.820410951,55.891477788,1137.776321485157,337.654339210402
"142.251.36.36","192.168.119.140",95,27445,45,21879,50,5566,0.886674639,242.955882955,720.427091005733,183.2760724227757
"142.250.179.195","192.168.119.140",37,12737,16,10461,21,2276,2.102392937,265.04056267600004,315.75544194080493,68.69891844539451
"192.168.119.140","216.58.208.106",106,35193,59,12990,47,22203,2.103526561,205.572719468,505.51454623421694,864.044608932896
"172.217.168.232","192.168.119.140",88,66571,52,63182,36,3389,2.202108084,54.513854194,9272.065009405122,497.3414630254496
"192.0.76.3","192.168.119.140",32,8728,14,6707,18,2021,2.831471664,54.033061316,993.0216555046762,299.22420840538996
"142.251.36.46","192.168.119.140",120,65972,65,59915,55,6057,3.36647731,200.720238195,2388.0003546744497,241.4106342028397
"142.250.179.170","192.168.119.140",76,22675,34,16838,42,5837,9.530329214,238.689192379,564.3489705479071,195.63516694905178
"52.222.142.236","192.168.119.140",414,287490,249,220503,165,66987,10.440774857,46.429652696,37993.4782530039,11542.106582377439
"13.227.209.198","192.168.119.140",28,7418,13,5881,15,1537,10.690205002,17.872707335999998,2632.3935772860686,687.9763523701221
"151.101.1.16","192.168.119.140",21,6923,10,5799,11,1124,10.691040962,30.232512784,1534.5069174849439,297.42813851579183
"44.199.153.86","192.168.119.140",211,67366,83,17393,128,49973,13.260946751,43.709023887,3183.4158630429724,9146.48657068053
"54.236.141.118","192.168.119.140",63,22977,27,19200,36,3777,13.955092822,1.7681105430000006,86872.39641667582,17089.42923259295
"52.46.154.73","192.168.119.140",27,8860,13,6611,14,2249,13.956900786,13.040304378,4055.733552448832,1379.722395924584
"52.46.155.104","192.168.119.140",32,13195,15,9920,17,3275,13.95756622,27.067557640999997,2931.92319205746,967.9484328617118
"13.227.211.79","192.168.119.140",64,18273,30,14150,34,4123,15.770452513,41.116887176999995,2753.1267022402885,802.2008051828063
"104.244.42.131","192.168.119.140",28,6567,13,4508,15,2059,17.997527535,39.137938651,921.4588515146171,420.87040267715093
"54.86.212.146","192.168.119.140",24,8445,10,6422,14,2023,17.998800902,35.123241995,1462.7351315494645,460.77751029656906
"18.198.126.47","192.168.119.140",24,6221,9,4376,15,1845,18.000145312,39.135061024,894.5431304816661,377.1554103607573
"192.168.119.140","212.82.100.182",56,14529,32,4373,24,10156,18.089458988,131.228991013,266.5874341481019,619.131484383289
"3.230.192.196","192.168.119.140",32,9189,14,6903,18,2286,18.186347704,39.002556573,1415.907182818613,468.89233955140503
"34.98.64.218","192.168.119.140",34,8033,15,5713,19,2320,18.187768314,38.930711357999996,1173.983171787282,476.7444352435663
"52.46.138.21","192.168.119.140",151,97665,63,17322,88,80343,19.35293931,61.873557366,2239.6643396513127,10388.024018046728
"192.168.119.140","209.54.180.63",38,13312,20,5352,18,7960,23.825856421,17.261183792999997,2480.478773267182,3689.202360838335
"192.168.119.140","209.54.181.12",25,7557,12,1126,13,6431,24.417647726,22.963735538,392.2706732575679,2240.402042379591
"52.94.232.195","192.168.119.140",26,7614,13,6431,13,1183,24.683968917,18.533752686,2775.908412701693,510.6359278846374
"87.248.116.11","192.168.119.140",83,24535,36,19432,47,5103,26.084641909,30.790680661000003,5048.800372799267,1325.8557174966375
"54.170.186.82","192.168.119.140",22,8420,9,6013,13,2407,26.959489872,1.6203756610000006,29686.94306992555,11883.664056096923
"34.255.149.120","192.168.119.140",35,17325,16,14517,19,2808,27.63590423,0.7182786899999982,161686.5453714077,31274.768850514076
"87.248.116.12","192.168.119.140",180,112016,100,104360,80,7656,28.514389791,28.608237795999997,29183.202612945734,2140.921801501653
"54.194.222.229","192.168.119.140",22,7785,9,5255,13,2530,28.633740718,12.178078439000004,3452.104550859839,1662.0027618792376
"104.18.40.122","192.168.119.140",1630,1310317,942,1254544,688,55773,39.533530411,36.10359903,277987.5765754094,12358.43550193561
"172.64.147.134","192.168.119.140",20,4845,8,3634,12,1211,39.69042469,14.510474934999998,2003.5181570712664,667.6556104054221
"13.227.219.15","192.168.119.140",135,74580,71,68366,64,6214,41.101122497,34.331234759000004,15930.915501273128,1448.0108376226665
"52.222.137.187","192.168.119.140",222,160650,123,152433,99,8217,41.102498052,15.784542723999998,77256.84686106464,4164.580574136625
"52.222.137.179","192.168.119.140",22,7588,10,6379,12,1209,41.116672628,2.032028591999996,25113.819855149017,4759.775545520482
"52.222.137.45","192.168.119.140",22,7588,10,6379,12,1209,41.11758536,2.036877464,25054.035356542197,4748.444700746122
"13.227.211.40","192.168.119.140",34,10479,16,8303,18,2176,44.53608261,12.587458124999998,5276.998687135653,1382.963885728915
"52.222.139.7","192.168.119.140",67,40152,36,37026,31,3126,44.538165111,12.585807041000002,23535.08194071795,1987.0001119938506
"13.227.219.103","192.168.119.140",106,85825,67,82128,39,3697,44.547470397,12.586911335000003,52198.98532001535,2349.7424596738842
