"Address A","Address B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"192.168.119.140","198.143.164.252",124,49581,62,6363,62,43218,0,68.699060847,740.9708280200298,5032.732554670698
"142.250.179.174","192.168.119.140",1272,659381,690,571297,582,88084,0.004269178,265.282396451,17228.34255549327,2656.3089350339123
"142.251.36.13","192.168.119.140",98,26530,43,19285,55,7245,0.323301696,128.10855410300002,1204.2911660368752,452.42880466358105
"172.217.168.228","192.168.119.140",217,61543,104,48871,113,12672,0.781380948,261.187982084,1496.8835735874777,388.1342441222917
"172.217.168.234","192.168.119.140",53,12195,24,8458,29,3737,1.173816575,67.390839687,1004.0533745278841,443.6211232691774
"192.168.119.140","216.58.208.106",48,15039,28,2952,20,12087,2.973964224,235.85631405499998,100.12875887856417,409.9784243107064
"142.250.179.195","192.168.119.140",48,14350,20,11404,28,2946,3.0693471900000002,236.526408141,385.7159152631027,99.64215068091026
"192.0.76.3","192.168.119.140",40,9310,18,7025,22,2285,3.8764840080000003,60.444572695,929.7774389701143,302.4258289034464
"142.251.39.106","192.168.119.140",177,72563,91,61215,86,11348,9.598882572,245.230481002,1996.9785077247639,370.19867852096087
"2.16.233.180","192.168.119.140",461,289370,224,216690,237,72680,11.472184545,106.531088605,16272.432983648661,5457.93728022329
"151.101.1.16","192.168.119.140",21,6952,10,5815,11,1137,11.639667668,41.797005651,1112.9983900865157,217.62324497478392
"35.170.227.48","192.168.119.140",217,70594,86,18079,131,52515,15.999574107,53.027066209,2727.5127654611297,7922.746439415411
"54.239.29.0","192.168.119.140",209,116804,94,27859,115,88945,16.000855689,112.28899508899998,1984.807147159454,6336.863193370101
"34.205.208.16","192.168.119.140",42,15318,18,12800,24,2518,16.480526472,2.0395384519999986,50207.437814955236,9876.744407660726
"52.45.187.81","192.168.119.140",21,7659,9,6400,12,1259,16.504129055,2.1416751960000013,23906.519576650113,4702.86064796914
"52.46.154.73","192.168.119.140",25,8760,11,6503,14,2257,16.62668964,21.18960289,2455.166350689454,852.1160162242192
"52.46.130.91","192.168.119.140",32,13211,15,9920,17,3291,16.627985283,37.588172743,2111.302417986762,700.4330904833098
"13.227.211.79","192.168.119.140",32,9143,15,7075,17,2068,18.404471475,50.274336798,1125.8229069717265,329.07445535230113
"13.227.211.135","192.168.119.140",32,9143,15,7074,17,2069,18.406087332,50.345120702,1124.0811266493167,328.77068858318296
"192.168.119.140","212.82.100.182",28,6888,16,2162,12,4726,21.493992863,47.199356967,366.4456702681926,801.0278620201101
"52.202.100.92","192.168.119.140",24,8453,10,6422,14,2031,21.495983934,42.672621779,1203.9569601810379,380.75935629518654
"34.98.64.218","192.168.119.140",34,7961,15,5634,19,2327,21.497473122,47.175225326,955.416740217649,394.61390743458804
"104.244.42.67","192.168.119.140",28,6566,13,4500,15,2066,21.499072624,47.458178807,758.562610385927,348.2645229016278
"18.198.126.47","192.168.119.140",24,6228,9,4376,15,1852,21.505348132,47.156424382000004,742.3802898288201,314.18836763322093
"18.211.109.126","192.168.119.140",32,9196,14,6903,18,2293,21.506995343,47.249970114999996,1168.7626439888174,388.2330497850729
"13.227.209.198","192.168.119.140",36,10473,17,8241,19,2232,23.715156323,45.242581625,1457.2112738051562,394.67243819113077
"87.248.116.12","192.168.119.140",70,19195,30,14042,40,5153,26.51177397,42.445754599999994,2646.5779925137676,971.2160942475035
"52.46.149.61","192.168.119.140",26,7611,13,6431,13,1180,27.640473794000002,79.991965028,643.1645976191658,118.01185277415887
"52.214.104.133","192.168.119.140",22,8428,9,6013,13,2415,28.674875577999998,23.495897452,2047.3361402037156,822.2712088129009
"34.246.136.210","192.168.119.140",39,18977,18,14816,21,4161,29.327325654,8.433671189000002,14054.140521223488,3947.035550000738
"172.64.147.134","192.168.119.140",298,202694,167,181766,131,20928,37.618931113,31.334231094000003,46407.01077482134,5343.166056883361
"13.227.219.95","192.168.119.140",86,51594,47,47751,39,3843,38.097718742,30.859610398,12378.898990401958,996.2536663130558
"52.222.137.171","192.168.119.140",28,8143,13,6608,15,1535,38.100319977,11.409751741000001,4633.229644255763,1076.2723220236978
"13.227.219.115","192.168.119.140",36,10557,17,8159,19,2398,41.002500439,27.675800639000002,2358.4502884451495,693.1687451515465
"192.168.119.140","199.232.150.208",145,113288,57,5117,88,108171,49.540512149,19.40051718,2110.046841545077,44605.40881312732
"142.250.179.142","192.168.119.140",54,13810,26,10244,28,3566,51.1368546,17.819990888,4598.880017115304,1600.8986861609892
