Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Battery Remaining (%) [%],Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz]
24,6,26,1,29,11,25,5456304,28,0,0,30,565000,31,0,31,0,32,1804800,32,1804800,32,1804800,33,1804800,33,1804800,33,1804800
108,6,110,1,113,11,109,5456848,112,0,0,114,565000,115,0,115,0,115,1804800,115,1804800,116,1804800,116,1804800,117,1804800,117,1804800
209,6,211,1,215,11,210,5459648,213,0,0,220,565000,221,0,221,0,222,1804800,223,1804800,225,1804800,226,1804800,227,1804800,230,1804800
309,6,311,1,316,11,310,5455356,315,0,0,319,565000,320,0,320,0,321,1804800,321,1804800,321,1804800,322,1804800,322,1804800,322,1804800
410,6,411,1,416,11,410,5452428,415,0,0,417,565000,418,0,419,0,420,1804800,421,1804800,421,1804800,421,1804800,422,1804800,422,1804800
510,6,512,1,515,11,511,5451856,514,0,0,517,565000,518,3,518,0,519,1804800,519,1804800,520,1804800,520,1804800,521,1804800,521,1804800
612,6,621,1,626,11,613,5453040,624,192552,169033,627,565000,628,3,629,0,629,1804800,630,1804800,631,1804800,631,1804800,632,1804800,633,1804800
711,6,713,1,716,11,712,5454772,715,192552,169033,718,565000,719,3,719,0,720,1804800,720,1804800,720,1804800,721,1804800,721,1804800,721,1804800
812,6,813,1,815,11,812,5455536,815,192552,169033,817,565000,817,3,817,0,818,1804800,818,1804800,818,1804800,818,1804800,819,1804800,819,1804800
912,6,913,1,915,11,913,5456324,915,192552,169033,918,565000,918,3,918,0,919,1804800,919,1804800,919,1804800,919,1804800,920,1804800,920,1804800
