Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Battery Remaining (%) [%],Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz]
23,6,24,1,26,11,23,5357200,26,0,0,28,565000,28,0,29,0,29,1804800,29,1804800,29,1804800,30,1804800,30,1804800,30,1804800
110,6,111,1,115,11,110,5358524,114,0,0,117,565000,117,0,118,0,118,1804800,118,1804800,119,1804800,119,1804800,119,1804800,120,1804800
210,6,211,1,213,11,210,5359288,213,0,0,215,565000,215,0,216,0,216,1804800,216,1804800,216,1804800,217,1804800,217,1804800,217,1804800
313,6,315,1,317,11,314,5360056,317,0,0,319,565000,320,0,320,0,320,1804800,321,1804800,321,1804800,321,1804800,322,1804800,322,1804800
414,6,416,1,420,11,415,5361040,419,0,0,422,565000,422,0,423,0,423,1804800,424,1804800,424,1804800,425,1804800,425,1804800,425,1804800
515,6,516,1,518,11,515,5361536,517,0,0,519,565000,520,0,520,0,521,1804800,521,1804800,522,1804800,522,1804800,522,1804800,522,1804800
615,6,617,1,621,11,616,5362804,620,0,0,624,565000,624,0,625,0,625,1804800,626,1804800,626,1804800,627,1804800,627,1804800,628,1804800
716,6,718,1,720,11,717,5363308,719,0,0,721,565000,722,0,722,0,722,1804800,723,1804800,723,1804800,723,1804800,724,1804800,724,1804800
817,6,818,1,822,11,817,5363812,821,0,0,824,565000,825,0,826,0,826,1804800,826,1804800,826,1804800,827,1804800,827,1804800,827,1804800
917,6,919,1,922,11,918,5364536,921,0,0,926,565000,926,0,926,0,926,1804800,927,1804800,927,1804800,927,1804800,927,1804800,928,1804800
1017,6,1019,1,1023,11,1018,5365336,1022,0,0,1025,565000,1026,0,1026,0,1027,1804800,1027,1804800,1028,1804800,1028,1804800,1028,1804800,1029,1804800
1119,6,1125,1,1128,11,1122,5365824,1127,0,0,1129,565000,1130,0,1130,0,1130,1804800,1130,1804800,1130,1804800,1131,1804800,1131,1804800,1131,1804800
1219,6,1221,1,1226,11,1220,5367132,1224,0,0,1228,565000,1229,2,1230,0,1230,1804800,1230,1804800,1230,1804800,1231,1804800,1231,1804800,1231,1804800
1320,6,1322,1,1326,11,1321,5367668,1325,128368,0,1327,565000,1328,2,1328,0,1329,1804800,1329,1804800,1329,1804800,1330,1804800,1330,1804800,1330,1804800
1420,6,1422,1,1426,11,1421,5368156,1425,128368,0,1427,565000,1428,2,1429,0,1429,1248000,1429,1248000,1430,1248000,1430,1248000,1430,1248000,1431,1248000
1521,6,1524,1,1529,11,1522,5368172,1528,128368,0,1531,565000,1532,2,1533,0,1534,768000,1534,768000,1535,768000,1536,768000,1536,1248000,1536,1248000
1622,6,1625,1,1629,11,1623,5369644,1629,128368,0,1632,565000,1633,2,1633,0,1634,1017600,1634,1017600,1634,1017600,1635,1017600,1635,1017600,1636,1248000
1724,6,1727,1,1733,11,1726,5370416,1732,128368,0,1737,565000,1737,2,1738,0,1738,1248000,1739,1248000,1739,1248000,1739,1248000,1740,1248000,1740,1248000
1829,6,1831,1,1836,11,1830,5370668,1834,128368,0,1838,253000,1839,2,1840,0,1840,1248000,1841,1248000,1842,1248000,1842,1248000,1843,1248000,1843,1248000
1930,6,1933,1,1938,11,1931,5371392,1937,33598,0,1940,253000,1941,2,1941,0,1942,1248000,1943,1248000,1943,1248000,1943,1248000,1944,1248000,1944,1248000
2031,6,2034,1,2041,11,2032,5372400,2039,33598,0,2045,253000,2046,2,2047,0,2048,576000,2049,576000,2050,576000,2051,576000,2052,576000,2052,576000
2132,6,2135,1,2139,11,2133,5372936,2138,33598,0,2142,253000,2144,2,2144,0,2145,1017600,2146,1017600,2146,1017600,2146,1017600,2147,1017600,2147,1017600
2233,6,2237,1,2242,11,2235,5373716,2240,33598,0,2245,253000,2246,2,2246,0,2247,1017600,2247,1017600,2248,1017600,2248,1017600,2249,1017600,2249,1017600
2335,6,2339,1,2344,11,2336,5374244,2343,33598,0,2347,253000,2348,3,2349,0,2349,1017600,2350,1017600,2350,1017600,2351,1017600,2351,1017600,2352,1017600
2437,6,2440,1,2447,11,2438,5374496,2445,50398,0,2451,253000,2452,3,2453,0,2453,768000,2454,768000,2454,768000,2455,768000,2456,768000,2456,1248000
2538,6,2543,1,2550,11,2540,5375756,2548,50398,0,2561,253000,2562,3,2562,0,2563,1248000,2563,1248000,2564,1248000,2564,1248000,2565,1248000,2565,1248000
2642,6,2644,1,2648,11,2643,5378528,2646,50398,0,2664,253000,2665,3,2666,0,2666,1804800,2666,1804800,2666,1804800,2667,1804800,2667,1804800,2667,1804800
2738,6,2740,1,2743,11,2739,5363428,2742,50398,0,2744,253000,2745,3,2745,0,2746,1804800,2746,1804800,2746,1804800,2746,1804800,2747,1804800,2747,1804800
2838,6,2840,1,2843,11,2839,5363696,2842,50398,0,2845,253000,2845,3,2846,0,2846,1804800,2846,1804800,2846,1804800,2847,1804800,2847,1804800,2847,1804800
2939,6,2941,1,2945,11,2940,5363124,2944,50398,0,2946,253000,2947,3,2948,0,2948,1516800,2948,1516800,2949,1516800,2949,1516800,2949,1516800,2949,1516800
3041,6,3043,1,3050,11,3042,5363644,3047,50398,0,3053,253000,3054,3,3055,0,3056,768000,3056,1248000,3057,1248000,3057,1248000,3057,1248000,3058,1248000
3141,6,3144,1,3150,11,3142,5364408,3148,50398,0,3152,253000,3153,3,3154,0,3155,768000,3156,768000,3156,1248000,3156,1248000,3157,1248000,3157,1248000
3242,6,3244,1,3249,11,3243,5364356,3248,50398,0,3251,253000,3252,3,3253,0,3253,1017600,3254,1017600,3254,1017600,3254,1017600,3255,1017600,3255,1017600
3343,6,3346,1,3351,11,3344,5364664,3350,50398,0,3355,253000,3356,3,3357,0,3358,576000,3359,576000,3360,576000,3361,576000,3362,576000,3362,576000
3445,6,3447,1,3452,11,3446,5364908,3451,50398,0,3456,253000,3458,4,3458,0,3459,576000,3460,576000,3461,576000,3462,576000,3462,576000,3463,576000
3545,6,3547,1,3551,11,3546,5365712,3550,67197,0,3554,253000,3555,4,3556,0,3556,1017600,3557,1017600,3558,1017600,3559,1017600,3559,1017600,3560,1017600
3645,6,3648,1,3653,11,3646,5370736,3651,67197,0,3656,253000,3657,4,3658,0,3658,1017600,3659,1017600,3659,1017600,3660,1017600,3660,1017600,3661,1017600
3747,6,3750,1,3760,11,3748,5356100,3753,67197,0,3762,253000,3763,4,3764,0,3765,1248000,3765,1248000,3766,1248000,3766,1248000,3766,1248000,3767,1248000
3848,6,3850,1,3855,11,3849,5356684,3854,67197,0,3859,253000,3860,4,3861,0,3861,768000,3862,768000,3862,768000,3863,768000,3864,768000,3864,768000
3948,6,3950,1,3954,11,3949,5357252,3953,67197,0,3957,253000,3957,4,3958,0,3958,1804800,3963,1804800,3967,1804800,3971,1804800,3971,1804800,3972,1804800
4049,6,4052,1,4057,11,4050,5357628,4055,67197,0,4062,253000,4064,4,4065,0,4066,768000,4066,768000,4067,768000,4068,768000,4069,768000,4069,768000
4150,6,4153,1,4160,11,4151,5357400,4159,67197,0,4165,253000,4167,4,4168,0,4169,768000,4169,768000,4170,768000,4171,768000,4171,768000,4172,768000
4251,6,4255,1,4260,11,4252,5358016,4259,67197,0,4262,253000,4263,4,4263,0,4264,1804800,4264,1804800,4265,1804800,4265,1804800,4265,1804800,4266,1804800
4351,6,4355,1,4360,11,4352,5359556,4359,67197,0,4362,253000,4363,4,4364,0,4365,1804800,4365,1804800,4365,1804800,4365,1804800,4366,1804800,4366,1804800
4452,6,4458,1,4464,11,4455,5360540,4462,67197,0,4468,253000,4469,5,4470,0,4471,768000,4472,768000,4472,768000,4473,768000,4474,768000,4474,768000
4553,6,4557,1,,,4554,5362056,4562,83997,0,,,,,,,,,,,,,,,,,,
