Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Battery Remaining (%) [%],Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz]
26,6,28,1,31,11,27,5431464,30,0,0,32,565000,33,0,33,0,33,1804800,33,1804800,34,1804800,34,1804800,34,1804800,34,1804800
111,6,113,1,116,11,112,5434140,115,0,0,119,565000,119,0,120,0,120,1804800,121,1804800,121,1804800,122,1804800,122,1804800,123,1804800
212,6,214,1,217,11,212,5433832,216,0,0,220,565000,220,0,221,0,222,1804800,222,1804800,223,1804800,223,1804800,223,1804800,224,1804800
312,6,315,1,318,11,313,5435068,317,0,0,320,565000,321,5,322,0,323,1804800,323,1804800,324,1804800,324,1804800,325,1804800,325,1804800
412,6,414,1,418,11,413,5436944,417,320920,52899,420,565000,421,5,422,0,422,1804800,423,1804800,423,1804800,424,1804800,424,1804800,424,1804800
514,6,516,1,520,11,514,5440724,519,320920,52899,523,565000,523,5,524,0,524,1804800,524,1804800,525,1804800,525,1804800,525,1804800,526,1804800
614,6,615,1,619,11,614,5441808,618,320920,52899,621,565000,622,5,623,0,623,1804800,624,1804800,624,1804800,624,1804800,625,1804800,625,1804800
714,6,716,1,719,11,715,5442084,718,320920,52899,721,565000,722,5,723,0,723,1804800,724,1804800,724,1804800,724,1804800,725,1804800,725,1804800
815,6,816,1,821,11,816,5439844,819,320920,52899,823,565000,823,5,824,0,825,1804800,825,1804800,825,1804800,826,1804800,826,1804800,826,1804800
916,6,918,1,921,11,917,5440252,920,320920,52899,922,565000,923,5,923,0,924,1804800,924,1804800,924,1804800,924,1804800,925,1804800,925,1804800
1016,6,1019,1,1022,11,1017,5441560,1021,320920,52899,1024,565000,1025,5,1026,0,1026,1804800,1026,1804800,1027,1804800,1027,1804800,1027,1804800,1028,1804800
1118,6,1119,1,1123,11,1118,5443072,1122,320920,52899,1125,565000,1125,5,1126,0,1126,1804800,1126,1804800,1127,1804800,1127,1804800,1127,1804800,1127,1804800
