Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Battery Remaining (%) [%],Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz]
75,6,76,1,80,11,75,5279264,79,0,0,82,565000,83,0,83,0,84,1804800,84,1804800,85,1804800,85,1804800,86,1804800,86,1804800
175,6,177,1,180,11,176,5279672,179,0,0,182,565000,183,0,183,0,184,1804800,184,1804800,184,1804800,185,1804800,185,1804800,185,1804800
276,6,277,1,281,11,277,5280200,280,0,0,282,565000,283,0,283,0,284,1804800,284,1804800,284,1804800,285,1804800,285,1804800,285,1804800
376,6,378,1,382,11,377,5281332,380,0,0,384,565000,385,0,386,0,386,1804800,387,1804800,387,1804800,388,1804800,388,1804800,388,1804800
477,6,479,1,485,11,478,5275128,483,0,0,488,565000,489,0,490,0,490,1804800,491,1804800,492,1804800,492,1804800,493,1804800,494,1804800
578,6,580,1,584,11,579,5275776,583,0,0,587,565000,588,0,588,0,589,1804800,590,1804800,590,1804800,591,1804800,591,1804800,592,1804800
678,6,683,1,688,11,679,5279088,686,0,0,690,565000,691,3,692,0,692,1804800,692,1804800,693,1804800,694,1804800,694,1804800,694,1804800
779,6,781,1,787,11,780,5284468,784,192552,0,789,565000,790,3,791,0,791,1804800,792,1804800,792,1804800,793,1804800,793,1804800,794,1804800
879,6,881,1,885,11,880,5288352,884,192552,0,887,565000,888,3,889,0,889,1804800,890,1804800,890,1804800,891,1804800,891,1804800,891,1804800
981,6,983,1,988,11,982,5292060,987,192552,0,989,565000,990,3,990,0,991,1804800,991,1804800,991,1804800,991,1804800,992,1804800,992,1804800
