Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Battery Remaining (%) [%],Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz]
5,3,8,1,11,11,6,5432076,10,0,0,13,565000,14,0,14,0,14,1804800,14,1804800,15,1804800,15,1804800,15,1804800,15,1804800
82,3,85,1,91,11,82,5438696,90,0,0,94,565000,95,0,95,0,96,1804800,97,1804800,97,1804800,97,1804800,98,1804800,98,1804800
170,6,186,1,196,11,184,5431548,189,0,0,199,565000,200,0,201,0,201,1804800,202,1804800,202,1804800,203,1804800,203,1804800,205,1804800
183,6,286,1,290,11,284,5433784,289,0,0,293,565000,294,0,294,0,295,1804800,295,1804800,296,1804800,297,1804800,297,1804800,298,1804800
284,6,386,1,389,11,385,5436728,389,0,0,392,565000,392,0,393,0,393,1804800,394,1804800,394,1804800,395,1804800,395,1804800,395,1804800
384,6,486,1,490,11,485,5437256,489,0,0,492,565000,493,0,494,0,494,1804800,495,1804800,495,1804800,495,1804800,496,1804800,496,1804800
485,6,587,1,590,11,586,5440152,589,0,0,592,565000,593,0,594,0,594,1804800,594,1804800,595,1804800,595,1804800,596,1804800,596,1804800
585,6,687,1,690,11,686,5441932,690,0,0,693,565000,693,5,694,0,694,1804800,694,1804800,695,1804800,695,1804800,695,1804800,696,1804800
686,6,788,1,792,11,787,5441952,791,320920,219303,795,565000,796,5,796,0,797,1804800,797,1804800,797,1804800,798,1804800,798,1804800,798,1804800
786,6,889,1,894,11,887,5442408,893,320920,219303,897,565000,897,5,898,0,898,1804800,899,1804800,899,1804800,900,1804800,901,1804800,901,1804800
887,6,990,1,995,11,989,5445204,994,320920,219303,998,565000,999,5,999,0,1000,1804800,1001,1804800,1001,1804800,1002,1804800,1002,1804800,1003,1804800
988,6,1090,1,1095,11,1089,5445856,1094,320920,219303,1098,565000,1099,5,1100,0,1100,1804800,1101,1804800,1101,1804800,1102,1804800,1103,1804800,1103,1804800
1088,6,1192,1,1199,11,1191,5446968,1196,320920,219303,1203,565000,1204,5,1205,0,1206,1804800,1207,1804800,1208,1804800,1209,1804800,1210,1804800,1210,1804800
1190,6,1295,1,1299,11,1293,5452716,1298,320920,219303,1301,565000,1302,5,1303,0,1303,1804800,1304,1804800,1304,1804800,1305,1804800,1305,1804800,1306,1804800
