Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Battery Remaining (%) [%],Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz]
65,6,67,1,70,11,66,5331352,69,0,0,73,565000,0,0,1,0,1,1804800,1,1804800,1,1804800,2,1804800,2,1804800,2,1804800
166,6,168,1,172,11,166,5331932,171,0,0,174,565000,73,0,74,0,75,1804800,75,1804800,76,1804800,76,1804800,77,1804800,77,1804800
266,6,268,1,270,11,267,5333444,270,0,0,272,565000,175,0,175,0,176,1804800,176,1804800,177,1804800,177,1804800,178,1804800,179,1804800
366,6,368,1,370,11,367,5334484,370,1861339,0,372,565000,272,29,273,0,273,1804800,274,1804800,274,1804800,274,1804800,275,1804800,275,1804800
467,6,469,1,473,11,468,5335776,472,1861339,0,476,565000,372,29,373,0,373,1804800,373,1804800,374,1804800,374,1804800,374,1804800,374,1804800
569,6,571,1,575,11,570,5338032,574,1861339,0,578,565000,477,29,477,0,478,1804800,478,1804800,479,1804800,479,1804800,479,1804800,480,1804800
669,6,671,1,675,11,670,5343148,674,1861339,0,678,565000,579,29,580,0,580,1804800,581,1804800,582,1804800,582,1804800,583,1804800,584,1804800
770,6,772,1,775,11,771,5345024,774,1861339,0,778,565000,679,29,680,0,680,1804800,681,1804800,681,1804800,682,1804800,682,1804800,682,1804800
871,6,873,1,878,11,871,5347684,877,1861339,0,882,565000,778,29,779,0,779,1804800,779,1804800,780,1804800,780,1804800,781,1804800,781,1804800
971,6,973,1,977,11,972,5355436,976,1861339,0,980,565000,883,29,883,0,884,1804800,884,1804800,885,1804800,886,1804800,886,1804800,887,1804800
1072,6,1073,1,1077,11,1072,5358944,1076,1861339,0,1079,565000,981,29,981,0,982,1804800,982,1804800,983,1804800,983,1804800,984,1804800,984,1804800
1172,6,1176,1,1187,11,1175,5365388,1186,1861339,0,1192,565000,1079,29,1080,0,1081,1804800,1082,1804800,1082,1804800,1083,1804800,1083,1804800,1084,1804800
1274,6,1276,1,1280,11,1275,5367764,1279,1861339,0,1282,430000,1193,29,1194,0,1195,1804800,1195,1804800,1196,1804800,1196,1804800,1197,1804800,1199,1804800
1374,6,1376,1,1379,11,1375,5374016,1378,120198,0,1381,355000,1283,3,1284,0,1284,1804800,1285,1804800,1285,1804800,1286,1804800,1286,1804800,1287,1804800
