Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Battery Remaining (%) [%],Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz]
72,6,75,1,80,11,73,5379860,79,0,0,83,565000,84,0,85,0,85,1804800,86,1804800,86,1804800,87,1804800,88,1804800,88,1804800
173,6,174,1,178,11,173,5381288,177,0,0,180,565000,181,0,182,0,183,1804800,183,1804800,184,1804800,184,1804800,185,1804800,186,1804800
273,6,274,1,277,11,273,5384012,276,0,0,278,565000,278,0,279,0,279,1804800,279,1804800,280,1804800,280,1804800,280,1804800,280,1804800
374,6,375,1,356,11,374,5384720,377,0,0,381,565000,382,0,382,0,383,1804800,383,1804800,384,1804800,384,1804800,385,1804800,385,1804800
474,6,476,1,378,11,475,5386500,478,0,0,480,565000,481,0,481,0,481,1804800,482,1804800,482,1804800,482,1804800,482,1804800,483,1804800
575,6,576,1,479,11,575,5386700,578,0,0,581,565000,582,0,583,0,583,1804800,584,1804800,584,1804800,585,1804800,585,1804800,586,1804800
675,6,677,1,579,11,676,5389016,679,0,0,682,565000,683,0,683,0,684,1804800,684,1804800,685,1804800,685,1804800,685,1804800,686,1804800
776,6,777,1,680,11,776,5390948,780,0,0,783,565000,784,3,784,0,785,1804800,786,1804800,786,1804800,787,1804800,787,1804800,788,1804800
876,6,878,1,781,11,877,5392176,881,192552,0,885,565000,886,3,887,0,887,1804800,888,1804800,888,1804800,889,1804800,889,1804800,889,1804800
977,6,978,1,882,11,977,5388332,982,192552,0,986,565000,986,3,987,0,988,1804800,988,1804800,989,1804800,989,1804800,990,1804800,990,1804800
1077,6,1080,1,983,11,1079,5387100,1090,192552,0,1097,565000,1098,3,1099,0,1099,1804800,1101,1804800,1101,1804800,1102,1804800,1103,1804800,1103,1804800
1178,6,1180,1,1091,11,1178,5382144,1183,192552,0,1187,565000,1188,3,1188,0,1189,1804800,1189,1804800,1190,1804800,1191,1804800,1191,1804800,1192,1804800
1278,6,1280,1,1184,11,1279,5377896,1284,192552,0,1288,253000,1289,3,1290,0,1290,1804800,1291,1804800,1291,1804800,1292,1804800,1292,1804800,1293,1804800
1379,6,1381,1,1285,11,1380,5379612,1384,50398,0,1387,253000,1389,3,1389,0,1390,1804800,1390,1804800,1390,1804800,1391,1804800,1391,1804800,1391,1804800
1486,6,1490,1,1385,11,1487,5354760,1495,50398,0,1500,253000,1501,3,1502,0,1503,1248000,1504,1248000,1504,1248000,1505,1248000,1505,1248000,1506,1248000
1586,6,1588,1,1497,11,1586,5356476,1592,50398,0,1597,253000,1598,3,1599,0,1599,1248000,1600,1248000,1601,1248000,1602,1248000,1602,1248000,1603,1248000
1688,6,1691,1,1593,11,1689,5361872,1696,50398,0,1702,253000,1703,3,1703,0,1705,1017600,1705,1017600,1707,1017600,1707,1017600,1708,1017600,1709,1017600
1787,6,1789,1,1699,11,1788,5366236,1793,50398,0,1800,253000,1800,3,1801,0,1802,768000,1802,768000,1803,768000,1804,768000,1804,768000,1805,768000
1889,6,1892,1,1797,11,1890,5364752,1898,50398,0,1905,253000,1906,7,1907,0,1908,768000,1908,768000,1909,768000,1910,768000,1910,768000,1911,768000
1990,6,1993,1,1901,11,1991,5364352,1998,117595,0,2002,253000,2003,7,2004,0,2004,1017600,2005,1017600,2012,1324800,2013,1324800,2014,1324800,2014,1324800
2090,6,2092,1,1999,11,2091,5352664,2095,117595,0,2097,253000,2097,7,2098,0,2098,1516800,2098,1516800,2099,1516800,2099,1516800,2099,1516800,2100,1516800
2192,6,2195,1,2095,11,2193,5352664,2199,117595,0,2205,253000,2206,7,2207,0,2209,576000,2209,576000,2210,576000,2211,576000,2212,1248000,2212,1248000
2293,6,2295,1,2200,11,2294,5353708,2298,117595,0,2303,253000,2304,7,2305,0,2305,1017600,2306,1017600,2306,1017600,2307,1017600,2307,1017600,2307,1017600
2396,6,2401,1,2299,11,2398,5354464,2411,117595,0,2417,253000,2418,7,2419,0,2419,1248000,2420,1248000,2420,1248000,2421,1248000,2421,1248000,2421,1248000
2495,6,2499,1,2414,11,2497,5355220,2507,117595,0,2513,253000,2514,7,2515,0,2516,1248000,2516,1248000,2517,1248000,2517,1248000,2517,1248000,2518,1248000
2595,6,2600,1,2508,11,2597,5355724,2605,117595,0,2612,253000,2613,7,2614,0,2614,1248000,2615,1248000,2615,1248000,2616,1248000,2616,1248000,2616,1248000
2698,6,2703,1,2607,11,2701,5356064,2709,117595,0,2714,253000,2715,7,2716,0,2717,1248000,2718,1248000,2718,1248000,2719,1248000,2720,1248000,2720,1248000
2797,6,2799,1,2711,11,2798,5356260,2801,117595,0,2811,253000,2811,7,2813,0,2813,1804800,2813,1804800,2814,1804800,2814,1804800,2814,1804800,2814,1804800
2897,6,2899,1,2807,11,2898,5356576,2903,117595,0,2906,253000,2907,7,2908,0,2908,1248000,2908,1248000,2909,1248000,2909,1248000,2909,1248000,2910,1248000
3001,6,3006,1,2904,11,3004,5354972,3014,117595,0,3020,253000,3021,4,3022,0,3023,1248000,3023,1248000,3023,1248000,3024,1248000,3026,1248000,3026,1248000
3102,6,3106,1,3016,11,3103,5355288,3109,67197,0,3116,253000,3117,4,3119,0,3120,768000,3121,768000,3121,768000,3122,768000,3123,768000,3125,768000
3201,6,3203,1,3110,11,3202,5355288,3208,67197,0,3213,253000,3214,4,3214,0,3215,768000,3215,768000,3216,768000,3217,768000,3217,768000,3218,768000
3305,6,3308,1,3209,11,3306,5355924,3313,67197,0,3319,253000,3320,4,3321,0,3321,576000,3322,576000,3323,576000,3323,576000,3324,576000,3325,576000
3406,6,3409,1,3314,11,3407,5356176,3414,67197,0,3419,253000,3420,4,3421,0,3421,576000,3422,576000,3423,576000,3423,576000,3424,576000,3424,576000
3488,3,3509,1,3415,11,3507,5356648,3511,67197,0,3515,253000,3516,4,3517,0,3518,768000,3519,768000,3519,768000,3520,768000,3520,768000,3521,768000
3506,3,3611,1,3511,11,3609,5359984,3615,67197,0,3622,253000,3624,4,3625,0,3625,576000,3626,576000,3627,576000,3627,576000,3628,576000,3629,576000
3608,3,3711,1,3617,11,3709,5361244,3714,67197,0,3720,253000,3721,4,3722,0,3723,576000,3723,576000,3724,576000,3725,576000,3726,576000,3726,576000
3708,3,3814,1,3717,11,3811,5361824,3821,67197,0,3827,253000,3830,4,3831,0,3832,1248000,3833,1248000,3834,1248000,3834,1248000,3835,1248000,3836,1248000
3810,3,3916,1,3822,11,3914,5362328,3922,67197,0,3933,253000,3934,4,3935,0,3937,1248000,3938,1248000,3939,1248000,3939,1248000,3939,1248000,3940,1248000
3911,3,4015,1,3927,11,4013,5362832,4021,67197,0,4029,253000,4031,5,4032,0,4033,1248000,4033,1248000,4034,1248000,4034,1248000,4035,1248000,4036,1248000
4012,3,4114,1,4023,11,4113,5368068,4117,83997,0,4122,253000,4123,5,4123,0,4124,768000,4125,768000,4125,768000,4126,768000,4127,768000,4127,768000
4112,3,4218,1,4119,11,4214,5345992,4222,83997,0,4227,253000,4228,5,4229,0,4229,768000,4230,768000,4230,768000,4231,768000,4231,768000,4232,1804800
4213,3,4329,1,4223,11,4324,5346928,4334,83997,0,4337,253000,4338,5,4338,0,4339,1248000,4339,1248000,4344,1248000,4344,1248000,4345,1248000,4345,1248000
4319,3,4416,1,4335,11,4415,5346652,4418,83997,0,4421,253000,4422,5,4422,0,4422,1248000,4423,1248000,4423,1248000,4423,1248000,4424,1248000,4424,1248000
4414,3,4520,1,4419,11,4519,5348284,,,,,,,,,,,,,,,,,,,,,
4504,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
4517,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
