Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Battery Remaining (%) [%],Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz]
74,6,76,1,80,11,74,5438144,79,0,0,82,565000,83,0,84,0,84,1804800,85,1804800,85,1804800,85,1804800,86,1804800,86,1804800
175,6,178,1,181,11,177,5439404,180,0,0,184,565000,185,0,185,0,186,1804800,186,1804800,187,1804800,187,1804800,187,1804800,188,1804800
275,6,277,1,280,11,276,5425356,279,0,0,282,565000,283,5,284,0,284,1804800,285,1804800,285,1804800,286,1804800,287,1804800,287,1804800
375,6,378,1,381,11,377,5432732,380,320920,310841,384,565000,385,5,385,0,386,1804800,386,1804800,386,1804800,387,1804800,387,1804800,387,1804800
476,6,477,1,479,11,476,5431760,479,320920,310841,481,565000,482,5,483,0,483,1804800,484,1804800,484,1804800,484,1804800,485,1804800,485,1804800
576,6,578,1,582,11,577,5431556,581,320920,310841,584,565000,585,5,585,0,586,1804800,586,1804800,586,1804800,587,1804800,587,1804800,587,1804800
677,6,678,1,680,11,677,5434244,680,320920,310841,681,565000,682,5,682,0,683,1804800,683,1804800,684,1804800,684,1804800,684,1804800,685,1804800
778,6,780,1,786,11,779,5447504,784,320920,310841,789,565000,790,5,791,0,792,1804800,792,1804800,793,1804800,794,1804800,794,1804800,795,1804800
878,6,880,1,883,11,879,5452256,882,320920,310841,886,565000,886,5,887,0,888,1804800,888,1804800,889,1804800,889,1804800,889,1804800,890,1804800
979,6,981,1,985,11,980,5458660,984,320920,310841,988,565000,989,5,990,0,991,1804800,991,1804800,992,1804800,992,1804800,993,1804800,993,1804800
1080,6,1083,1,1088,11,1081,5454952,1086,320920,310841,1092,565000,1093,5,1094,0,1096,1804800,1096,1804800,1097,1804800,1097,1804800,1098,1804800,1098,1804800
1180,6,1183,1,1190,11,1181,5459084,1188,320920,310841,1195,565000,1196,5,1196,0,1197,1804800,1198,1804800,1199,1804800,1200,1804800,1201,1804800,1202,1804800
1280,6,1283,1,1290,11,1281,5459388,1288,320920,310841,1295,430000,1295,3,1296,0,1297,1804800,1298,1804800,1299,1804800,1300,1804800,1301,1804800,1302,1804800
1381,6,1384,1,1390,11,1382,5448256,1389,120198,110119,1395,430000,1396,3,1396,0,1398,1804800,1398,1804800,1399,1804800,1400,1804800,1400,1804800,1401,1804800
1481,6,1484,1,1488,11,1482,5455536,1487,120198,110119,1493,355000,1494,3,1495,0,1496,1804800,1497,1804800,1497,1804800,1498,1804800,1498,1804800,1499,1804800
1583,6,1585,1,1593,11,1583,5482816,1590,87150,77071,1597,253000,1598,3,1599,0,1600,1804800,1600,1804800,1601,1804800,1602,1804800,1602,1804800,1603,1804800
1684,6,1688,1,1702,11,1686,5499472,1699,50398,40319,1707,253000,1708,3,1709,0,1710,1804800,1710,1804800,1711,1804800,1711,1804800,1712,1804800,1713,1804800
1783,6,1786,1,1793,11,1783,5485864,1792,50398,40319,1798,253000,1799,3,1799,0,1800,1804800,1801,1804800,1801,1804800,1802,1804800,1802,1804800,1803,1804800
1883,6,1885,1,1889,11,1884,5452144,1888,50398,40319,1892,253000,1893,3,1893,0,1894,1804800,1894,1804800,1895,1804800,1895,1804800,1896,1804800,1896,1804800
1984,6,1986,1,1992,11,1985,5444852,1989,50398,40319,1995,253000,1995,3,1996,0,1997,1804800,1998,1804800,1999,1804800,1999,1804800,2000,1804800,2000,1804800
2085,6,2087,1,2091,11,2086,5426172,2090,50398,40319,2095,253000,2096,3,2098,0,2099,1804800,2100,1804800,2100,1804800,2101,1804800,2102,1804800,2103,1804800
2186,6,2188,1,2197,11,2187,5422656,2195,50398,40319,2202,253000,2203,3,2204,0,2206,1804800,2208,1804800,2208,1804800,2210,1804800,2210,1804800,2211,1804800
2286,6,2288,1,2231,11,2286,5402624,2291,50398,40319,2294,253000,2294,3,2295,0,2295,1804800,2296,1804800,2296,1804800,2297,1804800,2297,1804800,2297,1804800
2387,6,2390,1,2292,11,2388,5407640,2393,50398,40319,2397,253000,2398,3,2399,0,2400,1017600,2400,1017600,2401,1017600,2402,1017600,2402,1017600,2403,1017600
2488,6,2490,1,2394,11,2489,5408480,2493,50398,40319,2496,253000,2496,3,2497,0,2497,1516800,2498,1516800,2498,1516800,2499,1516800,2499,1516800,2499,1516800
2589,6,2592,1,2494,11,2590,5410976,2595,50398,40319,2598,253000,2599,3,2600,0,2600,1017600,2601,1017600,2601,1017600,2602,1017600,2602,1017600,2603,1017600
2691,6,2693,1,2596,11,2692,5412640,2695,50398,40319,2700,253000,2701,3,2701,0,2702,1248000,2702,1248000,2702,1248000,2703,1248000,2703,1248000,2703,1248000
2792,6,2794,1,2696,11,2793,5416176,2797,50398,40319,2801,253000,2802,3,2803,0,2804,768000,2804,768000,2805,768000,2805,768000,2806,768000,2807,768000
2892,6,2894,1,2798,11,2893,5420500,2897,50398,40319,2902,253000,2903,3,2904,0,2904,768000,2905,768000,2906,768000,2906,768000,2907,1804800,2907,1804800
2967,3,2994,1,2899,11,2993,5427496,2997,50398,40319,3000,253000,3001,3,3002,0,3002,1804800,3003,1804800,3004,1804800,3005,1804800,3006,1248000,3006,1248000
2992,3,3096,1,2998,11,3095,5429788,3099,50398,40319,3104,253000,3105,3,3106,0,3107,1516800,3107,1516800,3108,1516800,3108,1516800,3109,1516800,3109,1516800
3094,3,3196,1,3100,11,3195,5431720,3199,50398,40319,3201,253000,3202,3,3203,0,3203,1804800,3204,1804800,3204,1804800,3205,1804800,3205,1804800,3205,1804800
3194,3,3298,1,3200,11,3296,5416948,3302,50398,40319,3307,253000,3308,3,3309,0,3309,768000,3310,1248000,3310,1248000,3311,1248000,3311,1248000,3311,1248000
3295,3,3399,1,3304,11,3397,5419040,3403,50398,40319,3407,253000,3408,3,3409,0,3410,1017600,3410,1017600,3411,1017600,3411,1017600,3412,1017600,3412,1017600
3396,3,3500,1,3404,11,3499,5424112,3504,50398,40319,3511,253000,3512,4,3512,0,3513,768000,3514,768000,3514,768000,3515,768000,3516,768000,3517,768000
3498,3,3601,1,3506,11,3600,5427428,3605,67197,57118,3610,253000,3611,4,3613,0,3613,768000,3614,768000,3615,768000,3615,768000,3616,768000,3616,768000
3599,3,3702,1,3606,11,3700,5430704,3704,67197,57118,3708,253000,3709,4,3710,0,3710,768000,3711,768000,3711,768000,3712,768000,3712,768000,3713,768000
3699,3,3803,1,3705,11,3801,5433476,3808,67197,57118,3813,253000,3814,0,3814,0,3815,1017600,3816,1248000,3816,1248000,3817,1248000,3817,1248000,3818,1248000
