Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Battery Remaining (%) [%],Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz]
24,6,25,1,27,11,24,5336752,26,0,0,28,565000,28,0,29,0,29,1804800,29,1804800,30,1804800,30,1804800,30,1804800,30,1804800
110,6,112,1,116,11,111,5338484,115,0,0,119,565000,120,0,121,0,122,1804800,122,1804800,123,1804800,123,1804800,124,1804800,125,1804800
210,6,211,1,215,11,210,5339240,214,0,0,217,565000,217,0,218,0,219,1804800,219,1804800,220,1804800,221,1804800,221,1804800,222,1804800
310,6,312,1,314,11,311,5340784,313,0,0,315,565000,316,0,316,0,316,1804800,317,1804800,317,1804800,317,1804800,317,1804800,318,1804800
411,6,412,1,416,11,411,5342516,415,0,0,418,565000,419,0,420,0,420,1804800,421,1804800,421,1804800,421,1804800,422,1804800,422,1804800
511,6,514,1,517,11,512,5344856,516,0,0,519,565000,520,0,521,0,521,1804800,522,1804800,522,1804800,523,1804800,523,1804800,523,1804800
612,6,617,1,621,11,613,5348548,620,0,0,624,565000,625,0,626,0,626,1804800,627,1804800,627,1804800,628,1804800,628,1804800,629,1804800
714,6,717,1,722,11,715,5358748,720,0,0,725,565000,726,0,726,0,727,1804800,728,1804800,728,1804800,728,1804800,729,1804800,729,1804800
814,6,816,1,818,11,815,5360304,818,0,0,820,565000,822,3,822,0,823,1804800,823,1804800,824,1804800,824,1804800,825,1804800,825,1804800
915,6,916,1,918,11,915,5361784,918,192552,0,919,565000,920,3,920,0,920,1804800,921,1804800,921,1804800,921,1804800,922,1804800,922,1804800
1016,6,1017,1,1022,11,1016,5363620,1020,192552,0,1024,565000,1025,3,1025,0,1027,1804800,1027,1804800,1028,1804800,1029,1804800,1029,1804800,1030,1804800
1116,6,1118,1,1122,11,1117,5366252,1121,192552,0,1124,565000,1125,3,1126,0,1126,1804800,1127,1804800,1127,1804800,1127,1804800,1127,1804800,1128,1804800
1217,6,1219,1,1224,11,1217,5369204,1222,192552,0,1227,565000,1228,3,1228,0,1229,1804800,1229,1804800,1230,1804800,1230,1804800,1231,1804800,1231,1804800
1318,6,1320,1,1325,11,1319,5372632,1324,192552,0,1328,430000,1329,3,1329,0,1330,1804800,1331,1804800,1332,1804800,1332,1804800,1333,1804800,1333,1804800
1420,6,1423,1,1429,11,1421,5376852,1427,120198,0,1432,355000,1433,3,1433,0,1434,1804800,1435,1804800,1436,1804800,1437,1804800,1438,1804800,1438,1804800
1522,6,1524,1,1528,11,1522,5381332,1527,87150,0,1531,253000,1531,3,1532,0,1532,1804800,1536,1804800,1536,1804800,1537,1804800,1537,1804800,1538,1804800
1624,6,1626,1,1634,11,1625,5388708,1633,50398,0,1639,253000,1640,3,1641,0,1642,1804800,1642,1804800,1643,1804800,1643,1804800,1644,1804800,1644,1804800
1725,6,1731,1,1667,11,1727,5457436,1734,50398,0,1738,253000,1739,3,1739,0,1740,1804800,1740,1804800,1741,1804800,1741,1804800,1742,1804800,1742,1804800
1828,6,1830,1,1735,11,1829,5454880,1834,50398,0,1840,253000,1841,3,1841,0,1843,1804800,1843,1804800,1843,1804800,1844,1804800,1844,1804800,1845,1804800
1930,6,1933,1,1836,11,1932,5458996,1936,50398,0,1940,253000,1941,6,1942,0,1942,1804800,1943,1804800,1944,1804800,1945,1804800,1945,1804800,1946,1804800
2031,6,2032,1,1937,11,2031,5461328,2034,100796,0,2038,253000,2039,6,2039,0,2040,1804800,2040,1804800,2041,1804800,2041,1804800,2041,1804800,2041,1804800
2133,6,2134,1,2035,11,2133,5461848,2137,100796,0,2141,253000,2142,6,2143,0,2143,1516800,2144,1516800,2145,1516800,2145,1804800,2145,1804800,2146,1804800
2233,6,2235,1,2138,11,2234,5463492,2239,100796,0,2243,253000,2244,6,2244,0,2245,1804800,2245,1804800,2246,1804800,2246,1804800,2247,1804800,2247,1804800
