Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Battery Remaining (%) [%],Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz]
3,3,5,1,7,11,4,5292912,6,0,0,8,0,8,0,9,0,9,1804800,9,1804800,10,1804800,10,1804800,10,1804800,10,1804800
83,3,86,1,88,11,84,5294236,88,0,0,90,0,90,0,91,0,91,1804800,91,1804800,91,1804800,92,1804800,92,1804800,92,1804800
184,3,186,1,188,11,185,5294992,187,0,0,189,0,190,0,191,0,191,1612800,192,1612800,192,1612800,192,1612800,192,1612800,193,1612800
285,3,288,1,204,11,287,5297244,292,0,0,294,0,295,0,296,0,296,1804800,297,1804800,298,1804800,298,1804800,298,1804800,298,1804800
385,3,386,1,292,11,386,5298976,388,0,0,390,0,391,0,391,0,391,1516800,392,1516800,392,1516800,392,1516800,392,1516800,393,1516800
486,3,489,1,389,11,487,5300772,492,0,0,495,0,496,0,496,0,497,1248000,497,1248000,497,1248000,498,1248000,498,1248000,498,1248000
587,3,592,1,493,11,587,5301288,594,0,0,604,0,605,0,605,0,606,1804800,606,1804800,606,1804800,607,1804800,607,1804800,607,1804800
689,3,691,1,595,11,690,5304012,694,0,0,712,0,713,0,714,0,714,1804800,715,1804800,715,1804800,716,1804800,717,1804800,718,1804800
791,3,794,1,700,11,792,5306860,811,0,0,825,0,827,0,828,0,829,1804800,829,1804800,832,1804800,847,1804800,848,1804800,849,1804800
813,3,894,1,815,11,893,5317948,899,0,0,919,0,919,2,920,0,921,1804800,922,1804800,922,1804800,923,1804800,923,1804800,924,1804800
877,3,995,1,914,11,994,5323480,998,0,0,1005,0,1009,2,1010,0,1011,1804800,1011,1804800,1012,1804800,1012,1804800,1014,1804800,1015,1804800
892,3,1094,1,999,11,1093,5329160,1096,0,0,1105,0,1106,2,1106,0,1107,1804800,1107,1804800,1108,1804800,1108,1804800,1109,1804800,1110,1804800
993,3,1196,1,1099,11,1195,5322692,1199,0,0,1203,0,1203,2,1204,0,1204,1804800,1205,1804800,1205,1804800,1206,1804800,1207,1804800,1207,1804800
1093,3,1297,1,1201,11,1296,5324048,1300,0,0,1303,0,1303,2,1304,0,1305,1804800,1305,1804800,1306,1804800,1306,1804800,1306,1804800,1307,1804800
1194,3,1399,1,1301,11,1397,5326552,1404,0,0,1408,0,1408,2,1409,0,1410,1804800,1410,1804800,1410,1804800,1411,1804800,1411,1804800,1412,1804800
1295,3,1499,1,1405,11,1497,5328592,1502,0,0,1505,0,1505,2,1506,0,1506,1804800,1507,1804800,1507,1804800,1507,1804800,1507,1804800,1508,1804800
1396,3,1599,1,1503,11,1597,5331820,1602,33598,33598,1580,253000,1606,2,1607,0,1607,1804800,1607,1804800,1608,1804800,1608,1804800,1608,1804800,1608,1804800
1496,3,1702,1,1604,11,1699,5335648,1706,33598,33598,1606,253000,1710,2,1711,0,1711,1804800,1711,1804800,1712,1804800,1712,1804800,1712,1804800,1712,1804800
1597,3,1800,1,1707,11,1799,5337852,1804,33598,33598,1710,253000,1810,2,1811,0,1811,1804800,1812,1804800,1812,1804800,1814,1804800,1815,1804800,1816,1804800
1697,3,1900,1,1807,11,1899,5341180,1903,33598,33598,1809,253000,1908,10,1909,0,1910,1804800,1910,1804800,1910,1804800,1911,1804800,1911,1804800,1911,1804800
1798,3,2003,1,1904,11,2001,5344204,2004,167994,167994,1907,253000,2007,10,2008,0,2008,1804800,2008,1804800,2009,1804800,2009,1804800,2009,1804800,2009,1804800
1855,6,2101,1,2005,11,2100,5351748,2104,167994,167994,2007,253000,2107,10,2108,0,2108,1804800,2109,1804800,2109,1804800,2110,1804800,2110,1804800,2111,1804800
1898,6,2202,1,2105,11,2202,5353796,2206,167994,167994,2107,253000,2210,10,2210,0,2210,1804800,2210,1804800,2211,1804800,2211,1804800,2211,1804800,2211,1804800
