Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Battery Remaining (%) [%],Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz]
20,6,22,1,24,11,21,5315924,23,0,0,25,565000,25,0,26,0,26,1804800,26,1804800,26,1804800,27,1804800,27,1804800,27,1804800
106,6,108,1,112,11,107,5317500,111,0,0,114,565000,115,0,115,0,116,1804800,116,1804800,116,1804800,117,1804800,117,1804800,117,1804800
207,6,209,1,211,11,208,5318004,210,0,0,213,565000,213,0,213,0,214,1804800,214,1804800,214,1804800,214,1804800,215,1804800,215,1804800
308,6,309,1,311,11,308,5319296,310,0,0,312,565000,312,0,313,0,313,1804800,313,1804800,313,1804800,314,1804800,314,1804800,314,1804800
408,6,410,1,412,11,409,5321060,412,0,0,414,565000,414,0,414,0,415,1804800,415,1804800,415,1804800,415,1804800,416,1804800,416,1804800
509,6,510,1,515,11,509,5323612,514,0,0,517,565000,518,0,518,0,519,1804800,519,1804800,520,1804800,520,1804800,521,1804800,522,1804800
610,6,612,1,616,11,610,5327556,615,0,0,619,565000,620,0,621,0,621,1804800,622,1804800,623,1804800,623,1804800,624,1804800,624,1804800
711,6,713,1,718,11,712,5333584,716,0,0,720,565000,721,0,722,0,722,1804800,723,1804800,724,1804800,724,1804800,725,1804800,725,1804800
812,6,815,1,821,11,813,5337564,819,0,0,824,565000,825,0,825,0,826,1804800,827,1804800,827,1804800,828,1804800,829,1804800,829,1804800
913,6,915,1,920,11,914,5341660,918,0,0,923,565000,924,0,924,0,925,1804800,925,1804800,926,1804800,926,1804800,927,1804800,928,1804800
1013,6,1015,1,1020,11,1014,5344472,1018,0,0,1022,565000,1022,0,1024,0,1024,1804800,1025,1804800,1025,1804800,1025,1804800,1026,1804800,1026,1804800
1114,6,1116,1,1122,11,1115,5349724,1118,0,0,1124,565000,1125,4,1126,0,1126,1804800,1129,1804800,1130,1804800,1131,1804800,1131,1804800,1132,1804800
1215,6,1217,1,1223,11,1216,5347336,1222,256736,138923,1231,565000,1233,4,1234,0,1234,1804800,1235,1804800,1236,1804800,1237,1804800,1238,1804800,1238,1804800
1315,6,1318,1,1324,11,1316,5393140,1322,256736,138923,1326,355000,1327,4,1328,0,1328,1804800,1329,1804800,1330,1804800,1331,1804800,1331,1804800,1331,1804800
1416,6,1419,1,1424,11,1417,5397284,1423,116200,0,1427,253000,1428,4,1428,0,1429,1248000,1430,1248000,1430,1248000,1431,1248000,1432,1248000,1432,1248000
1517,6,1521,1,1529,11,1518,5400144,1527,67197,0,1532,253000,1534,4,1535,0,1536,768000,1537,768000,1540,768000,1541,768000,1541,768000,1543,768000
1618,6,1622,1,1633,11,1619,5400968,1626,67197,0,1640,253000,1641,4,1643,0,1644,768000,1644,768000,1645,768000,1645,768000,1646,768000,1647,768000
1718,6,1722,1,1729,11,1719,5403104,1728,67197,0,1732,253000,1733,4,1733,0,1734,1804800,1734,1516800,1735,1516800,1736,1516800,1736,1516800,1736,1516800
1820,6,1823,1,1830,11,1821,5406408,1828,67197,0,1836,253000,1838,4,1839,0,1840,768000,1841,1804800,1842,1804800,1842,1804800,1843,1804800,1845,1017600
1920,6,1923,1,1928,11,1921,5409320,1927,67197,0,1932,253000,1933,4,1935,0,1935,1804800,1936,1804800,1937,1804800,1938,1804800,1939,1804800,1939,1804800
2022,6,2024,1,2028,11,2022,5408968,2026,67197,0,2031,253000,2032,4,2033,0,2033,1804800,2034,1804800,2034,1804800,2034,1804800,2034,1804800,2034,1804800
2126,6,2127,1,2131,11,2126,5409264,2130,67197,0,2134,253000,2135,7,2136,0,2136,768000,2137,768000,2138,768000,2139,1017600,2139,768000,2140,1804800
2228,6,2230,1,2236,11,2229,5412480,2232,117595,0,2242,253000,2242,7,2243,0,2243,1708800,2244,1708800,2244,1708800,2245,1708800,2245,1708800,2245,1708800
2328,6,2330,1,2333,11,2328,5403648,2332,117595,0,2336,253000,2336,7,2337,0,2337,1017600,2338,1017600,2338,1017600,2339,1017600,2340,1017600,2340,1017600
2431,6,2432,1,2436,11,2431,5407708,2435,117595,0,2437,253000,2438,7,2438,0,2439,1248000,2439,1248000,2440,1248000,2440,1248000,2441,1248000,2441,1248000
2532,6,2534,1,2537,11,2533,5410520,2536,117595,0,2540,253000,2541,7,2542,0,2542,1017600,2543,1017600,2543,1804800,2544,1017600,2545,1017600,2545,1017600
2633,6,2634,1,2638,11,2633,5414764,2637,117595,0,2641,253000,2642,7,2643,0,2643,1804800,2644,1804800,2644,1804800,2645,1804800,2645,1804800,2645,1804800
2733,6,2735,1,2738,11,2734,5418472,2737,117595,0,2741,253000,2742,7,2742,0,2743,1804800,2743,1804800,2743,1804800,2744,1804800,2744,1804800,2744,1804800
2834,6,2836,1,2840,11,2835,5423552,2839,117595,0,2842,253000,2842,7,2843,0,2843,1804800,2843,1804800,2844,1804800,2844,1804800,2844,1804800,2844,1804800
2935,6,2938,1,2943,11,2936,5423536,2941,117595,0,2946,253000,2947,7,2947,0,2948,1804800,2948,1804800,2949,1804800,2949,1804800,2949,1804800,2950,768000
3036,6,3038,1,3043,11,3036,5423824,3042,117595,0,3046,253000,3047,4,3048,0,3048,768000,3049,768000,3050,768000,3050,768000,3051,768000,3052,768000
3136,6,3138,1,3142,11,3137,5424580,3141,67197,0,3146,253000,3147,4,3147,0,3148,1017600,3149,1017600,3149,1017600,3150,1017600,3151,1017600,3151,1017600
3237,6,3239,1,3244,11,3238,5427368,3242,67197,0,3245,253000,3246,4,3247,0,3247,1804800,3248,1804800,3248,1804800,3248,1804800,3249,1804800,3249,1804800
3337,6,3339,1,3343,11,3338,5411076,3342,67197,0,3345,253000,3345,4,3346,0,3347,1516800,3347,1516800,3348,1516800,3348,1516800,3348,1516800,3349,1516800
3438,6,3441,1,3446,11,3439,5411448,3445,67197,0,3450,253000,3451,4,3451,0,3452,1804800,3452,1804800,3453,1804800,3453,1804800,3454,1804800,3454,1804800
3539,6,3541,1,3546,11,3540,5416128,3545,67197,0,3549,253000,3550,4,3551,0,3552,1248000,3552,1248000,3553,1248000,3554,1248000,3554,1248000,3555,1248000
3641,6,3643,1,3650,11,3642,5418056,3647,67197,0,3654,253000,3655,4,3656,0,3656,1017600,3657,1017600,3658,1017600,3659,1017600,3660,1017600,3661,1017600
3741,6,3743,1,3745,11,3742,5418812,3745,67197,0,3747,253000,3748,4,3748,0,3749,1248000,3750,1804800,3750,1804800,3750,1804800,3751,1804800,3751,1804800
3842,6,3845,1,3857,11,3843,5421560,3856,67197,0,3860,253000,3860,4,3861,0,3861,1248000,3862,1248000,3862,1248000,3862,1248000,3863,1248000,3863,1248000
3944,6,3946,1,3950,11,3945,5424664,3949,67197,0,3951,253000,3952,4,3953,0,3953,1804800,3953,1804800,3954,1804800,3954,1804800,3954,1804800,3955,1804800
4045,6,4047,1,4051,11,4046,5429132,4050,67197,0,4054,253000,4055,4,4055,0,4056,1804800,4056,1804800,4058,1804800,4059,1804800,4059,1804800,4059,1804800
4146,6,4147,1,4152,11,4146,5432256,4151,67197,0,4154,253000,4155,4,4155,0,4156,1804800,4157,1804800,4157,1804800,4158,1804800,4158,1804800,4159,1804800
4246,6,4247,1,4252,11,4246,5439184,4250,67197,0,4255,253000,4256,4,4257,0,4258,1248000,4259,1804800,4259,1248000,4261,1248000,4261,1248000,4261,1248000
4347,6,4348,1,4353,11,4347,5442012,4351,67197,0,4355,253000,4356,4,4357,0,4358,1804800,4358,1804800,4359,1804800,4359,1804800,4359,1804800,4359,1804800
4448,6,4449,1,4455,11,4448,5447224,4454,67197,0,4458,253000,4460,4,4462,0,4463,1516800,4464,1516800,4464,1516800,4465,1516800,4465,1516800,4465,1516800
