Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Battery Remaining (%) [%],Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz]
36,6,39,1,47,11,37,5456360,45,0,0,52,565000,52,0,53,0,54,1804800,55,1804800,55,1804800,55,1804800,56,1804800,56,1804800
106,6,109,1,115,11,107,5460360,113,0,0,119,565000,120,0,120,0,121,1804800,121,1804800,122,1804800,123,1804800,124,1804800,124,1804800
207,6,209,1,213,11,207,5464912,212,0,0,218,565000,219,0,220,0,221,1804800,222,1804800,223,1804800,223,1804800,224,1804800,224,1804800
310,6,314,1,324,11,312,5450868,322,0,0,329,565000,330,4,331,0,332,1804800,332,1804800,334,1804800,335,1804800,336,1804800,336,1804800
410,6,412,1,416,11,411,5455200,415,256736,248337,421,565000,422,4,423,0,424,1804800,425,1804800,426,1804800,427,1804800,428,1804800,428,1804800
510,6,512,1,520,11,511,5464500,518,256736,248337,528,565000,529,4,530,0,532,1804800,533,1804800,534,1804800,535,1804800,535,1804800,536,1804800
611,6,612,1,616,11,611,5455568,615,256736,248337,618,565000,619,4,620,0,620,1804800,621,1804800,621,1804800,622,1804800,622,1804800,623,1804800
711,6,712,1,715,11,711,5456764,714,256736,248337,717,565000,718,4,719,0,719,1804800,719,1804800,720,1804800,720,1804800,720,1804800,721,1804800
811,6,812,1,814,11,811,5458120,814,256736,248337,816,565000,816,4,816,0,817,1804800,817,1804800,817,1804800,818,1804800,818,1804800,818,1804800
912,6,914,1,916,11,912,5462584,915,256736,248337,917,565000,917,4,918,0,918,1804800,919,1804800,919,1804800,920,1804800,920,1804800,920,1804800
1012,6,1014,1,1020,11,1013,5458192,1018,256736,248337,1025,565000,1026,4,1027,0,1028,1804800,1028,1804800,1029,1804800,1029,1804800,1029,1804800,1030,1804800
1113,6,1114,1,1117,11,1113,5460136,1116,256736,248337,1119,565000,1119,4,1120,0,1120,1804800,1121,1804800,1121,1804800,1122,1804800,1122,1804800,1122,1804800
1213,6,1215,1,1220,11,1214,5465568,1219,256736,248337,1224,565000,1225,4,1226,0,1227,1804800,1227,1804800,1228,1804800,1228,1804800,1228,1804800,1229,1804800
1314,6,1317,1,1321,11,1315,5462288,1320,256736,248337,1323,565000,1324,4,1325,0,1325,1804800,1326,1804800,1326,1804800,1327,1804800,1328,1804800,1329,1804800
1415,6,1418,1,1426,11,1416,5457984,1424,256736,248337,1430,430000,1431,4,1432,0,1432,1804800,1433,1804800,1434,1804800,1435,1804800,1435,1804800,1436,1804800
1515,6,1517,1,1521,11,1516,5459024,1520,160265,151866,1524,430000,1525,4,1525,0,1526,1804800,1526,1804800,1527,1804800,1527,1804800,1527,1804800,1528,1804800
1616,6,1619,1,1624,11,1617,5459144,1623,160265,151866,1628,430000,1629,4,1630,0,1631,768000,1631,768000,1632,768000,1633,768000,1633,768000,1634,768000
1717,6,1720,1,1726,11,1717,5459880,1724,160265,151866,1730,253000,1731,4,1731,0,1733,1804800,1734,1804800,1735,1804800,1736,1804800,1737,1804800,1738,1804800
1820,6,1826,1,1833,11,1820,5451900,1831,67197,58798,1837,253000,1838,4,1839,0,1840,1804800,1840,1804800,1841,1804800,1841,1804800,1842,1804800,1842,1804800
1919,6,1922,1,1928,11,1920,5457644,1926,67197,58798,1932,253000,1933,4,1934,0,1935,1804800,1935,1804800,1936,1804800,1936,1804800,1937,1804800,1937,1804800
2023,6,2027,1,2035,11,2024,5459696,2033,67197,58798,2039,253000,2040,4,2041,0,2042,1804800,2042,1804800,2043,1804800,2043,1804800,2044,1804800,2044,1804800
2123,6,2125,1,2131,11,2123,5459340,2130,67197,58798,2136,253000,2137,4,2137,0,2138,1804800,2139,1612800,2139,1612800,2140,1612800,2140,1612800,2140,1612800
2223,6,2226,1,2231,11,2224,5458904,2230,67197,58798,2236,253000,2238,4,2239,0,2240,1804800,2240,1804800,2241,1804800,2241,1804800,2242,1804800,2243,1804800
2323,6,2325,1,2328,11,2324,5445528,2328,67197,58798,2330,253000,2331,4,2332,0,2332,1612800,2333,1612800,2333,1612800,2333,1612800,2334,1612800,2334,1612800
2425,6,2427,1,2430,11,2425,5447144,2429,67197,58798,2433,253000,2434,4,2436,0,2436,1804800,2437,1804800,2437,1804800,2438,1804800,2438,1804800,2439,1516800
2524,6,2526,1,2531,11,2525,5450004,2530,67197,58798,2533,253000,2534,4,2535,0,2536,1516800,2536,1516800,2537,1516800,2537,1516800,2538,1516800,2538,1516800
2625,6,2628,1,2637,11,2626,5453292,2636,67197,58798,2639,253000,2640,4,2640,0,2641,1804800,2642,1804800,2642,1804800,2642,1804800,2643,1804800,2644,1804800
2727,6,2729,1,2736,11,2727,5458436,2734,67197,58798,2739,253000,2740,4,2741,0,2742,1804800,2742,1804800,2743,1804800,2744,1804800,2744,1804800,2745,1804800
2827,6,2828,1,2831,11,2827,5458688,2830,67197,58798,2833,253000,2833,4,2834,0,2835,1516800,2835,1516800,2835,1516800,2836,1516800,2836,1516800,2837,1516800
2928,6,2930,1,2935,11,2928,5459420,2933,67197,58798,2938,253000,2939,4,2940,0,2941,1248000,2941,1248000,2942,1248000,2942,1248000,2943,1248000,2943,1248000
3029,6,3031,1,3038,11,3029,5462648,3036,67197,58798,3047,253000,3048,4,3049,0,3050,1248000,3052,1248000,3053,1248000,3054,1248000,3055,1804800,3055,1804800
3129,6,3133,1,3139,11,3130,5461688,3137,67197,58798,3144,253000,3145,4,3146,0,3149,1248000,3151,1248000,3152,1248000,3153,1248000,3154,1248000,3154,1248000
3231,6,3234,1,3241,11,3232,5442016,3240,67197,58798,3244,253000,3245,4,3246,0,3246,1017600,3247,1017600,3247,1017600,3248,1017600,3248,1017600,3249,1017600
3332,6,3335,1,3339,11,3333,5419020,3338,67197,58798,3342,253000,3344,4,3345,0,3345,1248000,3346,1248000,3346,1248000,3347,1248000,3347,1248000,3347,1248000
3433,6,3440,1,3450,11,3436,5419320,3448,67197,58798,3454,253000,3457,5,3457,0,3458,1248000,3459,1248000,3459,1248000,3460,1248000,3461,1248000,3461,1248000
3534,6,3537,1,3544,11,3535,5420332,3543,83997,75598,3548,253000,3550,5,3551,0,3551,576000,3552,576000,3553,576000,3553,576000,3554,576000,3555,576000
3635,6,3638,1,3643,11,3636,5423364,3642,83997,75598,3646,253000,3648,5,3649,0,3655,1248000,3658,1248000,3659,1248000,3659,1248000,3660,1248000,3660,1248000
3735,6,3737,1,3743,11,3736,5425980,3738,83997,75598,3745,253000,3746,5,3746,0,3753,1612800,3754,1612800,3754,1612800,3755,1804800,3755,1804800,3755,1804800
3835,6,3837,1,3839,11,3836,5424816,3838,83997,75598,3844,253000,3845,5,3845,0,3845,1804800,3846,1804800,3846,1804800,3846,1804800,3846,1804800,3849,1804800
3936,6,3940,1,3948,11,3938,5423684,3946,83997,75598,3954,253000,3955,5,3956,0,3957,1248000,3957,1248000,3958,1248000,3958,1248000,3959,1248000,3959,1248000
4037,6,4039,1,4043,11,4038,5423676,4042,83997,75598,4046,253000,4046,5,4047,0,4047,1324800,4048,1324800,4048,1324800,4048,1324800,4049,1324800,4049,1324800
4137,6,4139,1,4140,11,4138,5424496,4140,83997,75598,4142,253000,4142,5,4143,0,4143,1804800,4143,1804800,4144,1804800,4144,1804800,4144,1804800,4144,1804800
4239,6,4241,1,4206,11,4240,5429140,4245,83997,75598,4248,253000,4249,5,4249,0,4250,1804800,4250,1804800,4250,1804800,4251,1804800,4251,1804800,4252,1804800
4340,6,4343,1,4246,11,4342,5429912,4347,83997,75598,4354,253000,4356,5,4357,0,4357,1804800,4358,1804800,4358,1804800,4359,1804800,4359,1804800,4360,1804800
4443,6,4446,1,4349,11,4444,5430448,4450,83997,75598,4453,253000,4454,0,4455,0,4456,1324800,4459,1324800,4460,1324800,4460,1324800,4461,1324800,4463,1324800
4545,6,4547,1,4451,11,4545,5431936,4550,0,0,4554,253000,4555,0,4556,0,4556,1248000,4556,1248000,4557,1248000,4557,1248000,4557,1248000,4558,1248000
4645,6,4647,1,4552,11,4646,5432164,4650,0,0,4655,253000,4656,5,4657,0,4657,1804800,4658,1804800,4659,1804800,4659,1804800,4659,1804800,4660,1804800
,,,,4652,11,,,,,,,,,,,,,,,,,,,,,,,
