Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Battery Remaining (%) [%],Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz]
13,6,15,1,19,11,14,5409028,18,320920,52425,25,565000,26,5,26,0,27,1804800,27,1804800,28,1804800,28,1804800,29,1804800,29,1804800
74,6,77,1,82,11,75,5410808,80,320920,52425,91,565000,93,5,93,0,94,1804800,95,1804800,95,1804800,96,1804800,97,1804800,97,1804800
175,6,177,1,180,11,175,5415312,179,320920,52425,182,565000,183,4,184,0,184,1804800,184,1804800,185,1804800,185,1804800,186,1804800,186,1804800
275,6,277,1,281,11,276,5418336,280,256736,0,283,565000,284,4,285,0,285,1804800,286,1804800,286,1804800,287,1804800,287,1804800,288,1804800
377,6,379,1,384,11,378,5421880,382,256736,0,386,565000,387,4,388,0,389,1804800,390,1804800,390,1804800,391,1804800,391,1804800,391,1804800
477,6,479,1,482,11,478,5425140,482,256736,0,485,565000,486,4,486,0,487,1804800,487,1804800,488,1804800,488,1804800,489,1804800,489,1804800
578,6,580,1,585,11,578,5429412,584,256736,0,588,565000,588,4,589,0,589,1804800,590,1804800,590,1804800,590,1804800,591,1804800,591,1804800
678,6,680,1,684,11,679,5434248,683,256736,0,686,565000,687,4,688,0,688,1804800,690,1804800,690,1804800,690,1804800,692,1804800,693,1804800
779,6,780,1,783,11,779,5436044,782,256736,0,785,565000,786,4,787,0,787,1804800,787,1804800,788,1804800,788,1804800,788,1804800,789,1804800
880,6,882,1,888,11,880,5435496,886,256736,0,892,565000,893,4,894,0,895,1804800,895,1804800,896,1804800,896,1804800,896,1804800,897,1804800
