Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Battery Remaining (%) [%],Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz]
125,3,127,1,130,11,126,5280908,129,0,0,131,0,132,0,132,0,132,1804800,133,1804800,133,1804800,133,1804800,134,1804800,134,1804800
176,3,177,1,179,11,176,5281680,178,0,0,180,0,181,0,181,0,181,1804800,182,1804800,182,1804800,182,1804800,183,1804800,183,1804800
277,3,279,1,282,11,278,5283948,281,0,0,283,0,284,0,285,0,285,1804800,286,1804800,286,1804800,286,1804800,287,1804800,287,1804800
378,3,379,1,381,11,378,5284928,380,0,0,383,0,384,0,385,0,385,1804800,386,1804800,386,1804800,386,1804800,386,1804800,387,1804800
479,3,481,1,488,11,480,5285620,486,0,0,491,0,492,0,492,0,493,1804800,493,1804800,494,1804800,494,1804800,494,1804800,495,1804800
581,3,583,1,593,11,581,5286804,589,0,0,603,0,604,0,604,0,605,1804800,605,1804800,605,1804800,606,1804800,606,1804800,606,1804800
681,3,684,1,704,11,683,5288600,686,0,0,706,0,707,0,708,0,709,1804800,709,1804800,710,1804800,710,1804800,710,1804800,711,1804800
782,3,783,1,788,11,782,5290804,787,0,0,795,0,798,0,799,0,799,1804800,799,1804800,801,1804800,801,1804800,801,1804800,802,1804800
882,3,884,1,886,11,883,5289720,886,0,0,887,0,888,0,888,0,889,1804800,889,1804800,889,1804800,889,1804800,890,1804800,890,1804800
983,3,989,1,992,11,984,5290636,991,0,0,993,0,998,1,999,0,999,1804800,1000,1804800,1000,1804800,1000,1804800,1000,1804800,1000,1804800
1084,3,1086,1,1096,11,1085,5293436,1089,0,0,1099,0,1099,1,1100,0,1100,1804800,1100,1804800,1101,1804800,1101,1804800,1101,1804800,1102,1804800
1184,3,1186,1,1190,11,1185,5294688,1189,0,0,1195,0,1196,1,1197,0,1197,1804800,1199,1804800,1200,1804800,1200,1804800,1200,1804800,1201,1804800
1284,3,1286,1,1290,11,1285,5295600,1289,0,0,1291,0,1292,1,1293,0,1293,1804800,1293,1804800,1294,1804800,1294,1804800,1294,1804800,1295,1804800
1386,3,1388,1,1391,11,1387,5295428,1390,0,0,1395,0,1395,1,1396,0,1396,1804800,1396,1804800,1397,1804800,1397,1804800,1397,1804800,1397,1804800
1487,3,1489,1,1493,11,1487,5297940,1492,0,0,1495,0,1496,1,1496,0,1497,1804800,1497,1804800,1498,1804800,1498,1804800,1498,1804800,1498,1804800
1588,3,1590,1,1594,11,1588,5299452,1593,0,0,1596,0,1596,1,1597,0,1597,1804800,1598,1804800,1598,1804800,1598,1804800,1598,1804800,1599,1804800
1688,3,1689,1,1694,11,1688,5301468,1693,0,0,1695,0,1696,1,1696,0,1697,1804800,1697,1804800,1697,1804800,1698,1804800,1698,1804800,1698,1804800
1788,3,1790,1,1793,11,1789,5303956,1792,0,0,1794,0,1795,1,1795,0,1795,1804800,1796,1804800,1796,1804800,1796,1804800,1796,1804800,1797,1804800
1889,3,1891,1,1894,11,1889,5307040,1893,0,0,1897,0,1897,1,1898,0,1898,1804800,1898,1804800,1899,1804800,1899,1804800,1899,1804800,1899,1804800
1989,3,1991,1,1994,11,1990,5309700,1993,0,0,1996,0,1996,1,1997,0,1997,1804800,1997,1804800,1997,1804800,1998,1804800,1998,1804800,1998,1804800
2090,3,2092,1,2102,11,2091,5307092,2101,0,0,2105,0,2105,1,2106,0,2107,1804800,2109,1804800,2110,1804800,2110,1804800,2110,1804800,2111,1804800
2191,3,2192,1,2195,11,2191,5308128,2193,0,0,2196,0,2196,1,2197,0,2197,1804800,2197,1804800,2197,1804800,2198,1804800,2198,1804800,2198,1804800
2291,3,2293,1,2305,11,2292,5309004,2299,0,0,2313,0,2314,0,2314,0,2315,1804800,2316,1804800,2316,1804800,2317,1804800,2317,1804800,2317,1804800
2396,3,2398,1,2408,11,2396,5309936,2407,0,0,2426,0,2427,0,2427,0,2428,1804800,2428,1804800,2428,1804800,2429,1804800,2429,1804800,2429,1804800
2492,3,2495,1,2498,11,2493,5310808,2497,0,0,2499,0,2500,0,2500,0,2501,1804800,2502,1804800,2503,1804800,2504,1804800,2504,1804800,2504,1804800
2598,3,2600,1,2608,11,2599,5312668,2607,0,0,2611,0,2615,1,2616,0,2616,1804800,2618,1804800,2620,1804800,2622,1804800,2623,1804800,2623,1804800
2699,3,2700,1,2703,11,2699,5315068,2702,0,0,2704,0,2704,1,2705,0,2705,1804800,2705,1804800,2706,1804800,2706,1804800,2707,1804800,2707,1804800
2799,3,2803,1,2808,11,2799,5316052,2808,0,0,2810,0,2810,1,2811,0,2811,1804800,2811,1804800,2812,1804800,2812,1804800,2819,1804800,2820,1804800
2899,3,2900,1,2903,11,2900,5317036,2902,0,0,2904,0,2904,0,2905,0,2905,1804800,2906,1804800,2906,1804800,2906,1804800,2906,1804800,2907,1804800
3000,3,3001,1,3004,11,3000,5318068,3003,0,0,3005,0,3007,0,3008,0,3008,1804800,3008,1804800,3009,1804800,3009,1804800,3009,1804800,3009,1804800
3100,3,3103,1,3106,11,3101,5319332,3105,0,0,3107,0,3108,0,3115,0,3116,1804800,3116,1804800,3117,1804800,3118,1804800,3118,1804800,3118,1804800
3202,3,3206,1,3211,11,3204,5320120,3209,0,0,3214,0,3215,0,3216,0,3216,1248000,3217,1248000,3217,1248000,3217,1248000,3218,1248000,3218,1248000
3308,3,3311,1,3316,11,3309,5320896,3315,0,0,3319,0,3320,0,3321,0,3321,1248000,3322,1612800,3322,1612800,3323,1612800,3323,1612800,3324,1612800
3404,3,3406,1,3409,11,3405,5321624,3408,0,0,3411,0,3411,0,3412,0,3412,1804800,3416,1804800,3417,1804800,3417,1804800,3418,1804800,3419,1804800
3504,3,3507,1,3511,11,3505,5304260,3509,0,0,3512,0,3514,0,3514,0,3514,1804800,3515,1804800,3515,1804800,3515,1804800,3515,1804800,3516,1804800
3604,3,3607,1,3610,11,3605,5305496,3609,0,0,3612,0,3612,0,3613,0,3613,1804800,3614,1804800,3614,1804800,3614,1804800,3615,1804800,3615,1804800
3705,3,3707,1,3709,11,3705,5306872,3708,0,0,3710,0,3711,0,3711,0,3711,1804800,3712,1804800,3712,1804800,3712,1804800,3712,1804800,3712,1804800
3808,3,3812,1,3786,11,3809,5311428,3823,0,0,3826,0,3827,0,3827,0,3828,1804800,3828,1804800,3828,1804800,3828,1804800,3829,1804800,3829,1804800
3912,3,3916,1,3824,11,3913,5312168,3920,0,0,3924,0,3925,0,3926,0,3927,1017600,3927,1017600,3927,1017600,3928,1017600,3928,1017600,3929,1017600
4017,3,4020,1,3922,11,4018,5312704,4024,0,0,4028,0,4029,0,4030,0,4030,1017600,4031,1017600,4031,1017600,4032,1017600,4032,1017600,4032,1017600
4113,3,4115,1,4025,11,4114,5313932,4116,0,0,4121,0,4121,0,4122,0,4122,1804800,4123,1804800,4123,1804800,4124,1804800,4124,1804800,4124,1804800
