Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Battery Remaining (%) [%],Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz]
70,6,72,1,77,11,71,5406712,76,0,0,80,565000,81,0,82,0,83,1804800,83,1804800,84,1804800,85,1804800,85,1804800,86,1804800
170,6,172,1,176,11,171,5410196,175,0,0,179,565000,180,0,181,0,181,1804800,181,1804800,182,1804800,183,1804800,183,1804800,184,1804800
271,6,272,1,276,11,271,5412832,274,0,0,278,565000,278,0,279,0,280,1804800,280,1804800,281,1804800,282,1804800,282,1804800,283,1804800
372,6,376,1,386,11,373,5416596,382,0,0,390,565000,391,0,391,0,392,1804800,392,1804800,393,1804800,394,1804800,397,1804800,397,1804800
474,6,476,1,481,11,474,5419224,479,0,0,484,565000,486,0,486,0,487,1804800,487,1804800,488,1804800,488,1804800,489,1804800,490,1804800
574,6,576,1,586,11,575,5425880,585,0,0,594,565000,595,0,596,0,596,1804800,597,1804800,597,1804800,598,1804800,598,1804800,599,1804800
675,6,677,1,687,11,676,5430840,684,0,0,696,565000,697,0,697,0,698,1804800,700,1804800,700,1804800,700,1804800,701,1804800,701,1804800
776,6,778,1,782,11,777,5433040,781,0,0,784,565000,785,0,785,0,786,1804800,786,1804800,787,1804800,787,1804800,787,1804800,787,1804800
876,6,879,1,883,11,877,5440824,881,0,0,885,565000,886,0,886,0,887,1804800,887,1804800,888,1804800,888,1804800,888,1804800,889,1804800
978,6,981,1,986,11,979,5450200,985,0,0,988,565000,989,6,990,0,990,1804800,991,1804800,992,1804800,992,1804800,993,1804800,994,1804800
1080,6,1081,1,1085,11,1080,5458364,1084,385104,174073,1087,565000,1088,6,1089,0,1089,1804800,1090,1804800,1090,1804800,1090,1804800,1091,1804800,1091,1804800
1181,6,1185,1,1197,11,1182,5460468,1194,385104,174073,1203,430000,1204,6,1209,0,1210,1804800,1211,1804800,1212,1804800,1213,1804800,1214,1804800,1215,1804800
1281,6,1283,1,1290,11,1282,5458824,1289,240397,29366,1297,355000,1299,6,1299,0,1300,1804800,1301,1804800,1302,1804800,1302,1804800,1303,1804800,1304,1804800
1382,6,1385,1,1390,11,1382,5457540,1389,174300,0,1394,253000,1395,6,1396,0,1397,1804800,1397,1804800,1398,1804800,1398,1804800,1399,1804800,1399,1804800
1482,6,1484,1,1488,11,1483,5454036,1487,100796,0,1491,355000,1491,6,1492,0,1492,1612800,1493,1612800,1494,1612800,1494,1612800,1494,1612800,1495,1612800
1583,6,1586,1,1593,11,1583,5455288,1591,174300,0,1596,355000,1597,6,1598,0,1598,1804800,1600,1804800,1600,1804800,1601,1804800,1602,1804800,1602,1804800
1685,6,1688,1,1698,11,1687,5459024,1695,174300,0,1704,355000,1705,6,1705,0,1707,1804800,1708,1804800,1709,1804800,1710,1804800,1711,1804800,1712,1804800
1784,6,1786,1,1791,11,1784,5440576,1789,174300,0,1794,355000,1795,6,1795,0,1796,1804800,1796,1804800,1797,1804800,1797,1804800,1798,1804800,1798,1804800
1885,6,1887,1,1899,11,1885,5438948,1895,174300,0,1911,253000,1912,6,1913,0,1914,1804800,1915,1804800,1915,1804800,1916,1804800,1916,1804800,1917,1804800
1990,6,1993,1,1998,11,1991,5438684,1997,100796,0,2002,253000,2003,33,2004,0,2004,1804800,2005,1804800,2005,1804800,2006,1804800,2007,1804800,2007,1804800
2092,6,2094,1,2100,11,2093,5439668,2099,554380,343349,2103,355000,2103,33,2104,0,2105,1804800,2105,1804800,2105,1804800,2106,1804800,2106,1804800,2106,1804800
2192,6,2194,1,2208,11,2193,5440508,2197,958654,747623,2211,355000,2212,33,2212,0,2213,1804800,2213,1804800,2213,1804800,2214,1804800,2214,1804800,2214,1804800
2292,6,2294,1,2299,11,2293,5442128,2298,958654,747623,2301,355000,2302,33,2303,0,2303,1804800,2304,1804800,2304,1804800,2304,1804800,2305,1804800,2305,1804800
2392,6,2394,1,2398,11,2393,5444496,2397,958654,747623,2400,355000,2401,33,2401,0,2402,1804800,2402,1804800,2403,1804800,2403,1804800,2403,1804800,2404,1804800
2492,6,2494,1,2498,11,2493,5446252,2497,958654,747623,2501,253000,2502,33,2503,0,2503,1804800,2503,1804800,2504,1804800,2504,1804800,2504,1804800,2504,1804800
2593,6,2595,1,2599,11,2594,5447792,2598,554380,343349,2601,355000,2602,33,2602,0,2603,1804800,2603,1804800,2604,1804800,2604,1804800,2605,1804800,2605,1804800
2695,6,2697,1,2703,11,2696,5453812,2701,958654,747623,2705,355000,2705,33,2706,0,2710,1804800,2711,1804800,2712,1804800,2712,1804800,2713,1804800,2713,1804800
2796,6,2801,1,2811,11,2797,5456668,2806,958654,747623,2815,355000,2816,33,2817,0,2818,1804800,2819,1804800,2819,1804800,2820,1804800,2820,1804800,2820,1804800
2896,6,2899,1,2903,11,2897,5449568,2902,958654,747623,2905,355000,2906,33,2907,0,2907,1804800,2908,1804800,2908,1804800,2909,1804800,2909,1804800,2910,1804800
2996,6,2999,1,2938,11,2997,5443388,3002,958654,747623,3006,355000,3008,50,3008,0,3009,1804800,3010,1804800,3010,1804800,3011,1804800,3012,1804800,3012,1804800
3099,6,3102,1,3004,11,3100,5434060,3105,1452507,1241476,3109,355000,3109,50,3110,0,3111,1804800,3111,1804800,3111,1804800,3112,1804800,3112,1804800,3113,1804800
3199,6,3201,1,3106,11,3200,5432840,3204,1452507,1241476,3207,355000,3208,50,3209,0,3209,1804800,3210,1804800,3210,1804800,3212,1804800,3213,1804800,3213,1804800
3300,6,3303,1,3205,11,3301,5431632,3307,1452507,1241476,3313,253000,3314,50,3315,0,3316,1516800,3316,1516800,3318,1516800,3318,1516800,3320,1516800,3321,1516800
3401,6,3405,1,3310,11,3403,5432600,3410,839970,628939,3414,355000,3415,50,3416,0,3417,1804800,3417,1804800,3417,1804800,3418,1804800,3419,1804800,3420,1804800
3502,6,3504,1,3411,11,3503,5412968,3507,1452507,1241476,3511,355000,3512,50,3513,0,3514,1516800,3515,1516800,3516,1516800,3516,1516800,3517,1516800,3517,1516800
3602,6,3605,1,3508,11,3603,5416600,3607,1452507,1241476,3612,355000,3613,50,3613,0,3614,1804800,3614,1804800,3615,1804800,3615,1804800,3616,1804800,3617,1804800
3703,6,3706,1,3608,11,3704,5417964,3709,1452507,1241476,3714,355000,3715,50,3716,0,3716,1248000,3717,1248000,3718,1248000,3718,1248000,3719,1248000,3719,1248000
3804,6,3807,1,3711,11,3805,5418612,3812,1452507,1241476,3820,253000,3821,50,3822,0,3823,1017600,3824,1017600,3824,1017600,3825,1017600,3826,1017600,3826,1017600
3905,6,3908,1,3814,11,3906,5419084,3912,839970,628939,3917,355000,3919,50,3919,0,3920,1248000,3921,1248000,3921,1248000,3922,1248000,3922,1248000,3923,1248000
4006,6,4009,1,3913,11,4007,5419460,4013,1452507,1241476,4018,355000,4019,46,4020,0,4021,1248000,4021,1248000,4022,1248000,4023,1248000,4023,1248000,4024,1248000
4106,6,4109,1,4015,11,4107,5420484,4114,1336306,1125275,4118,355000,4120,46,4122,0,4122,1708800,4123,1708800,4123,1708800,4124,1708800,4125,1708800,4126,1516800
4207,6,4208,1,4115,11,4207,5421744,4209,1336306,1125275,4212,355000,4212,46,4213,0,4213,1017600,4213,1017600,4214,1017600,4214,1017600,4214,1017600,4215,1017600
4307,6,4308,1,4210,11,4308,5422304,4314,1336306,1125275,4317,355000,4317,46,4317,0,4318,1708800,4318,1708800,4318,1708800,4327,1708800,4327,1708800,4328,1708800
4408,6,4409,1,4315,11,4408,5422808,4410,1336306,1125275,4414,355000,4414,46,4414,0,4415,1017600,4415,1017600,4415,1017600,4415,1017600,4416,1017600,4416,1017600
4509,6,4512,1,4412,11,4510,5424052,4515,1336306,1125275,4519,355000,4520,46,4520,0,4521,1708800,4521,1708800,4521,1708800,4522,1708800,4522,1708800,4522,1708800
4613,6,,,4516,11,4614,5425312,,,,,,,,,,,,,,,,,,,,,
