Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Battery Remaining (%) [%],Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz]
28,6,30,1,33,11,29,5289420,32,0,0,35,565000,36,0,37,0,37,1804800,38,1804800,38,1804800,39,1804800,39,1804800,40,1804800
113,6,115,1,119,11,113,5295620,118,0,0,122,565000,124,0,124,0,125,1804800,126,1804800,126,1804800,127,1804800,128,1804800,128,1804800
212,6,215,1,220,11,214,5300328,218,0,0,223,565000,224,0,225,0,225,1804800,226,1804800,227,1804800,227,1804800,228,1804800,228,1804800
313,6,315,1,319,11,314,5303124,318,0,0,322,565000,322,4,323,0,323,1804800,324,1804800,324,1804800,325,1804800,325,1804800,326,1804800
413,6,415,1,422,11,414,5308984,420,256736,246657,425,565000,426,4,426,0,427,1804800,427,1804800,428,1804800,428,1804800,429,1804800,430,1804800
514,6,519,1,523,11,515,5312788,522,256736,246657,525,565000,526,4,527,0,527,1804800,528,1804800,528,1804800,529,1804800,529,1804800,530,1804800
615,6,616,1,625,11,615,5304680,620,256736,246657,628,565000,630,4,630,0,631,1804800,632,1804800,632,1804800,633,1804800,633,1804800,633,1804800
716,6,719,1,725,11,718,5308772,724,256736,246657,728,565000,728,4,730,0,731,1804800,732,1804800,732,1804800,732,1804800,733,1804800,733,1804800
816,6,819,1,824,11,817,5312424,823,256736,246657,827,565000,828,4,829,0,830,1804800,830,1804800,831,1804800,832,1804800,832,1804800,833,1804800
918,6,920,1,925,11,918,5320868,923,256736,246657,928,565000,929,4,930,0,931,1804800,931,1804800,932,1804800,933,1804800,933,1804800,934,1804800
1019,6,1022,1,1030,11,1020,5319948,1027,256736,246657,1034,565000,1035,4,1036,0,1037,1804800,1038,1804800,1038,1804800,1039,1804800,1039,1804800,1039,1804800
1119,6,1121,1,1124,11,1119,5320608,1123,256736,246657,1126,565000,1127,4,1128,0,1128,1804800,1129,1804800,1129,1804800,1130,1804800,1130,1804800,1131,1804800
1219,6,1222,1,1226,11,1220,5322496,1225,256736,246657,1229,430000,1230,4,1231,0,1231,1804800,1232,1804800,1233,1804800,1233,1804800,1234,1804800,1234,1804800
1320,6,1322,1,1326,11,1321,5324276,1325,160265,150186,1328,430000,1329,5,1330,0,1330,1804800,1331,1804800,1331,1804800,1332,1804800,1332,1804800,1333,1804800
1421,6,1423,1,1427,11,1422,5323288,1426,200331,190252,1430,355000,1430,5,1431,0,1431,1804800,1432,1804800,1432,1804800,1433,1804800,1433,1804800,1433,1804800
1521,6,1523,1,1539,11,1522,5329512,1534,145250,135171,1542,355000,1542,5,1543,0,1543,1804800,1544,1804800,1544,1804800,1544,1804800,1544,1804800,1545,1804800
