Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Battery Remaining (%) [%],Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz]
32,6,34,1,39,11,33,5407524,37,0,0,41,565000,42,0,43,0,43,1804800,44,1804800,44,1804800,44,1804800,45,1804800,45,1804800
109,6,110,1,113,11,109,5410020,112,0,0,115,565000,116,0,116,0,117,1804800,117,1804800,118,1804800,118,1804800,118,1804800,118,1804800
209,6,211,1,215,11,210,5413540,213,0,0,217,565000,218,0,218,0,218,1804800,218,1804800,219,1804800,219,1804800,219,1804800,220,1804800
310,6,311,1,313,11,310,5415780,312,0,0,315,565000,316,0,316,0,317,1804800,317,1804800,317,1804800,318,1804800,318,1804800,318,1804800
410,6,412,1,415,11,411,5419808,414,0,0,417,565000,418,0,418,0,419,1804800,419,1804800,420,1804800,420,1804800,421,1804800,421,1804800
511,6,512,1,514,11,511,5422244,513,0,0,516,565000,517,0,518,0,518,1804800,519,1804800,519,1804800,519,1804800,520,1804800,520,1804800
611,6,613,1,616,11,612,5424536,615,0,0,618,565000,619,4,619,0,620,1804800,620,1804800,620,1804800,621,1804800,621,1804800,621,1804800
712,6,713,1,716,11,712,5426072,715,256736,156799,718,565000,719,4,720,0,720,1804800,720,1804800,721,1804800,721,1804800,722,1804800,722,1804800
812,6,814,1,818,11,813,5430184,817,256736,156799,820,565000,821,4,821,0,822,1804800,822,1804800,822,1804800,822,1804800,823,1804800,823,1804800
913,6,915,1,919,11,913,5434224,918,256736,156799,921,565000,922,4,923,0,924,1804800,924,1804800,924,1804800,925,1804800,925,1804800,926,1804800
