Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Battery Remaining (%) [%],Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz]
79,6,80,1,3,11,79,5427416,0,0,0,5,565000,6,5,6,0,7,1804800,7,1804800,8,1804800,8,1804800,9,1804800,9,1804800
177,6,179,1,90,11,177,5423156,89,320920,307481,96,565000,97,5,97,0,99,1804800,100,1804800,101,1804800,101,1804800,102,1804800,102,1804800
282,6,284,1,187,11,282,5434056,184,320920,307481,190,565000,191,5,191,0,193,1804800,193,1804800,194,1804800,195,1804800,196,1804800,196,1804800
382,6,384,1,292,11,383,5439568,291,320920,307481,294,565000,297,5,298,0,299,1804800,299,1804800,300,1804800,300,1804800,301,1804800,301,1804800
483,6,485,1,395,11,484,5435508,392,320920,307481,398,565000,401,5,402,0,404,1804800,404,1804800,405,1804800,405,1804800,406,1804800,406,1804800
584,6,588,1,506,11,587,5442392,488,320920,307481,509,565000,510,5,510,0,511,1804800,512,1804800,512,1804800,513,1804800,514,1804800,514,1804800
684,6,685,1,597,11,684,5437688,594,320920,307481,600,565000,601,5,602,0,608,1804800,610,1804800,611,1804800,611,1804800,612,1804800,612,1804800
785,6,787,1,688,11,786,5438568,688,320920,307481,690,565000,691,5,691,0,692,1804800,692,1804800,693,1804800,693,1804800,693,1804800,693,1804800
885,6,887,1,790,11,886,5439464,789,320920,307481,792,565000,793,5,793,0,793,1804800,794,1804800,794,1804800,795,1804800,795,1804800,795,1804800
986,6,988,1,890,11,987,5441568,889,320920,307481,893,565000,895,5,895,0,895,1804800,896,1804800,896,1804800,897,1804800,897,1804800,897,1804800
1086,6,1088,1,991,11,1087,5447404,990,320920,307481,993,565000,993,5,994,0,994,1804800,995,1804800,995,1804800,995,1804800,996,1804800,996,1804800
1189,6,1191,1,1090,11,1190,5448632,1089,320920,307481,1092,565000,1092,4,1093,0,1093,1804800,1093,1804800,1093,1804800,1094,1804800,1094,1804800,1094,1804800
1293,6,1296,1,1196,11,1294,5449412,1195,256736,243297,1197,565000,1198,4,1198,0,1199,1804800,1199,1804800,1199,1804800,1200,1804800,1200,1804800,1200,1804800
1394,6,1397,1,1300,11,1396,5449996,1299,256736,243297,1303,430000,1305,4,1305,0,1306,1804800,1306,1804800,1307,1804800,1308,1804800,1308,1804800,1308,1804800
1496,6,1500,1,1402,11,1498,5450540,1401,160265,146826,1406,430000,1407,4,1408,0,1408,1804800,1409,1804800,1409,1804800,1409,1804800,1410,1804800,1411,1804800
1597,6,1603,1,1507,11,1599,5451068,1505,160265,146826,1511,430000,1512,4,1513,0,1514,768000,1515,768000,1516,768000,1517,768000,1518,768000,1519,768000
1697,6,1701,1,1614,11,1699,5451716,1612,160265,146826,1622,355000,1623,4,1624,0,1625,1248000,1626,1248000,1628,1248000,1630,1248000,1631,1248000,1632,1248000
1798,6,1801,1,1710,11,1799,5453432,1709,116200,102761,1714,355000,1715,4,1716,0,1717,1017600,1718,1017600,1719,1017600,1719,1017600,1720,1017600,1721,1017600
1898,6,1899,1,1806,11,1898,5455512,1805,116200,102761,1808,253000,1809,4,1809,0,1810,1516800,1810,1516800,1810,1516800,1811,1516800,1811,1516800,1812,1516800
1998,6,2000,1,1902,11,1999,5455616,1901,67197,53758,1903,253000,1904,4,1905,0,1905,1804800,1906,1804800,1906,1804800,1906,1804800,1907,1804800,1907,1804800
2099,6,2100,1,2005,11,2099,5456672,2004,67197,53758,2006,253000,2007,4,2008,0,2008,1804800,2008,1804800,2009,1804800,2009,1804800,2009,1804800,2009,1804800
2201,6,2205,1,2104,11,2203,5457484,2103,67197,53758,2106,253000,2107,3,2107,0,2108,1804800,2108,1804800,2108,1804800,2109,1804800,2109,1804800,2109,1804800
2301,6,2304,1,2212,11,2302,5458352,2210,50398,36959,2216,253000,2219,0,2220,0,2221,576000,2222,576000,2223,576000,2223,1248000,2224,1248000,2224,1248000
2402,6,2406,1,2308,11,2404,5459116,2307,0,0,2311,253000,2312,0,2313,0,2314,768000,2314,768000,2315,768000,2316,768000,2316,768000,2317,768000
2504,6,2508,1,2413,11,2505,5459116,2411,0,0,2418,253000,2419,0,2420,0,2421,576000,2422,576000,2423,1248000,2424,1248000,2424,1248000,2425,1248000
2604,6,2606,1,2526,11,2605,5463872,2525,0,0,2530,253000,2533,0,2534,0,2534,1248000,2535,1248000,2535,1248000,2536,1248000,2536,1248000,2536,1248000
2705,6,2707,1,2608,11,2706,5464660,2608,0,0,2609,253000,2610,0,2610,0,2611,1804800,2611,1804800,2611,1804800,2611,1804800,2611,1804800,2612,1804800
2807,6,2811,1,2715,11,2809,5454388,2712,0,0,2720,253000,2721,0,2723,0,2724,1324800,2724,1324800,2725,1324800,2726,1324800,2726,1324800,2727,1324800
2909,6,2913,1,2819,11,2910,5454156,2817,0,0,2826,253000,2827,0,2828,0,2829,1248000,2830,1248000,2830,1248000,2831,1248000,2832,1248000,2832,1248000
3010,6,3013,1,2921,11,3011,5454944,2919,0,0,2925,253000,2926,0,2927,0,2928,1248000,2930,1248000,2931,1248000,2931,1248000,2932,1248000,2932,1248000
3112,6,3115,1,3019,11,3113,5455416,3017,0,0,3025,253000,3026,0,3027,0,3028,576000,3029,576000,3030,576000,3031,576000,3031,576000,3032,576000
3215,6,3219,1,3121,11,3216,5456172,3119,0,0,3125,253000,3126,0,3127,0,3128,576000,3129,576000,3129,576000,3130,576000,3131,576000,3132,576000
3266,3,3320,1,3226,11,3317,5456732,3224,0,0,3228,253000,3229,3,3230,0,3230,1248000,3231,1248000,3231,1248000,3232,1248000,3232,1248000,3232,1248000
3315,3,3420,1,3326,11,3418,5457208,3325,50398,36959,3329,253000,3331,3,3331,0,3332,768000,3332,768000,3333,768000,3334,768000,3335,768000,3336,768000
3417,3,3522,1,3427,11,3519,5458004,3424,50398,36959,3430,253000,3432,3,3432,0,3433,576000,3434,576000,3434,576000,3435,576000,3436,576000,3436,576000
3518,3,3622,1,3526,11,3620,5461760,3525,50398,36959,3531,253000,3532,3,3534,0,3535,768000,3535,768000,3536,768000,3537,768000,3537,768000,3538,768000
3619,3,3723,1,3629,11,3722,5462768,3627,50398,36959,3633,253000,3635,3,3635,0,3636,576000,3637,576000,3637,576000,3638,576000,3639,576000,3639,576000
