Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Battery Remaining (%) [%],Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz]
44,6,46,1,52,11,45,5429684,51,256736,82536,57,565000,58,4,58,0,59,1804800,60,1804800,60,1804800,61,1804800,61,1804800,62,1804800
106,6,109,1,114,11,107,5435336,113,256736,82536,118,565000,120,4,121,0,122,1804800,122,1804800,123,1804800,123,1804800,124,1804800,124,1804800
206,6,208,1,213,11,207,5437908,212,256736,82536,216,565000,217,4,218,0,219,1804800,220,1804800,221,1804800,222,1804800,223,1804800,223,1804800
307,6,309,1,314,11,308,5448952,312,256736,82536,317,565000,318,4,319,0,320,1804800,320,1804800,321,1804800,322,1804800,322,1804800,323,1804800
410,6,413,1,418,11,411,5453392,416,256736,82536,420,565000,421,4,422,0,423,1804800,423,1804800,424,1804800,424,1804800,425,1804800,425,1804800
511,6,515,1,522,11,512,5456808,520,256736,82536,525,565000,527,4,528,0,529,1804800,530,1804800,532,1804800,532,1804800,533,1804800,534,1804800
613,6,629,1,645,11,617,5463388,643,256736,82536,651,565000,653,3,653,0,655,1804800,656,1804800,657,1804800,658,1804800,660,1804800,661,1804800
714,6,716,1,723,11,714,5454672,721,192552,18352,727,565000,728,3,729,0,730,1804800,730,1804800,731,1804800,732,1804800,732,1804800,733,1804800
814,6,818,1,826,11,815,5459088,824,192552,18352,831,565000,833,3,833,0,835,1804800,836,1804800,837,1804800,838,1804800,838,1804800,839,1804800
917,6,919,1,927,11,918,5449704,925,192552,18352,932,565000,933,3,934,0,934,1804800,935,1804800,935,1804800,936,1804800,937,1804800,938,1804800
1018,6,1021,1,1037,11,1019,5445700,1028,192552,18352,1043,565000,1044,3,1044,0,1046,1804800,1047,1804800,1047,1804800,1049,1804800,1050,1804800,1050,1804800
1118,6,1120,1,1123,11,1119,5449144,1122,192552,18352,1125,565000,1126,3,1126,0,1127,1804800,1127,1804800,1127,1804800,1128,1804800,1128,1804800,1128,1804800
1218,6,1220,1,1223,11,1219,5450252,1222,192552,18352,1224,565000,1225,3,1226,0,1226,1804800,1227,1804800,1227,1804800,1227,1804800,1228,1804800,1228,1804800
1320,6,1323,1,1327,11,1321,5452580,1326,192552,18352,1330,565000,1331,3,1331,0,1332,1804800,1332,1804800,1333,1804800,1333,1804800,1334,1804800,1334,1804800
1420,6,1422,1,1426,11,1421,5453508,1425,192552,18352,1429,430000,1430,3,1430,0,1431,1804800,1431,1804800,1432,1804800,1432,1804800,1433,1804800,1434,1804800
1520,6,1522,1,1525,11,1521,5453748,1524,120198,0,1528,430000,1529,3,1530,0,1530,1804800,1531,1804800,1531,1804800,1532,1804800,1532,1804800,1533,1804800
