Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Battery Remaining (%) [%],Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz]
65,6,67,1,71,11,66,5451648,70,0,0,74,565000,75,0,75,0,76,1804800,77,1804800,77,1804800,78,1804800,78,1804800,79,1804800
165,6,167,1,171,11,166,5453668,170,0,0,173,565000,174,0,175,0,176,1804800,176,1804800,177,1804800,177,1804800,177,1804800,178,1804800
266,6,268,1,272,11,267,5455780,271,0,0,284,565000,285,0,286,0,286,1804800,287,1804800,287,1804800,288,1804800,288,1804800,288,1804800
367,6,369,1,372,11,368,5459144,371,0,0,375,565000,375,0,376,0,376,1804800,377,1804800,377,1804800,378,1804800,378,1804800,378,1804800
467,6,469,1,472,11,468,5461372,471,0,0,474,565000,475,0,475,0,476,1804800,476,1804800,477,1804800,477,1804800,477,1804800,478,1804800
571,6,574,1,580,11,572,5463080,578,0,0,583,565000,584,0,585,0,586,1804800,586,1804800,587,1804800,587,1804800,587,1804800,588,1804800
670,6,673,1,682,11,671,5453880,680,0,0,688,565000,688,3,689,0,690,1804800,690,1804800,690,1804800,691,1804800,692,1804800,692,1804800
769,6,771,1,775,11,770,5455664,774,192552,76117,777,565000,778,3,779,0,779,1804800,780,1804800,780,1804800,781,1804800,782,1804800,782,1804800
869,6,871,1,875,11,870,5450080,873,192552,76117,876,565000,877,3,877,0,877,1804800,878,1804800,878,1804800,878,1804800,878,1804800,879,1804800
971,6,973,1,982,11,972,5450008,977,192552,76117,985,565000,986,3,986,0,987,1804800,987,1804800,988,1804800,988,1804800,989,1804800,989,1804800
1070,6,1072,1,1074,11,1071,5450552,1073,192552,76117,1076,565000,1076,3,1077,0,1077,1804800,1077,1804800,1078,1804800,1078,1804800,1078,1804800,1078,1804800
1171,6,1174,1,1179,11,1172,5451076,1177,192552,76117,1182,565000,1182,3,1183,0,1184,1804800,1184,1804800,1184,1804800,1185,1804800,1185,1804800,1185,1804800
1272,6,1275,1,1280,11,1274,5451612,1279,192552,76117,1283,565000,1283,3,1284,0,1284,1804800,1286,1804800,1286,1804800,1287,1804800,1287,1804800,1288,1804800
1373,6,1375,1,1377,11,1373,5452176,1377,192552,76117,1381,565000,1382,3,1382,0,1383,1804800,1383,1804800,1384,1804800,1384,1804800,1385,1804800,1385,1804800
1475,6,1480,1,1489,11,1478,5452712,1487,192552,76117,1495,565000,1497,3,1498,0,1499,1248000,1499,1248000,1500,1248000,1500,1248000,1501,1248000,1502,1248000
1574,6,1577,1,1582,11,1575,5455280,1581,192552,76117,1587,565000,1588,3,1589,0,1589,768000,1590,768000,1591,768000,1592,768000,1592,768000,1593,768000
1675,6,1677,1,1685,11,1675,5457052,1681,192552,76117,1694,565000,1695,2,1696,0,1696,1804800,1698,1804800,1699,1804800,1700,1804800,1700,1804800,1701,1804800
1775,6,1778,1,1793,11,1776,5465120,1791,128368,11933,1798,430000,1799,2,1800,0,1802,1804800,1802,1804800,1803,1804800,1804,1804800,1805,1804800,1805,1804800
1876,6,1880,1,1887,11,1877,5457432,1886,80132,0,1894,430000,1894,2,1895,0,1896,1248000,1896,1248000,1897,1248000,1897,1248000,1898,1612800,1898,1612800
1977,6,1979,1,1982,11,1978,5459796,1981,80132,0,1984,253000,1985,2,1985,0,1986,1804800,1986,1804800,1986,1804800,1987,1804800,1987,1804800,1988,1804800
2079,6,2081,1,2089,11,2079,5464060,2087,33598,0,2093,253000,2094,0,2095,0,2096,1804800,2097,1804800,2098,1804800,2099,1804800,2104,1804800,2104,1804800
