Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Battery Remaining (%) [%],Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz]
0,6,2,1,20,24,1,5460460,13,0,0,24,253000,24,0,25,0,26,1804800,27,1804800,28,1804800,30,1804800,31,1804800,32,1804800
72,6,74,1,80,24,73,5455816,78,0,0,84,253000,85,0,86,0,92,1804800,93,1804800,93,1804800,94,1804800,94,1804800,94,1804800
174,6,176,1,183,24,175,5458616,178,0,0,185,253000,186,0,187,0,187,1804800,188,1804800,188,1804800,189,1804800,189,1804800,190,1804800
280,6,285,1,301,24,281,5449304,289,0,0,306,253000,307,0,307,0,309,1804800,309,1804800,310,1804800,311,1804800,312,1804800,312,1804800
377,6,381,1,385,24,377,5454156,383,0,0,392,253000,393,0,394,0,394,1804800,395,1804800,395,1804800,396,1804800,396,1804800,397,1804800
477,6,479,1,490,24,478,5464848,488,0,0,501,253000,502,0,503,0,504,1804800,504,1804800,505,1804800,505,1804800,510,1804800,510,1804800
578,6,580,1,609,24,578,5462436,601,0,0,616,253000,617,0,617,0,620,1804800,621,1804800,622,1804800,623,1804800,624,1804800,625,1804800
678,6,681,1,687,24,679,5457144,686,0,0,691,253000,692,0,693,0,694,1804800,694,1804800,695,1804800,695,1804800,696,1804800,696,1804800
778,6,780,1,782,24,779,5460480,782,0,0,784,253000,785,0,785,0,786,1804800,786,1804800,786,1804800,787,1804800,787,1804800,787,1804800
880,6,883,1,890,24,881,5457612,888,0,0,895,253000,896,0,896,0,897,1804800,898,1804800,898,1804800,898,1804800,899,1804800,899,1804800
979,6,981,1,983,24,980,5457964,982,0,0,984,253000,985,0,986,0,986,1804800,987,1804800,987,1804800,987,1804800,987,1804800,988,1804800
1080,6,1082,1,1085,24,1081,5460012,1084,0,0,1088,253000,1089,4,1090,0,1090,1804800,1091,1804800,1091,1804800,1092,1804800,1092,1804800,1092,1804800
1181,6,1183,1,1158,24,1182,5461680,1185,67197,0,1188,253000,1188,4,1189,0,1189,1804800,1190,1804800,1190,1804800,1191,1804800,1191,1804800,1191,1804800
1283,6,1287,1,1186,24,1284,5459120,1292,67197,0,1297,253000,1298,4,1299,0,1300,1804800,1301,1804800,1302,1804800,1302,1804800,1303,1804800,1304,1804800
1385,6,1389,1,1294,24,1387,5458416,1396,67197,0,1401,253000,1402,4,1403,0,1404,1804800,1404,1804800,1405,1804800,1405,1804800,1405,1804800,1405,1804800
1485,6,1488,1,1397,24,1486,5459224,1493,67197,0,1498,253000,1499,4,1500,0,1500,1516800,1501,1516800,1501,1516800,1502,1516800,1502,1516800,1502,1516800
1586,6,1588,1,1495,24,1587,5458968,1592,67197,0,1596,253000,1596,4,1597,0,1597,1804800,1598,1804800,1598,1804800,1598,1804800,1598,1804800,1598,1804800
1687,6,1692,1,1593,24,1688,5457688,1697,67197,0,1707,253000,1708,4,1708,0,1709,1804800,1710,1804800,1711,1804800,1712,1804800,1713,1804800,1714,1804800
1787,6,1791,1,1699,24,1788,5460548,1799,67197,0,1807,253000,1807,4,1808,0,1811,1804800,1811,1804800,1812,1804800,1812,1804800,1813,1804800,1813,1804800
1887,6,1890,1,1801,24,1888,5446392,1892,67197,0,1897,253000,1897,4,1898,0,1899,1804800,1900,1804800,1900,1804800,1901,1804800,1901,1804800,1902,1804800
1987,6,1990,1,1894,24,1988,5444088,1993,67197,0,1995,253000,1996,4,1998,0,1998,1804800,1999,1804800,1999,1804800,1999,1804800,2000,1804800,2000,1804800
2088,6,2093,1,1993,24,2091,5445700,2097,67197,0,2103,253000,2105,4,2105,0,2106,1248000,2107,1248000,2108,1248000,2108,1248000,2108,1248000,2109,1248000
2189,6,2198,1,2098,24,2191,5445904,2202,67197,0,2208,253000,2209,3,2210,0,2211,768000,2211,768000,2212,768000,2212,768000,2213,768000,2213,768000
2289,6,2292,1,2204,24,2290,5447460,2294,50398,0,2296,253000,2297,3,2297,0,2298,1708800,2298,1708800,2298,1708800,2299,1708800,2299,1708800,2299,1708800
2391,6,2395,1,2295,24,2392,5448660,2400,50398,0,2409,253000,2410,3,2411,0,2412,576000,2413,576000,2413,576000,2414,1248000,2415,1248000,2415,1248000
2491,6,2494,1,2402,24,2492,5449844,2497,50398,0,2501,253000,2503,3,2504,0,2504,768000,2505,768000,2506,768000,2507,768000,2508,768000,2509,768000
2592,6,2593,1,2498,24,2592,5450112,2596,50398,0,2599,253000,2600,3,2601,0,2601,1804800,2602,1804800,2602,1804800,2603,1804800,2603,1804800,2604,1804800
2692,6,2697,1,2596,24,2693,5438644,2699,50398,0,2702,253000,2704,3,2704,0,2705,1804800,2705,1804800,2706,1804800,2706,1804800,2706,1804800,2707,1804800
2793,6,2795,1,2700,24,2794,5438468,2797,50398,0,2807,253000,2808,3,2809,0,2809,1804800,2810,1804800,2810,1804800,2811,1804800,2811,1804800,2811,1804800
2899,6,2901,1,2798,24,2900,5432108,2905,50398,0,2908,253000,2908,3,2909,0,2909,1324800,2910,1324800,2910,1324800,2911,1516800,2911,1516800,2911,1516800
3000,6,3003,1,2906,24,3001,5433724,3011,50398,0,3016,253000,3017,3,3018,0,3018,1804800,3018,1804800,3019,1804800,3019,1804800,3020,1804800,3020,1804800
3102,6,3104,1,3013,24,3103,5433432,3107,50398,0,3109,253000,3110,3,3110,0,3111,1804800,3111,1804800,3111,1804800,3111,1804800,3112,1804800,3112,1804800
3203,6,3207,1,3107,24,3204,5423100,3211,50398,0,3217,253000,3218,0,3218,0,3219,768000,3220,768000,3220,768000,3221,768000,3222,768000,3223,768000
3304,6,3307,1,3213,24,3305,5422532,3311,0,0,3315,253000,3316,4,3316,0,3317,1248000,3317,1248000,3318,1248000,3318,1248000,3318,1248000,3319,1248000
3404,6,3410,1,3312,24,3405,5423112,3413,67197,0,3418,253000,3420,4,3421,0,3422,1017600,3422,1017600,3423,1017600,3424,1017600,3424,1017600,3425,1017600
3505,6,3509,1,3415,24,3507,5423812,3513,67197,0,3518,253000,3520,4,3521,0,3522,768000,3523,768000,3524,768000,3524,768000,3525,768000,3526,768000
3605,6,3609,1,3515,24,3607,5424296,3611,67197,0,3615,253000,3616,4,3616,0,3617,1516800,3617,1516800,3617,1516800,3618,1516800,3618,1516800,3619,1516800
3706,6,3709,1,3612,24,3707,5428492,3712,67197,0,3716,253000,3717,4,3718,0,3719,1248000,3720,1248000,3720,1248000,3721,1248000,3721,1248000,3722,1248000
3807,6,3808,1,3712,24,3807,5429088,3811,67197,0,3814,253000,3816,4,3816,0,3817,1017600,3818,1017600,3818,1017600,3819,1017600,3819,1017600,3819,1017600
3908,6,3909,1,3812,24,3908,5409376,3912,67197,0,3918,253000,3919,4,3919,0,3920,1248000,3920,1248000,3920,1248000,3921,1248000,3922,1248000,3922,1248000
4008,6,4010,1,3915,24,4009,5410556,4013,67197,0,4017,253000,4017,4,4018,0,4019,1804800,4020,1804800,4021,1804800,4021,1804800,4022,1804800,4023,1804800
4110,6,4112,1,4014,24,4111,5411220,4115,67197,0,4118,253000,4119,4,4120,0,4120,768000,4121,768000,4122,768000,4122,768000,4123,768000,4124,768000
4211,6,4213,1,4116,24,4211,5413812,4217,67197,0,4220,253000,4221,4,4221,0,4222,1708800,4222,1708800,4222,1708800,4222,1708800,4223,1708800,4223,1708800
4311,6,4315,1,4218,24,4312,5414320,4320,67197,0,4327,253000,4329,4,4329,0,4331,1248000,4332,1248000,4333,1248000,4334,1804800,4335,1804800,4335,1804800
4412,6,4415,1,4322,24,4413,5414572,4419,67197,0,4423,253000,4424,4,4425,0,4426,768000,4426,768000,4427,768000,4428,768000,4429,768000,4429,768000
4513,6,4514,1,4420,24,4513,5415712,4517,67197,0,4519,253000,4520,4,4520,0,4520,1804800,4521,1804800,4521,1804800,4521,1804800,4521,1804800,4521,1804800
4613,6,4613,1,4518,24,4613,5393936,4615,67197,0,4618,253000,4619,4,4619,0,4620,1804800,4620,1804800,4621,1804800,4621,1804800,4622,1804800,4622,1804800
4713,6,,,4616,24,,,,,,,,,,,,,,,,,,,,,,,
