Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Battery Remaining (%) [%],Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz]
74,4,76,1,0,24,75,5241164,78,0,0,2,0,3,0,4,0,4,1804800,6,1804800,7,1804800,7,1804800,8,1804800,9,1804800
175,4,177,1,78,24,176,5238560,181,0,0,79,0,84,0,86,0,87,1804800,88,1804800,89,1804800,89,1804800,89,1804800,90,1804800
276,4,277,1,182,24,276,5238904,279,0,0,184,0,194,0,195,0,195,1804800,197,1804800,199,1804800,200,1804800,200,1804800,201,1804800
376,4,377,1,280,24,376,5240668,379,0,0,281,0,282,0,282,0,283,1804800,283,1804800,283,1804800,283,1804800,284,1804800,284,1804800
476,4,478,1,380,24,477,5242680,480,0,0,381,0,382,0,382,0,383,1804800,383,1804800,383,1804800,384,1804800,384,1804800,384,1804800
578,4,580,1,480,24,579,5243996,584,0,0,481,0,482,0,482,0,482,1804800,483,1804800,483,1804800,484,1804800,484,1804800,484,1804800
679,4,680,1,585,24,679,5246696,683,0,0,589,0,598,0,599,0,600,1804800,601,1804800,601,1804800,601,1804800,602,1804800,602,1804800
779,4,781,1,685,24,780,5248116,783,0,0,687,0,688,0,688,0,689,1804800,689,1804800,689,1804800,690,1804800,690,1804800,690,1804800
881,4,883,1,784,24,882,5248804,891,0,0,787,0,790,0,791,0,791,1804800,792,1804800,792,1804800,793,1804800,793,1804800,794,1804800
980,4,983,1,893,24,981,5250612,989,0,0,897,0,908,0,909,0,910,1804800,911,1804800,912,1804800,912,1804800,913,1804800,914,1804800
1082,4,1085,1,992,24,1082,5256840,1089,0,0,994,0,995,1,996,0,997,1804800,997,1804800,997,1804800,998,1804800,999,1804800,999,1804800
1181,4,1182,1,1090,24,1182,5257672,1190,0,0,1093,0,1094,1,1094,0,1095,1804800,1095,1804800,1096,1804800,1096,1804800,1097,1804800,1097,1804800
1282,4,1284,1,1192,24,1283,5253420,1286,0,0,1193,0,1194,1,1194,0,1195,1804800,1195,1804800,1195,1804800,1196,1804800,1196,1804800,1196,1804800
