Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Battery Remaining (%) [%],Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz]
30,6,32,1,36,23,31,5383632,34,621578,0,37,253000,38,0,38,0,39,1804800,39,1804800,40,1804800,40,1804800,40,1804800,41,1804800
110,6,115,1,118,23,111,5378204,117,0,0,120,253000,121,0,122,0,122,1804800,123,1804800,123,1804800,124,1804800,125,1804800,125,1804800
211,6,213,1,219,23,212,5378908,217,0,0,222,253000,223,0,224,0,224,1516800,225,1516800,225,1516800,226,1516800,226,1516800,226,1516800
312,6,314,1,319,23,313,5381020,318,0,0,321,253000,322,0,323,0,323,1804800,324,1804800,324,1804800,325,1804800,325,1804800,325,1804800
415,6,417,1,420,23,416,5386116,419,0,0,422,253000,422,12,423,0,423,1612800,424,1612800,424,1612800,424,1612800,424,1612800,425,1612800
513,6,515,1,518,23,513,5388292,517,201592,0,519,253000,520,12,520,0,520,1804800,521,1804800,522,1804800,522,1804800,523,1804800,523,1804800
614,6,616,1,621,23,615,5390676,620,201592,0,624,253000,625,12,626,0,626,1804800,627,1804800,627,1804800,628,1804800,628,1804800,629,1804800
717,6,719,1,731,23,718,5485312,729,201592,0,737,253000,738,12,739,0,740,1804800,741,1804800,741,1804800,742,1804800,743,1804800,744,1804800
818,6,821,1,828,23,819,5491556,827,201592,0,833,253000,834,12,835,0,836,1804800,837,1804800,838,1804800,839,1804800,840,1804800,841,1804800
917,6,920,1,926,23,918,5497740,924,201592,0,930,253000,930,12,931,0,932,1804800,932,1804800,933,1804800,933,1804800,934,1804800,935,1804800
1018,6,1021,1,1027,23,1019,5489416,1025,201592,0,1031,253000,1032,12,1033,0,1034,1804800,1035,1804800,1035,1804800,1036,1804800,1036,1804800,1036,1804800
1119,6,1122,1,1128,23,1120,5480316,1126,201592,0,1131,253000,1132,12,1132,0,1134,1804800,1134,1804800,1135,1804800,1136,1804800,1136,1804800,1137,1804800
1220,6,1227,1,1235,23,1224,5473448,1233,201592,0,1238,253000,1240,12,1240,0,1242,1804800,1243,1804800,1244,1804800,1246,1804800,1247,1804800,1248,1804800
1320,6,1323,1,1331,23,1321,5442064,1329,201592,0,1337,253000,1338,12,1339,0,1340,1804800,1341,1804800,1342,1804800,1342,1804800,1343,1804800,1343,1804800
1422,6,1426,1,1434,23,1423,5417624,1431,201592,0,1438,253000,1439,12,1439,0,1440,1248000,1440,1248000,1441,1248000,1441,1248000,1442,1248000,1442,1248000
1522,6,1526,1,1533,23,1524,5417940,1531,201592,0,1537,253000,1538,10,1539,0,1540,1248000,1540,1248000,1541,1248000,1542,1248000,1543,1248000,1543,1248000
1625,6,1629,1,1635,23,1627,5417424,1633,167994,0,1648,253000,1649,10,1650,0,1651,1324800,1651,1324800,1652,1324800,1652,1324800,1653,1324800,1653,1324800
1726,6,1730,1,1735,23,1728,5418248,1733,167994,0,1737,253000,1739,10,1740,0,1740,1017600,1741,1017600,1742,1017600,1742,1017600,1743,1017600,1743,1017600
1828,6,1831,1,1836,23,1829,5418312,1834,167994,0,1839,253000,1841,10,1843,0,1844,768000,1845,768000,1847,768000,1848,768000,1848,768000,1849,768000
1928,6,1931,1,1941,23,1929,5418864,1939,167994,0,1945,253000,1946,10,1947,0,1948,1017600,1948,1017600,1949,1017600,1949,1017600,1950,1324800,1950,1324800
2030,6,2032,1,2040,23,2031,5419176,2037,167994,0,2045,253000,2046,10,2047,0,2048,768000,2049,768000,2052,1248000,2053,1248000,2053,1248000,2054,1248000
2131,6,2136,1,2148,23,2132,5419996,2141,167994,0,2152,253000,2154,10,2155,0,2155,1324800,2156,1324800,2157,1324800,2158,1324800,2158,1324800,2159,1324800
2231,6,2235,1,2243,23,2233,5420308,2240,167994,0,2247,253000,2249,10,2250,0,2251,1248000,2252,1248000,2252,1248000,2253,1248000,2254,1248000,2255,1248000
2332,6,2335,1,2343,23,2333,5420576,2342,167994,0,2346,253000,2347,10,2347,0,2348,1248000,2349,1248000,2349,1248000,2350,1612800,2350,1612800,2351,1612800
2434,6,2438,1,2348,23,2436,5421080,2446,167994,0,2452,253000,2453,10,2454,0,2454,1248000,2455,1248000,2458,1248000,2459,1248000,2460,1248000,2460,1248000
2534,6,2535,1,2449,23,2534,5431724,2538,167994,0,2542,253000,2543,0,2544,0,2545,1516800,2545,1516800,2546,1516800,2547,1516800,2547,1516800,2548,1516800
2636,6,2643,1,2540,23,2639,5427056,2649,0,0,2653,253000,2653,5,2654,0,2654,1804800,2654,1804800,2655,1804800,2655,1804800,2655,1804800,2656,1804800
2735,6,2738,1,2651,23,2736,5429400,2740,83997,0,2743,253000,2744,5,2744,0,2745,1804800,2745,1804800,2746,1804800,2746,1804800,2747,1804800,2747,1804800
2836,6,2838,1,2741,23,2837,5430792,2841,83997,0,2844,253000,2846,5,2847,0,2848,1324800,2849,1324800,2849,1324800,2850,1324800,2850,1708800,2850,1708800
2936,6,2938,1,2842,23,2937,5431908,2941,83997,0,2945,253000,2946,5,2947,0,2947,1804800,2947,1804800,2948,1804800,2948,1804800,2948,1804800,2948,1804800
3038,6,3042,1,2943,23,3040,5432332,3046,83997,0,3052,253000,3053,5,3054,0,3055,768000,3055,768000,3056,768000,3057,768000,3057,768000,3058,768000
3139,6,3142,1,3048,23,3141,5432808,3145,83997,0,3150,253000,3151,5,3152,0,3152,1017600,3153,1017600,3153,1017600,3154,1017600,3155,1017600,3155,1017600
3240,6,3244,1,3148,23,3242,5433216,3248,83997,0,3252,253000,3253,5,3253,0,3254,768000,3255,768000,3255,768000,3256,768000,3256,768000,3257,768000
3341,6,3344,1,3249,23,3342,5433436,3347,83997,0,3350,253000,3351,5,3352,0,3352,1017600,3353,1017600,3353,1017600,3354,1017600,3354,1017600,3355,1017600
