Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Battery Remaining (%) [%],Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz]
26,6,27,1,30,23,27,5270356,29,0,0,31,253000,32,0,32,0,33,1804800,33,1804800,33,1804800,33,1804800,34,1804800,34,1804800
110,6,112,1,116,23,111,5266188,115,0,0,118,253000,118,0,118,0,119,1804800,119,1804800,119,1804800,120,1804800,120,1804800,120,1804800
211,6,213,1,217,23,212,5267428,216,0,0,220,253000,221,0,221,0,222,1248000,222,1248000,223,1248000,223,1248000,224,1248000,224,1248000
312,6,315,1,319,23,313,5267884,318,0,0,322,253000,322,0,323,0,323,1804800,324,1804800,324,1804800,325,1804800,325,1804800,325,1804800
413,6,415,1,425,23,414,5269812,420,0,0,428,253000,430,0,430,0,431,1804800,432,1804800,433,1804800,436,1804800,436,1516800,437,1708800
514,6,516,1,522,23,515,5272952,521,0,0,526,253000,526,0,527,0,527,1804800,527,1804800,528,1804800,528,1804800,528,1804800,529,1804800
614,6,616,1,622,23,615,5278296,621,0,0,625,253000,626,0,631,0,632,1248000,633,1248000,633,1248000,634,1248000,634,1248000,635,1248000
714,6,716,1,721,23,715,5275168,720,0,0,724,253000,725,4,725,0,726,1804800,726,1804800,727,1804800,727,1804800,727,1804800,728,1804800
815,6,817,1,822,23,816,5279896,821,67197,48718,825,253000,826,4,827,0,827,1804800,828,1804800,828,1804800,829,1804800,830,1804800,830,1804800
919,6,922,1,935,23,920,5290748,934,67197,48718,939,253000,940,4,941,0,941,1804800,942,1804800,942,1804800,942,1804800,943,1804800,943,1804800
1019,6,1022,1,1027,23,1021,5291592,1026,67197,48718,1031,253000,1032,4,1033,0,1034,1017600,1034,1017600,1035,1017600,1036,1248000,1037,1017600,1038,1248000
1122,6,1124,1,1132,23,1122,5297000,1131,67197,48718,1136,253000,1137,4,1138,0,1138,1804800,1139,1804800,1139,1804800,1140,1804800,1141,1804800,1141,1804800
1223,6,1225,1,1230,23,1224,5315736,1228,67197,48718,1233,253000,1234,4,1235,0,1235,1804800,1236,1804800,1236,1804800,1237,1804800,1237,1804800,1237,1804800
1324,6,1326,1,1330,23,1325,5315536,1329,67197,48718,1332,253000,1333,4,1333,0,1334,1804800,1334,1804800,1334,1804800,1335,1804800,1336,1804800,1336,1804800
1426,6,1428,1,1433,23,1427,5319832,1431,67197,48718,1436,253000,1437,4,1437,0,1438,1017600,1439,1017600,1439,1017600,1440,1017600,1440,1017600,1441,1248000
1526,6,1529,1,1536,23,1527,5323880,1535,67197,48718,1541,253000,1542,4,1543,0,1544,1248000,1544,1248000,1545,1248000,1546,1248000,1546,1248000,1547,1248000
1626,6,1628,1,1636,23,1627,5327656,1634,67197,48718,1639,253000,1640,4,1641,0,1641,1248000,1642,1248000,1642,1248000,1643,1248000,1643,1248000,1644,1248000
1728,6,1732,1,1738,23,1730,5329828,1737,67197,48718,1742,253000,1743,9,1744,0,1744,1248000,1745,1248000,1745,1248000,1746,1248000,1747,1248000,1747,1248000
1827,6,1829,1,1834,23,1828,5334572,1832,151194,132715,1836,253000,1837,9,1840,0,1841,1804800,1841,1804800,1842,1804800,1842,1804800,1843,1804800,1843,1804800
1927,6,1929,1,1934,23,1928,5343728,1932,151194,132715,1936,253000,1937,9,1938,0,1938,1804800,1939,1804800,1939,1804800,1940,1804800,1941,1804800,1942,1804800
2028,6,2030,1,2034,23,2029,5348004,2033,151194,132715,2036,253000,2037,9,2038,0,2038,1248000,2039,1248000,2039,1248000,2040,1248000,2040,1248000,2041,1248000
2129,6,2132,1,2138,23,2130,5350392,2137,151194,132715,2142,253000,2143,9,2144,0,2144,1248000,2145,1248000,2145,1248000,2146,1248000,2147,1248000,2147,1248000
2229,6,2231,1,2236,23,2230,5347240,2235,151194,132715,2239,253000,2240,9,2241,0,2242,1708800,2242,1708800,2242,1708800,2243,1708800,2243,1708800,2244,1708800
2330,6,2332,1,2337,23,2331,5355656,2336,151194,132715,2340,253000,2341,9,2342,0,2342,1804800,2343,1804800,2343,1804800,2344,1804800,2344,1804800,2344,1804800
2430,6,2432,1,2438,23,2431,5362052,2437,151194,132715,2442,253000,2443,9,2443,0,2444,1804800,2444,1804800,2445,1804800,2446,1804800,2446,1804800,2446,1804800
2531,6,2533,1,2537,23,2531,5363736,2535,151194,132715,2539,253000,2540,9,2540,0,2541,1612800,2541,1612800,2542,1612800,2542,1612800,2543,1612800,2543,1612800
2632,6,2635,1,2640,23,2633,5365672,2638,151194,132715,2643,253000,2643,9,2644,0,2645,1017600,2645,1017600,2646,1017600,2646,1017600,2647,1017600,2648,1017600
2732,6,2734,1,2740,23,2733,5368632,2739,151194,132715,2743,253000,2744,8,2745,0,2746,1804800,2747,1804800,2748,1804800,2749,1804800,2750,1804800,2750,1804800
2833,6,2835,1,2842,23,2834,5371412,2841,134395,115916,2843,253000,2844,8,2844,0,2846,1804800,2847,1804800,2847,1804800,2847,1804800,2848,1804800,2848,1804800
2934,6,2937,1,2945,23,2935,5376620,2944,134395,115916,2950,253000,2951,8,2951,0,2952,1804800,2953,1324800,2953,1324800,2954,1324800,2955,1324800,2956,1804800
3035,6,3038,1,3042,23,3037,5383404,3040,134395,115916,3044,253000,3045,8,3046,0,3047,1248000,3047,1248000,3048,1248000,3048,1248000,3049,1248000,3050,1248000
3137,6,3140,1,3149,23,3138,5416176,3147,134395,115916,3153,253000,3155,8,3156,0,3157,1248000,3159,1248000,3159,1248000,3160,1248000,3161,1612800,3162,1612800
3236,6,3238,1,3245,23,3237,5442444,3243,134395,115916,3250,253000,3251,8,3252,0,3253,1017600,3253,1017600,3254,1017600,3255,1017600,3256,1017600,3257,1017600
3341,6,3344,1,3354,23,3342,5421632,3351,134395,115916,3358,253000,3360,8,3361,0,3363,1248000,3364,1248000,3365,1248000,3366,1248000,3367,1248000,3368,1248000
3447,6,3451,1,3460,23,3448,5422560,3458,134395,115916,3465,253000,3467,8,3469,0,3469,1248000,3470,1248000,3470,1248000,3471,1248000,3472,1248000,3472,1248000
3548,6,3550,1,3562,23,3549,5423252,3555,134395,115916,3565,253000,3567,8,3567,0,3568,1248000,3569,1248000,3569,1248000,3570,1248000,3570,1248000,3571,1248000
3652,6,3658,1,3665,23,3656,5423896,3663,134395,115916,3669,253000,3670,8,3671,0,3671,1017600,3672,1017600,3673,1017600,3674,1017600,3675,1017600,3676,1017600
3753,6,3757,1,3764,23,3755,5424328,3762,134395,115916,3769,253000,3770,16,3771,0,3772,1516800,3773,1516800,3774,1516800,3774,1516800,3775,1516800,3775,1516800
3853,6,3858,1,3867,23,3855,5425380,3866,268790,250311,3872,253000,3875,16,3876,0,3877,768000,3877,768000,3878,768000,3878,768000,3879,768000,3879,768000
3954,6,3956,1,3963,23,3955,5430244,3960,268790,250311,3967,253000,3968,16,3969,0,3969,768000,3970,768000,3970,768000,3971,768000,3972,768000,3972,768000
4054,6,4057,1,4062,23,4055,5423680,4060,268790,250311,4067,253000,4068,16,4069,0,4070,768000,4071,768000,4071,768000,4072,768000,4073,768000,4074,768000
4155,6,4157,1,4164,23,4156,5427744,4162,268790,250311,4168,253000,4169,16,4170,0,4171,768000,4171,768000,4172,768000,4173,768000,4173,768000,4174,768000
4255,6,4258,1,4263,23,4256,5423944,4262,268790,250311,4267,253000,4268,16,4268,0,4269,1248000,4270,1248000,4270,1248000,4271,1248000,4272,1248000,4272,1248000
4356,6,4359,1,4363,23,4357,5424264,4362,268790,250311,4365,253000,4366,16,4368,0,4369,1804800,4370,1804800,4371,1804800,4372,1804800,4373,1804800,4374,1804800
4457,6,4460,1,4468,23,4458,5405168,4467,268790,250311,4472,253000,4473,16,4474,0,4474,1324800,4475,1324800,4475,1324800,4476,1324800,4476,1324800,4476,1324800
4558,6,4560,1,4571,23,4559,5408940,4568,268790,250311,4574,253000,4575,16,4577,0,,,,,,,,,,,,
