Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Battery Remaining (%) [%],Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz]
31,6,34,1,38,23,32,5308812,37,0,0,41,253000,42,0,42,0,43,1804800,44,1804800,45,1804800,45,1804800,46,1804800,46,1804800
109,6,111,1,116,23,110,5314680,115,0,0,119,253000,120,0,120,0,121,1804800,122,1804800,123,1804800,124,1804800,124,1804800,125,1804800
210,6,213,1,220,23,211,5321068,217,0,0,226,253000,228,0,229,0,230,1804800,231,1804800,232,1804800,233,1804800,233,1804800,234,1804800
311,6,313,1,319,23,311,5318256,317,0,0,321,253000,322,0,324,0,325,1804800,325,1804800,326,1804800,327,1804800,328,1804800,329,1804800
411,6,414,1,419,23,413,5329072,417,0,0,422,253000,423,0,423,0,424,1804800,424,1804800,425,1804800,425,1804800,426,1804800,426,1804800
513,6,515,1,519,23,514,5330940,518,0,0,521,253000,522,0,522,0,523,1804800,523,1804800,524,1804800,524,1804800,525,1804800,525,1804800
614,6,616,1,627,23,614,5337676,626,0,0,630,253000,631,0,632,0,633,1804800,634,1804800,634,1804800,635,1804800,635,1804800,636,1804800
715,6,717,1,726,23,716,5341892,723,0,0,735,253000,739,5,739,0,741,1804800,742,1804800,743,1804800,744,1804800,744,1804800,746,1804800
816,6,819,1,825,23,817,5350896,824,83997,12792,828,253000,829,5,830,0,831,1804800,831,1804800,832,1804800,832,1804800,833,1804800,834,1804800
916,6,919,1,924,23,917,5356552,923,83997,12792,927,253000,928,5,929,0,929,1804800,930,1804800,930,1804800,931,1804800,931,1804800,932,1804800
1018,6,1023,1,1031,23,1021,5359908,1030,83997,12792,1034,253000,1035,5,1037,0,1038,1804800,1039,1804800,1039,1804800,1042,1804800,1042,1804800,1043,1804800
1118,6,1120,1,1123,23,1118,5370820,1122,83997,12792,1126,253000,1127,5,1128,0,1128,1804800,1129,1804800,1131,1804800,1131,1804800,1132,1804800,1132,1804800
1219,6,1221,1,1224,23,1220,5373796,1223,83997,12792,1227,253000,1229,5,1232,0,1233,1804800,1234,1804800,1235,1804800,1235,1804800,1236,1804800,1236,1804800
1321,6,1323,1,1328,23,1322,5381852,1327,83997,12792,1331,253000,1332,5,1333,0,1333,1804800,1334,1804800,1335,1804800,1336,1804800,1336,1804800,1336,1804800
1421,6,1423,1,1427,23,1422,5390504,1426,83997,12792,1429,253000,1430,5,1431,0,1431,1708800,1432,1708800,1433,1708800,1433,1708800,1434,1708800,1434,1612800
1522,6,1525,1,1530,23,1523,5404836,1528,83997,12792,1532,253000,1538,5,1539,0,1540,1804800,1541,1516800,1541,1516800,1542,1516800,1542,1516800,1543,1516800
1623,6,1625,1,1631,23,1624,5398096,1629,83997,12792,1634,253000,1634,5,1636,0,1636,1804800,1637,1804800,1637,1804800,1638,1804800,1638,1804800,1639,1804800
1724,6,1726,1,1733,23,1725,5394688,1731,83997,12792,1736,253000,1736,5,1737,0,1738,1804800,1739,1804800,1739,1804800,1740,1804800,1741,1804800,1741,1804800
1824,6,1826,1,1830,23,1824,5395060,1829,83997,12792,1833,253000,1834,13,1834,0,1835,1804800,1835,1804800,1836,1804800,1836,1804800,1837,1804800,1837,1804800
