Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Battery Remaining (%) [%],Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz]
70,6,72,1,76,24,71,5284356,75,0,0,82,253000,83,0,84,0,85,1804800,85,1804800,86,1804800,87,1804800,87,1804800,88,1804800
171,6,173,1,179,24,172,5277020,177,0,0,182,253000,183,0,184,0,185,1516800,185,1516800,186,1516800,186,1516800,187,1516800,188,1516800
272,6,274,1,278,24,273,5277980,277,0,0,281,253000,282,0,283,0,283,1804800,284,1804800,284,1804800,284,1804800,285,1804800,285,1804800
375,6,378,1,382,24,376,5278460,381,0,0,384,253000,385,0,386,0,386,1248000,387,1248000,387,1248000,388,1248000,388,1248000,388,1248000
475,6,477,1,483,24,476,5279040,482,0,0,486,253000,487,0,488,0,488,1804800,489,1804800,489,1804800,490,1804800,490,1804800,492,1804800
574,6,577,1,581,24,575,5282664,580,0,0,584,253000,584,0,585,0,585,1804800,587,1804800,587,1804800,588,1804800,588,1804800,589,1804800
675,6,677,1,681,24,676,5288100,680,0,0,685,253000,686,0,686,0,687,1804800,687,1804800,687,1804800,688,1804800,689,1804800,689,1804800
775,6,778,1,784,24,776,5292460,782,0,0,787,253000,788,0,789,0,790,1804800,791,1804800,792,1804800,793,1804800,793,1804800,794,1804800
876,6,878,1,883,24,877,5289152,882,0,0,887,253000,888,5,889,0,889,1804800,890,1804800,890,1804800,891,1804800,892,1804800,893,1804800
976,6,979,1,983,24,978,5308776,982,83997,0,987,253000,988,5,988,0,989,1516800,989,1516800,990,1804800,990,1804800,991,1804800,992,1804800
1078,6,1081,1,1089,24,1080,5313508,1087,83997,0,1093,253000,1094,5,1095,0,1095,1804800,1096,1804800,1096,1804800,1097,1804800,1097,1804800,1098,1804800
1179,6,1182,1,1186,24,1180,5314372,1185,83997,0,1189,253000,1190,5,1191,0,1191,1804800,1192,1804800,1193,1804800,1193,1804800,1194,1804800,1195,1804800
1279,6,1281,1,1287,24,1280,5318620,1286,83997,0,1296,253000,1297,5,1297,0,1298,1804800,1299,1804800,1299,1804800,1300,1804800,1301,1804800,1302,1804800
