Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Battery Remaining (%) [%],Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz]
70,4,72,1,74,25,71,5316808,73,0,0,79,0,80,0,81,0,0,1804800,1,1804800,1,1804800,2,1804800,2,1804800,3,1804800
171,4,173,1,180,25,171,5319380,178,0,0,190,0,191,2,192,0,82,1804800,82,1804800,82,1804800,83,1804800,83,1804800,84,1804800
271,4,272,1,275,25,272,5313048,274,0,0,276,0,277,2,277,0,197,1804800,203,1804800,204,1804800,207,1804800,207,1804800,208,1804800
371,4,373,1,375,25,372,5313692,375,0,0,376,0,377,2,377,0,278,1804800,278,1804800,278,1804800,278,1804800,280,1804800,282,1804800
472,4,473,1,476,25,473,5315172,475,0,0,477,0,477,2,478,0,378,1804800,378,1804800,378,1804800,379,1804800,379,1804800,379,1804800
575,4,577,1,586,25,576,5316400,579,0,0,589,0,595,2,596,0,478,1804800,478,1804800,479,1804800,479,1804800,479,1804800,479,1804800
680,4,682,1,685,25,681,5319084,684,0,0,686,0,695,2,699,0,597,1804800,597,1804800,598,1804800,598,1804800,598,1804800,599,1804800
779,4,781,1,787,25,780,5321140,785,0,0,790,0,791,2,791,0,700,1804800,700,1804800,701,1804800,701,1804800,701,1804800,701,1804800
881,4,884,1,887,25,882,5322908,886,0,0,889,0,889,2,889,0,792,1804800,792,1804800,792,1804800,793,1804800,793,1804800,793,1804800
981,4,984,1,987,25,982,5322580,986,0,0,989,0,990,2,991,0,890,1804800,890,1804800,890,1804800,890,1804800,895,1804800,896,1804800
1082,4,1085,1,1092,25,1083,5329092,1089,0,0,1098,0,1098,2,1099,0,991,1804800,992,1804800,992,1804800,993,1804800,993,1804800,993,1804800
1183,4,1185,1,1190,25,1183,5332216,1189,0,0,1192,0,1192,2,1193,0,1102,1804800,1103,1804800,1103,1804800,1103,1804800,1104,1804800,1104,1804800
1283,4,1285,1,1289,25,1284,5331708,1288,0,0,1291,0,1292,2,1292,0,1193,1804800,1194,1804800,1194,1804800,1198,1804800,1199,1804800,1199,1804800
1384,4,1386,1,1389,25,1385,5333196,1388,0,0,1390,0,1391,2,1391,0,1292,1804800,1293,1804800,1293,1804800,1293,1804800,1293,1804800,1294,1804800
1486,4,1488,1,1499,25,1486,5333124,1497,0,0,1502,0,1502,2,1503,0,1391,1612800,1392,1612800,1392,1612800,1392,1612800,1393,1612800,1393,1612800
1586,4,1588,1,1592,25,1587,5334216,1591,0,0,1595,0,1596,2,1597,0,1505,1516800,1506,1516800,1506,1516800,1507,1516800,1507,1516800,1507,1516800
1686,4,1690,1,1693,25,1688,5336204,1692,0,0,1694,0,1696,2,1700,0,1597,1804800,1598,1804800,1598,1804800,1599,1804800,1599,1804800,1599,1804800
1789,4,1792,1,1802,25,1789,5340140,1800,0,0,1805,0,1805,2,1806,0,1700,1804800,1701,1804800,1701,1804800,1702,1804800,1702,1804800,1703,1804800
1888,4,1890,1,1893,25,1889,5342460,1892,0,0,1894,0,1895,1,1896,0,1807,1804800,1807,1804800,1807,1804800,1807,1804800,1808,1804800,1808,1804800
1990,4,1991,1,1996,25,1990,5348280,1994,0,0,1998,0,1999,1,2000,0,1896,1804800,1897,1804800,1897,1804800,1897,1804800,1898,1804800,1898,1804800
2090,4,2091,1,2096,25,2090,5349880,2095,0,0,2099,0,2100,1,2100,0,2000,1804800,2001,1804800,2001,1804800,2001,1804800,2002,1804800,2002,1804800
2190,4,2192,1,2194,25,2191,5354360,2193,0,0,2196,0,2197,1,2198,0,2101,1804800,2101,1804800,2102,1804800,2102,1804800,2103,1804800,2104,1804800
2291,4,2293,1,2298,25,2292,5356128,2297,0,0,2301,0,2302,1,2304,0,2198,1804800,2199,1804800,2199,1804800,2200,1804800,2201,1804800,2201,1804800
2391,4,2393,1,2397,25,2392,5357016,2396,0,0,2398,0,2399,1,2400,0,2304,1804800,2305,1804800,2306,1804800,2306,1804800,2307,1804800,2308,1804800
2493,4,2500,1,2505,25,2494,5357576,2504,0,0,2509,0,2509,1,2510,0,2400,1804800,2401,1804800,2402,1804800,2402,1804800,2403,1804800,2403,1804800
2594,4,2595,1,2598,25,2594,5358196,2597,0,0,2599,0,2600,1,2600,0,2511,1804800,2511,1804800,2511,1804800,2512,1804800,2512,1804800,2513,1804800
2693,4,2695,1,2701,25,2694,5359420,2700,0,0,2702,0,2703,1,2703,0,2601,1516800,2601,1516800,2601,1516800,2602,1516800,2602,1516800,2603,1516800
2794,4,2796,1,2798,25,2794,5361372,2797,0,0,2799,0,2800,1,2801,0,2703,1804800,2704,1804800,2704,1804800,2704,1804800,2704,1804800,2704,1804800
2896,4,2900,1,2906,25,2897,5362424,2905,0,0,2909,0,2915,1,2916,0,2801,1804800,2801,1804800,2801,1804800,2801,1804800,2802,1804800,2802,1804800
2996,4,3000,1,3004,25,2998,5362668,3003,0,0,3006,0,3010,1,3011,0,2917,768000,2917,768000,2918,768000,2919,1248000,2920,1248000,2920,1248000
3101,4,3104,1,3118,25,3102,5363052,3114,0,0,3121,0,3122,0,3123,0,3012,1017600,3012,1017600,3016,1017600,3016,1017600,3020,1324800,3020,1324800
3200,4,3203,1,3206,25,3201,5361780,3205,0,0,3209,0,3210,0,3211,0,3124,1248000,3124,1248000,3125,1248000,3125,1248000,3126,1248000,3128,1248000
3302,4,3304,1,3307,25,3303,5362188,3306,0,0,3309,0,3309,0,3310,0,3212,1804800,3213,1804800,3213,1804800,3214,1804800,3214,1804800,3214,1804800
3402,4,3405,1,3410,25,3403,5362612,3408,0,0,3413,0,3415,0,3416,0,3310,768000,3310,768000,3311,768000,3311,768000,3311,768000,3312,768000
3503,4,3506,1,3512,25,3504,5348552,3511,0,0,3515,0,3515,0,3516,0,3416,1017600,3417,1017600,3417,1017600,3418,1017600,3418,1017600,3419,1017600
3605,4,3608,1,3615,25,3606,5344128,3613,0,0,3619,0,3621,1,3622,0,3517,1248000,3517,1248000,3517,1248000,3518,1248000,3519,1248000,3519,1516800
3706,4,3708,1,3713,25,3707,5344324,3711,0,0,3716,0,3717,1,3718,0,3623,768000,3623,768000,3624,768000,3625,768000,3625,768000,3626,768000
3806,4,3808,1,3811,25,3807,5344528,3810,0,0,3814,0,3815,1,3816,0,3718,1017600,3719,1017600,3719,1017600,3720,1017600,3720,1017600,3720,1017600
3906,4,3908,1,3860,25,3907,5344804,3909,0,0,3910,0,3911,1,3912,0,3816,1324800,3817,1324800,3817,1324800,3817,1324800,3817,1324800,3818,1324800
4007,4,4009,1,3909,25,4008,5345528,4010,0,0,4015,0,4016,1,4017,0,3912,1708800,3913,1708800,3913,1708800,3914,1708800,3914,1708800,3914,1708800
4108,4,4112,1,4013,25,4109,5346188,4116,0,0,4120,0,4121,1,4121,0,4017,1516800,4017,1516800,4018,1516800,4018,1516800,4018,1516800,4019,1612800
4208,4,4210,1,4117,25,4209,5347368,4214,0,0,4216,0,4217,0,4218,0,4122,1248000,4123,1248000,4124,1248000,4126,1248000,4127,1248000,4127,1248000
4310,4,4314,1,4215,25,4312,5348312,4323,0,0,4326,0,4328,0,4329,0,4218,1804800,4218,1804800,4218,1804800,4219,1708800,4219,1708800,4219,1708800
4411,4,4415,1,4324,25,4413,5348004,4419,0,0,4425,0,4426,0,4426,0,4330,1017600,4330,1017600,4331,1017600,4332,1017600,4332,1017600,4333,1017600
4513,4,4515,1,4422,25,4514,5349484,4518,0,0,4523,0,4524,0,4525,0,4427,1017600,4428,1017600,4428,1017600,4429,1017600,4430,1017600,4430,1017600
4616,4,4623,1,4520,25,4617,5350492,4632,0,0,,,,,,,4525,1017600,4526,1017600,4527,1017600,4528,1017600,4528,1017600,4529,1017600
,,,,4635,25,,,,,,,,,,,,,,,,,,,,,,,
