Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Battery Remaining (%) [%],Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz]
71,6,73,1,78,23,72,5361832,77,0,0,1,253000,2,0,2,0,3,1804800,4,1804800,4,1804800,5,1804800,5,1804800,6,1804800
172,6,176,1,182,23,173,5363924,181,0,0,83,253000,84,0,84,0,85,1804800,86,1804800,86,1804800,87,1804800,87,1804800,87,1804800
273,6,275,1,280,23,273,5365892,278,0,0,186,253000,187,0,188,0,189,1248000,190,1248000,190,1248000,191,1612800,192,1612800,192,1612800
373,6,375,1,380,23,374,5383808,379,0,0,282,253000,283,0,284,0,284,1804800,285,1804800,285,1804800,286,1804800,286,1804800,287,1804800
474,6,477,1,482,23,475,5388884,480,0,0,383,253000,384,0,385,0,385,1804800,386,1804800,387,1804800,387,1804800,388,1804800,388,1804800
574,6,576,1,585,23,575,5407148,581,67197,47038,486,253000,487,4,488,0,489,1804800,489,1804800,490,1804800,491,1804800,491,1804800,492,1804800
675,6,677,1,681,23,676,5396016,680,67197,47038,591,253000,592,4,593,0,593,1804800,595,1804800,600,1804800,601,1804800,601,1804800,602,1804800
777,6,780,1,784,23,778,5408924,782,67197,47038,688,253000,691,4,692,0,693,1804800,694,1804800,695,1804800,695,1804800,696,1804800,698,1804800
878,6,880,1,884,23,878,5373824,883,67197,47038,787,253000,788,4,788,0,789,1804800,790,1804800,794,1804800,795,1804800,795,1804800,796,1804800
979,6,982,1,992,23,979,5376648,990,67197,47038,888,253000,889,4,890,0,890,1804800,891,1804800,892,1804800,893,1804800,893,1804800,894,1804800
1079,6,1081,1,1087,23,1080,5386544,1084,67197,47038,995,253000,996,4,997,0,997,1804800,998,1804800,999,1804800,999,1804800,1000,1804800,1000,1804800
1179,6,1182,1,1186,23,1180,5421112,1185,67197,47038,1091,253000,1092,4,1093,0,1094,1804800,1094,1804800,1095,1804800,1096,1804800,1097,1804800,1097,1804800
1281,6,1284,1,1294,23,1282,5448768,1292,67197,47038,1189,253000,1190,4,1190,0,1191,1804800,1191,1804800,1192,1804800,1192,1804800,1193,1804800,1193,1804800
1382,6,1384,1,1391,23,1383,5410608,1389,67197,47038,1315,253000,1316,4,1316,0,1318,1804800,1319,1804800,1319,1804800,1320,1804800,1321,1804800,1322,1804800
1482,6,1485,1,1490,23,1483,5414140,1488,67197,47038,1394,253000,1395,4,1396,0,1396,1804800,1397,1804800,1397,1804800,1398,1804800,1399,1804800,1400,1804800
1583,6,1589,1,1594,23,1586,5416100,1593,67197,47038,1493,253000,1494,4,1495,0,1495,1017600,1496,1017600,1497,1017600,1498,1017600,1498,1017600,1499,1017600
1684,6,1687,1,1692,23,1685,5417156,1690,83997,63838,1598,253000,1599,5,1600,0,1601,1017600,1601,1017600,1602,1017600,1602,1017600,1603,1017600,1604,1017600
1786,6,1789,1,1794,23,1787,5419712,1792,83997,63838,1695,253000,1696,5,1697,0,1698,1017600,1698,1017600,1699,1017600,1699,1017600,1700,1017600,1701,1017600
1886,6,1889,1,1895,23,1887,5422800,1893,83997,63838,1798,253000,1799,5,1800,0,1801,1017600,1802,1017600,1802,1017600,1803,1017600,1804,1017600,1804,1017600
1988,6,1990,1,1997,23,1989,5425824,1996,83997,63838,1898,253000,1899,5,1900,0,1900,1017600,1901,1017600,1902,1017600,1902,1017600,1903,1017600,1903,1017600
2088,6,2091,1,2096,23,2090,5428288,2094,83997,63838,2001,253000,2002,5,2003,0,2004,768000,2005,768000,2005,768000,2006,768000,2007,768000,2008,768000
2189,6,2192,1,2201,23,2190,5430400,2200,83997,63838,2099,253000,2099,5,2100,0,2101,1248000,2102,1248000,2102,1248000,2103,1248000,2103,1248000,2104,1248000
2291,6,2293,1,2299,23,2291,5435896,2297,83997,63838,2205,253000,2206,5,2207,0,2207,1017600,2208,1017600,2208,1017600,2209,1017600,2210,1017600,2210,1017600
