Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Battery Remaining (%) [%],Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz]
77,4,79,1,84,24,78,5237568,83,0,0,98,0,99,0,99,0,100,1804800,100,1804800,101,1804800,101,1804800,101,1804800,102,1804800
179,4,180,1,184,24,179,5239188,183,0,0,186,0,187,0,188,0,188,1804800,189,1804800,190,1804800,191,1804800,192,1804800,193,1804800
281,4,283,1,289,24,282,5242168,286,0,0,293,0,297,0,297,0,298,1804800,299,1804800,300,1804800,302,1804800,304,1804800,304,1804800
380,4,383,1,388,24,380,5226276,387,0,0,403,0,403,2,404,0,405,1804800,406,1804800,406,1804800,407,1804800,407,1804800,408,1804800
480,4,484,1,495,24,481,5227568,492,0,0,500,0,501,2,502,0,502,1804800,503,1804800,503,1804800,504,1804800,504,1804800,504,1804800
581,4,582,1,589,24,581,5229984,585,0,0,591,0,592,2,593,0,593,1804800,593,1804800,594,1804800,594,1804800,594,1804800,595,1804800
681,4,683,1,688,24,682,5230864,687,0,0,690,0,690,2,691,0,691,1804800,692,1804800,692,1804800,692,1804800,693,1804800,693,1804800
782,4,784,1,789,24,782,5236840,788,0,0,791,0,792,2,792,0,792,1804800,793,1804800,793,1804800,793,1804800,793,1804800,794,1804800
883,4,887,1,897,24,883,5239632,896,0,0,903,0,904,2,904,0,905,1804800,905,1804800,906,1804800,906,1804800,906,1804800,907,1804800
985,4,990,1,996,24,986,5240624,993,0,0,999,0,1000,2,1001,0,1001,1804800,1002,1804800,1002,1804800,1003,1804800,1003,1804800,1003,1804800
1086,4,1090,1,1098,24,1087,5245224,1097,0,0,1101,0,1102,2,1103,0,1103,1804800,1104,1804800,1105,1804800,1107,1804800,1108,1804800,1109,1804800
1186,4,1189,1,1192,24,1187,5251416,1192,0,0,1193,0,1196,2,1197,0,1197,1804800,1198,1804800,1199,1804800,1202,1804800,1203,1804800,1203,1804800
1287,4,1289,1,1293,24,1288,5254120,1292,0,0,1297,0,1302,2,1303,0,1305,1804800,1310,1804800,1311,1804800,1311,1804800,1312,1804800,1312,1804800
1391,4,1394,1,1397,24,1392,5261804,1396,0,0,1403,0,1404,2,1406,0,1407,1804800,1409,1804800,1410,1804800,1411,1804800,1411,1804800,1411,1804800
1492,4,1494,1,1497,24,1492,5265548,1496,0,0,1500,0,1501,2,1501,0,1502,1804800,1502,1804800,1503,1804800,1503,1804800,1503,1804800,1503,1804800
1592,4,1594,1,1607,24,1593,5260564,1597,0,0,1611,0,1611,2,1612,0,1612,1804800,1613,1804800,1613,1804800,1613,1804800,1614,1804800,1614,1804800
1695,4,1697,1,1700,24,1696,5268212,1699,0,0,1701,0,1703,2,1704,0,1705,1804800,1705,1804800,1706,1804800,1706,1804800,1706,1804800,1707,1804800
1796,4,1800,1,1808,24,1797,5275040,1807,0,0,1813,0,1814,2,1815,0,1816,1804800,1818,1804800,1819,1804800,1819,1804800,1820,1804800,1820,1804800
1897,4,1899,1,1907,24,1897,5279680,1906,0,0,1911,0,1912,2,1914,0,1914,1804800,1915,1804800,1916,1804800,1917,1804800,1917,1804800,1919,1804800
1997,4,1999,1,2004,24,1998,5282948,2001,0,0,2023,0,2024,1,2027,0,2030,1804800,2030,1804800,2032,1804800,2033,1804800,2033,1804800,2034,1804800
2098,4,2100,1,2103,24,2099,5291916,2102,0,0,2104,0,2105,1,2108,0,2112,1804800,2112,1804800,2112,1804800,2114,1804800,2114,1804800,2115,1804800
2201,4,2203,1,2208,24,2202,5324176,2205,0,0,2214,0,2215,1,2216,0,2216,1804800,2217,1804800,2218,1804800,2220,1804800,2220,1804800,2221,1804800
2301,4,2305,1,2312,24,2304,5350856,2311,0,0,2315,0,2316,1,2318,0,2318,1804800,2319,1804800,2319,1804800,2320,1804800,2320,1804800,2321,1804800
2404,4,2405,1,2420,24,2404,5346640,2418,0,0,2421,0,2421,1,2422,0,2422,1804800,2422,1804800,2423,1804800,2423,1804800,2423,1804800,2424,1804800
2504,4,2506,1,2508,24,2505,5353212,2508,0,0,2526,0,2527,1,2528,0,2528,1804800,2528,1804800,2529,1804800,2529,1804800,2529,1804800,2530,1804800
2605,4,2606,1,2609,24,2605,5357360,2609,0,0,2637,0,2638,1,2639,0,2639,1804800,2639,1804800,2639,1804800,2640,1804800,2640,1804800,2640,1804800
2708,4,2710,1,2716,24,2708,5360816,2713,0,0,2719,0,2725,1,2726,0,2727,1804800,2727,1804800,2728,1804800,2728,1804800,2729,1804800,2729,1804800
2810,4,2812,1,2823,24,2811,5358956,2813,0,0,2824,0,2825,1,2826,0,2826,1804800,2826,1804800,2831,1804800,2835,1804800,2844,1804800,2846,1804800
2909,4,2911,1,2914,24,2910,5359428,2913,0,0,2915,0,2916,1,2916,0,2916,1804800,2917,1804800,2917,1804800,2917,1804800,2932,1804800,2932,1804800
3011,4,3013,1,3017,24,3012,5345380,3016,0,0,3020,0,3023,1,3024,0,3024,1804800,3025,1804800,3027,1804800,3027,1804800,3027,1804800,3028,1804800
3112,4,3113,1,3118,24,3112,5345584,3117,0,0,3119,0,3120,1,3121,0,3121,1804800,3122,1804800,3122,1804800,3123,1804800,3124,1804800,3124,1804800
3213,4,3214,1,3217,24,3213,5348204,3216,0,0,3219,0,3219,1,3219,0,3220,1804800,3220,1804800,3221,1804800,3221,1804800,3221,1804800,3222,1804800
3313,4,3315,1,3318,24,3314,5350988,3317,0,0,3321,0,3321,1,3322,0,3322,1612800,3323,1612800,3323,1612800,3323,1612800,3323,1612800,3324,1612800
3414,4,3415,1,3419,24,3414,5355268,3418,0,0,3421,0,3421,1,3422,0,3422,1516800,3423,1516800,3424,1516800,3424,1516800,3424,1516800,3425,1516800
3514,4,3516,1,3519,24,3515,5356368,3519,0,0,3523,0,3524,1,3525,0,3525,1804800,3526,1804800,3527,1804800,3528,1804800,3528,1804800,3529,1804800
3615,4,3618,1,3624,24,3616,5357956,3622,0,0,3628,0,3629,1,3629,0,3630,1516800,3630,1516800,3631,1516800,3631,1516800,3631,1516800,3632,1516800
3717,4,3718,1,3725,24,3717,5360420,3721,0,0,3727,0,3729,1,3730,0,3730,1804800,3731,1804800,3731,1804800,3732,1804800,3732,1804800,3732,1804800
3816,4,3819,1,3823,24,3817,5361556,3822,0,0,3825,0,3825,1,3826,0,3826,1516800,3826,1516800,3827,1516800,3827,1516800,3827,1516800,3828,1516800
3917,4,3920,1,3924,24,3918,5361128,3923,0,0,3927,0,3928,0,3929,0,3930,1248000,3930,1248000,3931,1248000,3931,1248000,3932,1248000,3933,1248000
4020,4,4022,1,4026,24,4021,5362992,4025,0,0,4028,0,4030,0,4031,0,4032,1017600,4033,1017600,4034,1017600,4035,1017600,4035,1017600,4036,1017600
4121,4,4124,1,4130,24,4122,5362272,4128,0,0,4133,0,4134,0,4135,0,4136,1017600,4138,1017600,4138,1017600,4139,1017600,4139,1017600,4140,1017600
4221,4,4225,1,4232,24,4223,5365040,4229,0,0,4239,0,4241,0,4242,0,4243,1612800,4243,1612800,4244,1612800,4244,1612800,4244,1612800,4244,1612800
4323,4,4324,1,4327,24,4323,5366612,4326,0,0,4328,0,4329,0,4329,0,4330,1612800,4330,1612800,4331,1612800,4331,1612800,4331,1612800,4332,1612800
4423,4,4426,1,4429,24,4424,5364996,4428,0,0,4431,0,4431,0,4432,0,4432,1516800,4433,1516800,4433,1516800,4434,1516800,4434,1516800,4435,1516800
4523,4,4525,1,4537,24,4524,5369012,4532,0,0,4539,0,4540,0,,,,,,,,,,,,,,
