Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Battery Remaining (%) [%],Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz]
3,6,5,1,9,24,4,5399348,8,83997,21667,12,253000,13,0,14,0,14,1804800,15,1804800,15,1804800,15,1804800,16,1804800,16,1804800
80,6,81,1,85,24,80,5397584,84,0,0,88,253000,88,0,89,0,89,1804800,90,1804800,90,1804800,91,1804800,91,1804800,92,1804800
184,6,186,1,193,24,185,5403284,191,0,0,199,253000,200,0,201,0,203,1516800,204,1324800,205,1324800,205,1324800,206,1324800,207,1324800
281,6,283,1,287,24,282,5396632,286,0,0,290,253000,291,0,291,0,292,1804800,292,1804800,292,1804800,293,1804800,293,1804800,293,1804800
383,6,385,1,388,24,384,5400056,388,0,0,390,253000,391,0,392,0,392,1804800,392,1804800,393,1804800,393,1804800,394,1804800,394,1804800
483,6,485,1,490,24,483,5403164,488,0,0,493,253000,494,0,495,0,496,1804800,496,1804800,496,1804800,497,1804800,497,1804800,497,1804800
587,6,589,1,595,24,588,5420376,593,0,0,606,253000,617,0,619,0,620,1804800,621,1804800,622,1804800,622,1804800,623,1804800,624,1804800
686,6,688,1,693,24,687,5432564,691,0,0,703,253000,704,0,704,0,705,1804800,706,1804800,706,1804800,707,1804800,707,1804800,708,1804800
787,6,789,1,793,24,788,5426248,792,0,0,796,253000,797,0,797,0,798,1708800,798,1708800,799,1708800,800,1708800,801,1708800,801,1708800
888,6,891,1,896,24,888,5429880,895,0,0,899,253000,900,0,900,0,901,1804800,901,1804800,901,1804800,902,1804800,902,1804800,905,1804800
988,6,991,1,998,24,989,5444576,997,0,0,1000,253000,1002,5,1002,0,1003,1804800,1004,1804800,1005,1804800,1009,1804800,1010,1804800,1010,1804800
1090,6,1092,1,1096,24,1090,5444304,1095,83997,21667,1099,253000,1100,5,1100,0,1101,1804800,1101,1804800,1102,1804800,1102,1804800,1103,1804800,1104,1804800
1190,6,1192,1,1196,24,1191,5449196,1195,83997,21667,1199,253000,1200,5,1200,0,1200,1804800,1201,1804800,1201,1804800,1202,1804800,1202,1804800,1203,1804800
1291,6,1293,1,1298,24,1292,5458100,1297,83997,21667,1304,253000,1305,5,1305,0,1306,1804800,1306,1804800,1307,1804800,1307,1804800,1307,1804800,1308,1804800
1392,6,1396,1,1404,24,1394,5451584,1402,83997,21667,1411,253000,1412,5,1413,0,1414,1804800,1415,1804800,1415,1804800,1416,1804800,1417,1804800,1420,1804800
1493,6,1498,1,1506,24,1494,5461816,1504,83997,21667,1511,253000,1512,5,1513,0,1516,1804800,1516,1804800,1517,1804800,1517,1804800,1518,1804800,1518,1804800
1594,6,1597,1,1605,24,1595,5459524,1604,83997,21667,1612,253000,1613,5,1613,0,1615,1017600,1616,1017600,1617,1017600,1618,1017600,1618,1017600,1619,1324800
1695,6,1698,1,1708,24,1696,5458784,1706,83997,21667,1715,253000,1716,0,1716,0,1718,1804800,1719,1804800,1720,1804800,1721,1804800,1722,1804800,1723,1804800
1797,6,1806,1,1827,24,1798,5460112,1825,0,0,1832,253000,1835,0,1836,0,1842,1804800,1843,1804800,1844,1804800,1846,1804800,1847,1804800,1848,1804800
1897,6,1900,1,1910,24,1898,5456616,1908,0,0,1915,253000,1916,0,1917,0,1918,1248000,1919,1804800,1919,1804800,1920,1804800,1920,1804800,1920,1804800
1997,6,1999,1,2009,24,1998,5453412,2002,0,0,2011,253000,2012,0,2013,0,2013,1516800,2014,1516800,2014,1516800,2015,1516800,2015,1516800,2015,1516800
2107,6,2110,1,2116,24,2108,5458496,2114,0,0,2120,253000,2121,6,2122,0,2122,1804800,2123,1804800,2123,1804800,2124,1804800,2125,1804800,2125,1804800
2207,6,2210,1,2222,24,2208,5460460,2220,100796,38466,2247,253000,2248,6,2248,0,2250,1804800,2252,1804800,2253,1804800,2254,1804800,2255,1804800,2256,1804800
2307,6,2309,1,2315,24,2308,5453172,2313,100796,38466,2318,253000,2318,6,2319,0,2320,1804800,2320,1804800,2321,1804800,2321,1804800,2322,1804800,2322,1804800
2409,6,2411,1,2417,24,2409,5457440,2416,100796,38466,2420,253000,2421,6,2422,0,2422,1804800,2423,1804800,2424,1804800,2424,1804800,2424,1804800,2425,1804800
2509,6,2513,1,2524,24,2510,5456008,2523,100796,38466,2534,253000,2535,6,2536,0,2537,1804800,2538,1804800,2539,1804800,2539,1804800,2540,1804800,2540,1804800
2610,6,2612,1,2617,24,2611,5456976,2616,100796,38466,2621,253000,2622,6,2623,0,2623,1804800,2624,1804800,2625,1017600,2626,1516800,2627,1516800,2627,1516800
2710,6,2712,1,2717,24,2711,5457380,2715,100796,38466,2720,253000,2724,6,2725,0,2726,768000,2728,768000,2728,768000,2729,768000,2730,768000,2731,768000
