Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Battery Remaining (%) [%],Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz]
82,4,83,1,86,25,82,5327752,85,0,0,87,0,87,0,89,0,89,1804800,89,1804800,90,1804800,90,1804800,90,1804800,90,1804800
183,4,185,1,187,25,184,5330800,186,0,0,189,0,193,0,193,0,194,1804800,194,1804800,194,1804800,195,1804800,195,1804800,195,1804800
284,4,285,1,287,25,284,5332312,287,0,0,288,0,289,0,289,0,290,1804800,290,1804800,290,1804800,290,1804800,291,1804800,291,1804800
384,4,385,1,388,25,385,5334200,387,0,0,389,0,390,0,390,0,390,1804800,391,1804800,391,1804800,391,1804800,392,1804800,392,1804800
484,4,486,1,489,25,485,5335268,488,0,0,490,0,491,0,491,0,491,1804800,492,1804800,492,1804800,492,1804800,493,1804800,493,1804800
585,4,590,1,595,25,586,5337024,594,0,0,600,0,602,0,603,0,603,1804800,605,1804800,606,1804800,606,1804800,606,1804800,607,1804800
686,4,688,1,708,25,687,5338716,691,0,0,710,0,711,0,711,0,712,1804800,712,1804800,713,1804800,713,1804800,713,1804800,714,1804800
786,4,788,1,791,25,787,5341400,790,0,0,798,0,799,0,800,0,800,1804800,801,1804800,801,1804800,801,1804800,802,1804800,802,1804800
887,4,889,1,893,25,888,5342868,892,0,0,894,0,895,0,897,0,898,1804800,898,1804800,899,1804800,899,1804800,900,1804800,900,1804800
987,4,990,1,996,25,988,5345244,994,0,0,1001,0,1004,2,1005,0,1006,1804800,1007,1804800,1008,1804800,1009,1804800,1010,1804800,1010,1804800
1089,4,1092,1,1097,25,1090,5346084,1096,0,0,1100,0,1101,2,1102,0,1102,1804800,1103,1804800,1104,1804800,1107,1804800,1107,1804800,1108,1804800
1189,4,1191,1,1195,25,1190,5347532,1193,0,0,1197,0,1198,2,1199,0,1201,1804800,1201,1804800,1204,1804800,1204,1804800,1205,1804800,1205,1804800
1290,4,1293,1,1300,25,1291,5353740,1299,0,0,1311,0,1312,2,1313,0,1314,1804800,1314,1804800,1314,1804800,1315,1804800,1315,1804800,1315,1804800
1391,4,1392,1,1396,25,1391,5356252,1394,0,0,1401,0,1404,2,1405,0,1406,1804800,1406,1804800,1406,1804800,1407,1804800,1407,1804800,1407,1804800
1493,4,1497,1,1505,25,1495,5354756,1503,0,0,1507,0,1508,2,1509,0,1509,1248000,1510,1248000,1511,1248000,1511,1248000,1512,1612800,1512,1612800
1593,4,1597,1,1604,25,1594,5354252,1602,0,0,1609,0,1610,2,1611,0,1612,1248000,1613,1248000,1613,1248000,1614,1248000,1614,1248000,1615,1248000
1693,4,1695,1,1699,25,1694,5361768,1698,0,0,1701,0,1702,2,1702,0,1703,1804800,1703,1804800,1703,1804800,1704,1804800,1704,1804800,1704,1804800
1794,4,1798,1,1805,25,1796,5363768,1804,0,0,1808,0,1809,2,1809,0,1810,1804800,1810,1804800,1810,1804800,1811,1804800,1811,1804800,1811,1804800
1895,4,1899,1,1902,25,1897,5364260,1901,0,0,1910,0,1911,2,1912,0,1912,1804800,1913,1804800,1913,1804800,1913,1804800,1914,1804800,1914,1804800
