Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Battery Remaining (%) [%],Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz]
34,4,36,1,40,25,34,5312928,39,0,0,42,0,43,0,43,0,44,1804800,45,1804800,45,1804800,46,1804800,47,1804800,48,1804800
111,4,112,1,120,25,111,5315028,119,0,0,121,0,122,0,122,0,123,1804800,123,1804800,123,1804800,124,1804800,124,1804800,124,1804800
216,4,217,1,219,25,216,5316616,219,0,0,220,0,228,0,229,0,230,1804800,231,1804800,232,1804800,232,1804800,233,1804800,235,1804800
318,4,319,1,322,25,318,5319908,321,0,0,325,0,325,0,326,0,326,1804800,326,1804800,327,1804800,327,1804800,327,1804800,327,1804800
418,4,419,1,423,25,418,5328664,422,0,0,426,0,427,0,427,0,428,1804800,428,1804800,428,1804800,428,1804800,429,1804800,429,1804800
518,4,520,1,522,25,519,5331924,521,0,0,524,0,525,2,525,0,525,1804800,526,1804800,526,1804800,526,1804800,526,1804800,532,1804800
621,4,623,1,626,25,622,5332600,625,0,0,634,0,637,2,638,0,638,1804800,638,1804800,639,1804800,639,1804800,640,1804800,640,1804800
721,4,723,1,730,25,722,5335608,725,0,0,742,0,743,2,744,0,744,1804800,745,1804800,745,1804800,745,1804800,746,1804800,746,1804800
823,4,824,1,834,25,823,5337248,829,0,0,840,0,847,2,848,0,849,1804800,849,1804800,849,1804800,849,1804800,850,1804800,850,1804800
924,4,926,1,940,25,924,5338804,930,0,0,943,0,949,2,950,0,951,1804800,952,1804800,952,1804800,952,1804800,953,1804800,953,1804800
1024,4,1026,1,1029,25,1025,5340432,1028,0,0,1034,0,1036,2,1038,0,1039,1804800,1039,1804800,1041,1804800,1044,1804800,1046,1804800,1048,1804800
1125,4,1127,1,1130,25,1125,5341328,1129,0,0,1141,0,1142,2,1142,0,1142,1804800,1143,1804800,1143,1804800,1143,1804800,1144,1804800,1144,1804800
1228,4,1231,1,1234,25,1228,5343752,1234,0,0,1260,0,1261,2,1268,0,1274,1804800,1278,1804800,1279,1804800,1280,1804800,1280,1804800,1280,1804800
1327,4,1328,1,1332,25,1327,5349708,1330,0,0,1333,0,1334,2,1334,0,1335,1804800,1335,1804800,1335,1804800,1336,1804800,1336,1804800,1336,1804800
1429,4,1432,1,1447,25,1431,5350888,1445,0,0,1450,0,1452,2,1453,0,1454,1804800,1455,1804800,1455,1804800,1456,1804800,1458,1804800,1458,1804800
1529,4,1530,1,1534,25,1529,5353532,1533,0,0,1554,0,1555,2,1556,0,1569,1804800,1569,1804800,1570,1804800,1575,1804800,1575,1804800,1576,1804800
1629,4,1632,1,1636,25,1631,5362404,1635,0,0,1645,0,1646,2,1647,0,1648,1804800,1653,1804800,1656,1804800,1657,1804800,1664,1804800,1665,1804800
1732,4,1744,1,1749,25,1732,5366708,1748,0,0,1762,0,1766,2,1767,0,1767,1804800,1768,1804800,1768,1804800,1768,1804800,1768,1804800,1769,1804800
1832,4,1834,1,1838,25,1833,5367740,1836,0,0,1841,0,1841,1,1842,0,1842,1804800,1842,1804800,1842,1804800,1843,1804800,1843,1804800,1843,1804800
1934,4,1936,1,1943,25,1935,5370876,1941,0,0,1945,0,1946,1,1946,0,1948,1804800,1953,1804800,1954,1804800,1955,1804800,1956,1804800,1956,1804800
2035,4,2043,1,2047,25,2035,5376852,2046,0,0,2063,0,2064,1,2065,0,2065,1804800,2066,1804800,2066,1804800,2066,1804800,2067,1804800,2067,1804800
2135,4,2136,1,2140,25,2136,5378488,2139,0,0,2144,0,2144,1,2145,0,2145,1804800,2146,1804800,2146,1804800,2146,1804800,2146,1804800,2147,1804800
2235,4,2237,1,2245,25,2236,5385704,2244,0,0,2246,0,2247,1,2248,0,2248,1804800,2248,1804800,2248,1804800,2249,1804800,2249,1804800,2249,1804800
2338,4,2341,1,2344,25,2338,5381836,2343,0,0,2348,0,2349,1,2349,0,2350,1804800,2350,1804800,2351,1804800,2351,1804800,2351,1804800,2351,1804800
2438,4,2440,1,2443,25,2439,5382400,2442,0,0,2445,0,2447,1,2447,0,2448,1804800,2448,1804800,2449,1804800,2449,1804800,2449,1804800,2449,1804800
2539,4,2540,1,2545,25,2539,5384248,2542,0,0,2547,0,2547,1,2548,0,2549,1804800,2549,1804800,2550,1804800,2550,1804800,2550,1804800,2552,1804800
2639,4,2641,1,2645,25,2640,5385616,2644,0,0,2649,0,2650,1,2650,0,2652,1804800,2652,1804800,2653,1804800,2654,1804800,2655,1804800,2655,1804800
2740,4,2742,1,2762,25,2741,5389812,2756,0,0,2767,0,2768,1,2772,0,2773,1804800,2773,1804800,2773,1804800,2775,1804800,2776,1804800,2776,1804800
2841,4,2843,1,2848,25,2842,5390084,2847,0,0,2857,0,2858,1,2859,0,2859,1804800,2859,1804800,2860,1804800,2860,1804800,2866,1804800,2866,1804800
2941,4,2943,1,2950,25,2942,5391508,2949,0,0,2959,0,2960,1,2961,0,2962,1804800,2963,1804800,2963,1804800,2964,1804800,2964,1804800,2965,1804800
3042,4,3045,1,3049,25,3043,5398108,3048,0,0,3051,0,3060,1,3061,0,3061,1804800,3063,1804800,3066,1804800,3070,1804800,3071,1804800,3071,1804800
3145,4,3147,1,3159,25,3146,5402200,3158,0,0,3162,0,3163,1,3167,0,3167,1804800,3168,1804800,3168,1804800,3168,1804800,3169,1804800,3172,1804800
3247,4,3249,1,3271,25,3248,5403488,3269,0,0,3273,0,3273,1,3274,0,3285,1804800,3285,1804800,3286,1804800,3286,1804800,3286,1804800,3287,1804800
3348,4,3354,1,3368,25,3349,5409128,3362,0,0,3377,0,3378,1,3382,0,3384,1804800,3385,1804800,3386,1804800,3386,1804800,3387,1804800,3388,1804800
3448,4,3450,1,3467,25,3448,5383940,3453,0,0,3470,0,3471,1,3472,0,3472,1804800,3473,1804800,3473,1804800,3474,1804800,3474,1804800,3475,1804800
3547,4,3553,1,3568,25,3548,5372556,3567,0,0,3570,0,3580,1,3581,0,3582,1804800,3585,1804800,3586,1804800,3586,1804800,3587,1804800,3587,1804800
3648,4,3651,1,3654,25,3650,5359752,3654,0,0,3656,0,3656,1,3657,0,3657,1804800,3657,1804800,3657,1804800,3657,1804800,3658,1804800,3658,1804800
3750,4,3752,1,3757,25,3751,5368528,3756,0,0,3781,0,3782,1,3782,0,3790,1804800,3791,1804800,3792,1804800,3792,1804800,3792,1804800,3792,1804800
3849,4,3851,1,3854,25,3850,5376116,3853,0,0,,,,,,,,,,,,,,,,,,
