Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Battery Remaining (%) [%],Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz]
26,4,27,1,31,25,26,5314412,30,0,0,34,0,35,0,35,0,36,1804800,37,1804800,37,1804800,37,1804800,38,1804800,38,1804800
110,4,112,1,114,25,111,5312600,114,0,0,116,0,117,0,117,0,118,1804800,119,1804800,120,1804800,120,1804800,120,1804800,121,1804800
211,4,213,1,216,25,212,5320044,215,0,0,222,0,223,0,223,0,223,1804800,224,1804800,224,1804800,224,1804800,224,1804800,225,1804800
312,4,313,1,316,25,312,5325336,315,0,0,319,0,320,0,320,0,320,1804800,321,1804800,321,1804800,322,1804800,322,1804800,323,1804800
413,4,414,1,419,25,413,5330028,417,0,0,421,0,422,0,423,0,423,1804800,423,1804800,424,1804800,424,1804800,424,1804800,425,1804800
515,4,516,1,522,25,515,5333068,521,0,0,523,0,524,0,524,0,525,1804800,525,1804800,525,1804800,525,1804800,526,1804800,526,1804800
619,4,621,1,644,25,620,5333820,624,0,0,647,0,649,0,651,0,651,1804800,652,1804800,652,1804800,653,1804800,653,1804800,653,1804800
720,4,722,1,733,25,721,5335024,727,0,0,740,0,741,0,741,0,742,1804800,743,1804800,743,1804800,744,1804800,744,1804800,745,1804800
820,4,827,1,836,25,821,5336060,835,0,0,838,0,838,2,839,0,839,1804800,839,1804800,839,1804800,840,1804800,840,1804800,840,1804800
921,4,922,1,928,25,921,5338204,927,0,0,934,0,934,2,935,0,937,1804800,938,1804800,938,1804800,939,1804800,939,1804800,939,1804800
1023,4,1025,1,1034,25,1023,5339620,1027,0,0,1036,0,1036,2,1037,0,1037,1804800,1038,1804800,1038,1804800,1038,1804800,1039,1804800,1039,1804800
1122,4,1124,1,1152,25,1123,5339336,1150,0,0,1153,0,1154,2,1155,0,1155,1804800,1156,1804800,1156,1804800,1166,1804800,1166,1804800,1166,1804800
