Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Battery Remaining (%) [%],Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz]
28,6,30,1,32,24,29,5309872,31,0,0,33,253000,33,0,34,0,34,1804800,34,1804800,34,1804800,35,1804800,35,1804800,35,1804800
113,6,115,1,122,24,114,5316036,121,0,0,125,253000,127,0,127,0,128,1804800,128,1804800,129,1804800,129,1804800,130,1804800,131,1804800
214,6,216,1,222,24,215,5314688,221,0,0,224,253000,225,0,226,0,226,1804800,227,1804800,227,1804800,228,1804800,228,1804800,229,1804800
314,6,316,1,320,24,315,5317776,319,0,0,322,253000,322,0,323,0,323,1516800,324,1516800,324,1516800,325,1516800,326,1516800,326,1516800
415,6,418,1,425,24,416,5321800,424,0,0,428,253000,429,0,430,0,430,1804800,431,1804800,431,1804800,432,1804800,432,1804800,433,1804800
515,6,517,1,521,24,516,5329504,519,0,0,524,253000,525,0,526,0,526,1804800,527,1804800,527,1804800,528,1804800,528,1804800,528,1804800
617,6,623,1,637,24,618,5335104,636,0,0,639,253000,640,0,641,0,641,1804800,642,1804800,642,1804800,643,1804800,643,1804800,644,1804800
717,6,719,1,723,24,718,5337416,722,0,0,725,253000,726,6,726,0,727,1612800,727,1612800,727,1612800,728,1612800,728,1612800,728,1612800
819,6,823,1,831,24,820,5336832,829,100796,22570,835,253000,836,6,838,0,838,1017600,839,1017600,840,1017600,841,1017600,842,1017600,843,1017600
919,6,920,1,925,24,919,5338584,924,100796,22570,928,253000,929,6,930,0,930,1804800,931,1804800,931,1804800,932,1804800,932,1804800,933,1804800
1021,6,1023,1,1029,24,1022,5345920,1026,100796,22570,1032,253000,1032,6,1033,0,1034,1804800,1035,1708800,1035,1708800,1035,1708800,1035,1708800,1036,1708800
1120,6,1125,1,1133,24,1123,5345780,1132,100796,22570,1136,253000,1137,6,1138,0,1138,1248000,1139,1248000,1140,1248000,1140,1248000,1141,1248000,1141,1248000
1221,6,1225,1,1230,24,1223,5349732,1229,100796,22570,1233,253000,1234,6,1235,0,1236,768000,1237,768000,1237,768000,1238,768000,1239,768000,1240,768000
1322,6,1327,1,1334,24,1324,5351056,1332,100796,22570,1338,253000,1339,6,1340,0,1341,768000,1341,768000,1342,768000,1343,768000,1344,768000,1344,768000
1423,6,1426,1,1435,24,1424,5350744,1431,100796,22570,1438,253000,1440,6,1441,0,1442,768000,1442,768000,1443,768000,1444,768000,1445,768000,1445,768000
