Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Battery Remaining (%) [%],Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz]
22,6,24,1,26,24,23,5407020,25,0,0,27,253000,28,0,28,0,28,1804800,29,1804800,29,1804800,29,1804800,29,1804800,30,1804800
108,6,109,1,126,24,108,5408584,125,0,0,136,253000,138,0,139,0,139,1804800,140,1804800,140,1804800,141,1804800,142,1804800,143,1804800
208,6,210,1,220,24,209,5408904,217,0,0,223,253000,224,0,224,0,225,1804800,225,1804800,226,1804800,226,1804800,226,1804800,228,1804800
309,6,313,1,323,24,310,5411388,317,0,0,334,253000,335,0,337,0,338,1804800,339,1804800,339,1804800,340,1804800,340,1804800,341,1804800
410,6,412,1,422,24,411,5426672,419,0,0,427,253000,428,0,429,0,430,1804800,431,1804800,432,1804800,432,1804800,433,1804800,434,1804800
511,6,513,1,517,24,512,5430484,516,0,0,520,253000,521,0,521,0,522,1516800,522,1516800,523,1516800,523,1516800,523,1516800,524,1516800
612,6,613,1,627,24,612,5437032,622,0,0,638,253000,640,0,640,0,641,1804800,641,1804800,642,1804800,643,1804800,643,1804800,644,1804800
714,6,718,1,731,24,715,5475560,727,0,0,754,253000,756,0,756,0,758,1804800,759,1804800,760,1804800,761,1804800,761,1804800,762,1804800
816,6,820,1,832,24,817,5475912,829,0,0,837,430000,838,0,839,0,840,1804800,840,1804800,841,1804800,842,1804800,843,1804800,843,1804800
915,6,920,1,927,24,916,5426060,925,0,0,931,430000,932,12,932,0,933,1804800,934,1804800,935,1804800,935,1804800,936,1804800,936,1804800
1016,6,1019,1,1023,24,1017,5444464,1022,480795,280620,1026,430000,1027,12,1027,0,1028,1804800,1028,1804800,1029,1804800,1029,1248000,1030,1248000,1031,1708800
1118,6,1121,1,1125,24,1119,5445436,1124,480795,280620,1127,430000,1128,12,1128,0,1129,1804800,1130,1804800,1131,1804800,1131,1804800,1132,1804800,1132,1804800
1219,6,1223,1,1227,24,1221,5447432,1226,480795,280620,1230,430000,1231,12,1231,0,1232,1804800,1233,1804800,1233,1804800,1233,1804800,1234,1804800,1234,1804800
1320,6,1322,1,1327,24,1321,5450556,1326,480795,280620,1329,253000,1330,12,1331,0,1331,1324800,1332,1324800,1333,1324800,1333,1324800,1334,1324800,1334,1324800
1421,6,1424,1,1432,24,1422,5451248,1430,201592,1417,1438,253000,1439,12,1441,0,1442,1017600,1443,1017600,1444,1017600,1445,1017600,1445,1017600,1447,1017600
1524,6,1528,1,1536,24,1526,5451752,1533,201592,1417,1541,253000,1542,12,1543,0,1544,1017600,1546,1017600,1547,1017600,1548,1017600,1549,1017600,1550,1017600
1624,6,1628,1,1637,24,1626,5452536,1633,201592,1417,1642,253000,1643,12,1645,0,1646,768000,1648,768000,1649,768000,1650,768000,1652,768000,1653,1248000
1725,6,1729,1,1734,24,1728,5453556,1733,201592,1417,1745,253000,1746,12,1747,0,1748,1017600,1749,1017600,1749,1017600,1750,1017600,1751,1017600,1752,1324800
1826,6,1829,1,1841,24,1828,5452628,1839,201592,1417,1843,253000,1844,12,1846,0,1847,1017600,1848,1017600,1848,1017600,1849,1017600,1850,1017600,1851,1017600
1927,6,1930,1,1938,24,1929,5453408,1936,201592,1417,1941,253000,1943,56,1945,0,1946,768000,1948,768000,1949,768000,1950,768000,1952,1248000,1953,1248000
2028,6,2030,1,2037,24,2029,5454344,2035,940767,740592,2040,253000,2041,56,2041,0,2042,1017600,2043,1017600,2043,1017600,2044,1017600,2045,1017600,2047,1017600
2128,6,2132,1,2138,24,2130,5455636,2137,940767,740592,2142,253000,2143,56,2144,0,2145,768000,2145,768000,2146,768000,2147,768000,2148,768000,2149,768000
2229,6,2231,1,2237,24,2230,5455004,2236,940767,740592,2253,253000,2254,56,2255,0,2256,1804800,2256,1804800,2257,1804800,2258,1804800,2258,1804800,2259,1804800
