Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Battery Remaining (%) [%],Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz]
20,6,22,1,24,23,21,5179112,24,0,0,26,0,26,0,27,0,27,1804800,27,1804800,28,1804800,28,1804800,28,1804800,28,1804800
106,6,107,1,111,23,106,5170712,110,0,0,114,0,115,0,116,0,116,1804800,117,1804800,117,1804800,117,1804800,118,1804800,118,1804800
206,6,208,1,183,23,207,5173152,217,0,0,221,0,222,0,222,0,223,1804800,224,1804800,225,1804800,225,1804800,225,1804800,226,1804800
306,6,308,1,219,23,307,5175200,310,0,0,313,0,314,0,315,0,315,1804800,316,1804800,316,1804800,317,1804800,317,1804800,317,1804800
407,6,409,1,311,23,408,5178952,411,0,0,415,0,415,0,416,0,416,1804800,417,1804800,417,1804800,417,1804800,418,1804800,418,1804800
507,6,509,1,413,23,508,5180228,511,0,0,516,0,517,0,518,0,518,1804800,521,1804800,521,1804800,522,1804800,522,1804800,523,1804800
659,6,661,1,511,23,660,5188480,665,0,0,671,0,671,2,672,0,673,1804800,673,1804800,673,1804800,674,1804800,674,1804800,674,1804800
760,6,763,1,667,23,761,5182632,766,0,0,773,0,776,2,779,0,781,1804800,786,1804800,789,1804800,791,1804800,791,1804800,792,1804800
810,6,815,1,767,23,811,5183308,820,0,0,822,0,823,2,823,0,823,1804800,824,1804800,824,1804800,824,1804800,825,1804800,825,1804800
911,6,913,1,820,23,911,5188572,915,0,0,922,0,923,2,924,0,925,1804800,926,1804800,926,1804800,927,1804800,928,1804800,928,1804800
