Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Battery Remaining (%) [%],Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz]
82,4,83,1,2,25,83,5323592,1,0,0,3,0,4,0,4,0,4,1804800,5,1804800,5,1804800,5,1804800,5,1804800,6,1804800
182,4,183,1,87,25,182,5320680,87,0,0,89,0,89,0,90,0,90,1804800,91,1804800,91,1804800,91,1804800,92,1804800,92,1804800
284,4,285,1,188,25,284,5324492,187,0,0,190,0,193,0,194,0,194,1804800,194,1804800,195,1804800,195,1804800,195,1804800,195,1804800
384,4,386,1,290,25,385,5325964,288,0,0,291,0,292,0,292,0,292,1804800,293,1804800,293,1804800,293,1804800,294,1804800,294,1804800
485,4,487,1,388,25,486,5327180,387,0,0,389,0,389,0,390,0,390,1804800,390,1804800,390,1804800,391,1804800,391,1804800,391,1804800
586,4,587,1,491,25,586,5327760,490,0,0,493,0,494,0,495,0,495,1804800,496,1804800,496,1804800,496,1804800,497,1804800,497,1804800
686,4,688,1,593,25,687,5331808,591,0,0,594,0,595,0,596,0,596,1804800,596,1804800,597,1804800,597,1804800,597,1804800,597,1804800
787,4,788,1,706,25,787,5333884,694,0,0,712,0,713,0,713,0,714,1804800,714,1804800,715,1804800,715,1804800,715,1804800,719,1804800
887,4,889,1,791,25,888,5332644,791,0,0,797,0,797,0,798,0,798,1804800,799,1804800,799,1804800,799,1804800,800,1804800,801,1804800
988,4,989,1,893,25,988,5335504,892,0,0,912,0,913,0,913,0,914,1804800,914,1804800,914,1804800,914,1804800,915,1804800,915,1804800
1089,4,1091,1,994,25,1090,5342488,993,0,0,995,0,996,0,997,0,997,1804800,997,1804800,998,1804800,998,1804800,998,1804800,998,1804800
1189,4,1191,1,1097,25,1190,5350332,1096,0,0,1104,0,1105,0,1106,0,1107,1804800,1108,1804800,1108,1804800,1110,1804800,1112,1804800,1112,1804800
1290,4,1299,1,1204,25,1292,5358464,1195,0,0,1214,0,1214,0,1215,0,1217,1804800,1218,1804800,1218,1804800,1219,1804800,1219,1804800,1219,1804800
1390,4,1393,1,1303,25,1391,5365176,1302,0,0,1321,0,1322,2,1325,0,1325,1804800,1326,1804800,1326,1804800,1327,1804800,1328,1804800,1329,1804800
1491,4,1492,1,1397,25,1491,5370192,1396,0,0,1400,0,1400,2,1401,0,1402,1804800,1402,1804800,1402,1804800,1404,1804800,1404,1804800,1405,1804800
1591,4,1593,1,1495,25,1592,5358208,1495,0,0,1497,0,1498,2,1498,0,1499,1804800,1499,1804800,1499,1804800,1500,1804800,1500,1804800,1501,1804800
1696,4,1698,1,1598,25,1697,5359784,1597,0,0,1599,0,1600,2,1600,0,1601,1804800,1601,1804800,1601,1804800,1602,1804800,1602,1804800,1602,1804800
1797,4,1799,1,1700,25,1798,5361764,1699,0,0,1704,0,1704,2,1705,0,1705,1804800,1706,1804800,1706,1804800,1706,1804800,1707,1804800,1707,1804800
1898,4,1900,1,1806,25,1898,5364996,1805,0,0,1807,0,1808,2,1809,0,1809,1804800,1810,1804800,1810,1804800,1810,1804800,1810,1804800,1810,1804800
2003,4,2005,1,1905,25,2004,5368236,1904,0,0,1907,0,1907,2,1908,0,1908,1804800,1908,1804800,1909,1804800,1909,1804800,1909,1804800,1909,1804800
2103,4,2105,1,2009,25,2104,5370392,2008,0,0,2011,0,2012,2,2013,0,2014,1804800,2014,1804800,2014,1804800,2015,1804800,2015,1804800,2016,1804800
2204,4,2206,1,2110,25,2205,5371432,2109,0,0,2111,0,2112,2,2113,0,2113,1804800,2114,1804800,2114,1804800,2114,1804800,2114,1804800,2115,1804800
2304,4,2307,1,2216,25,2305,5379316,2213,0,0,2219,0,2219,2,2220,0,2220,1804800,2220,1804800,2221,1804800,2221,1804800,2221,1804800,2222,1804800
2405,4,2408,1,2314,25,2406,5381940,2311,0,0,2320,0,2320,2,2321,0,2321,1804800,2322,1804800,2322,1804800,2322,1804800,2322,1804800,2322,1804800
2506,4,2508,1,2424,25,2506,5384552,2423,0,0,2427,0,2428,2,2429,0,2430,1804800,2430,1804800,2430,1804800,2431,1804800,2431,1804800,2431,1804800
2606,4,2608,1,2524,25,2607,5386148,2521,0,0,2526,0,2527,2,2527,0,2528,1804800,2528,1804800,2528,1804800,2529,1804800,2529,1804800,2530,1804800
2707,4,2709,1,2610,25,2708,5388776,2610,0,0,2611,0,2612,2,2613,0,2613,1804800,2613,1804800,2613,1804800,2614,1804800,2615,1804800,2615,1804800
2808,4,2809,1,2711,25,2808,5373580,2710,0,0,2713,0,2714,2,2718,0,2719,1804800,2724,1804800,2727,1804800,2727,1804800,2727,1804800,2728,1804800
2908,4,2910,1,2812,25,2909,5373156,2811,0,0,2814,0,2814,2,2815,0,2815,1804800,2815,1804800,2815,1804800,2820,1804800,2820,1804800,2821,1804800
3009,4,3011,1,2913,25,3010,5374848,2912,0,0,2919,0,2920,1,2921,0,2921,1804800,2922,1804800,2922,1804800,2923,1804800,2923,1804800,2924,1804800
3110,4,3111,1,3013,25,3110,5376628,3013,0,0,3015,0,3015,1,3016,0,3017,1804800,3018,1804800,3018,1804800,3019,1804800,3019,1804800,3020,1804800
3210,4,3213,1,3120,25,3211,5377380,3119,0,0,3125,0,3128,1,3129,0,3130,1804800,3131,1804800,3132,1804800,3133,1804800,3133,1804800,3133,1804800
3311,4,3313,1,3218,25,3312,5379484,3217,0,0,3220,0,3221,1,3221,0,3222,1804800,3222,1804800,3222,1804800,3223,1804800,3223,1804800,3223,1804800
3412,4,3414,1,3318,25,3413,5380432,3317,0,0,3319,0,3320,1,3321,0,3321,1804800,3322,1804800,3323,1804800,3323,1804800,3323,1804800,3323,1804800
3513,4,3515,1,3419,25,3514,5381416,3418,0,0,3422,0,3422,1,3423,0,3424,1804800,3425,1804800,3425,1804800,3425,1804800,3426,1804800,3426,1804800
3614,4,3615,1,3518,25,3614,5387508,3518,0,0,3520,0,3521,1,3521,0,3522,1804800,3522,1804800,3522,1804800,3523,1804800,3523,1804800,3524,1804800
3715,4,3717,1,3620,25,3716,5387228,3619,0,0,3624,0,3626,1,3626,0,3627,1804800,3627,1804800,3628,1804800,3628,1804800,3628,1804800,3629,1804800
3815,4,3818,1,3720,25,3817,5389304,3719,0,0,3722,0,3722,1,3723,0,3723,1804800,3723,1804800,3724,1804800,3724,1804800,3726,1804800,3726,1804800
