Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Battery Remaining (%) [%],Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz]
32,6,33,1,37,23,32,5411712,36,0,0,39,253000,40,0,41,0,42,1804800,42,1804800,42,1804800,43,1804800,43,1804800,43,1804800
116,6,118,1,122,23,117,5422376,121,0,0,125,253000,126,0,126,0,127,1804800,127,1804800,128,1804800,128,1804800,129,1804800,129,1804800
217,6,218,1,222,23,217,5431256,221,0,0,228,253000,229,0,230,0,231,1804800,231,1804800,232,1804800,232,1804800,233,1804800,234,1804800
317,6,319,1,322,23,318,5432624,321,0,0,325,253000,326,0,326,0,327,1516800,327,1516800,328,1516800,328,1516800,329,1516800,329,1516800
418,6,420,1,425,23,418,5436848,424,0,0,427,253000,428,0,429,0,429,1804800,430,1804800,430,1804800,430,1804800,430,1804800,431,1804800
518,6,520,1,523,23,519,5454700,522,0,0,526,253000,526,0,527,0,528,1804800,528,1804800,528,1804800,529,1804800,529,1248000,530,1248000
619,6,621,1,626,23,620,5457468,624,0,0,636,253000,637,8,638,0,639,1804800,639,1804800,640,1804800,640,1804800,640,1804800,641,1804800
719,6,722,1,727,23,720,5449560,726,134395,102477,729,253000,730,8,730,0,730,1804800,731,1804800,731,1804800,731,1804800,731,1804800,732,1804800
820,6,823,1,827,23,821,5448992,826,134395,102477,830,253000,831,8,832,0,833,1248000,833,1248000,833,1248000,834,1248000,834,1248000,834,1248000
922,6,925,1,931,23,923,5449840,930,134395,102477,934,253000,935,8,936,0,937,1248000,937,1248000,937,1248000,938,1248000,938,1248000,939,1248000
1023,6,1026,1,1032,23,1024,5449980,1030,134395,102477,1036,253000,1037,8,1038,0,1038,1516800,1039,1516800,1040,1516800,1040,1516800,1040,1516800,1041,1516800
1125,6,1129,1,1138,23,1126,5450388,1137,134395,102477,1142,253000,1143,8,1145,0,1145,1248000,1146,1248000,1148,1248000,1148,1248000,1149,1248000,1149,1248000
1226,6,1229,1,1235,23,1228,5451584,1233,134395,102477,1238,253000,1239,8,1239,0,1240,1248000,1241,1248000,1242,1248000,1243,1248000,1243,1248000,1244,1248000
1326,6,1329,1,1334,23,1327,5452404,1333,134395,102477,1338,253000,1340,8,1340,0,1341,1248000,1342,1248000,1342,1248000,1342,1248000,1343,1248000,1343,1248000
1428,6,1431,1,1436,23,1429,5452668,1435,134395,102477,1439,253000,1440,8,1441,0,1441,1248000,1442,1248000,1442,1248000,1443,1248000,1443,1248000,1443,1248000
1529,6,1532,1,1540,23,1530,5453172,1538,134395,102477,1544,253000,1545,8,1546,0,1546,1248000,1547,1248000,1547,1248000,1548,1248000,1552,1248000,1552,1248000
1630,6,1634,1,1639,23,1632,5454256,1638,134395,102477,1642,253000,1643,5,1644,0,1644,1248000,1645,1248000,1645,1248000,1645,1248000,1646,1248000,1646,1248000
1730,6,1733,1,1738,23,1731,5454508,1737,83997,52079,1741,253000,1742,5,1743,0,1744,1248000,1744,1248000,1745,1248000,1745,1248000,1745,1248000,1746,1248000
1831,6,1839,1,1847,23,1833,5455296,1844,83997,52079,1850,253000,1852,5,1852,0,1854,1248000,1854,1248000,1855,1248000,1855,1248000,1855,1248000,1856,1612800
