Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Battery Remaining (%) [%],Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz]
22,6,24,1,28,22,23,5395040,26,0,0,30,253000,31,0,32,0,32,1804800,32,1804800,33,1804800,33,1804800,34,1804800,34,1804800
109,6,111,1,117,22,110,5397852,115,0,0,125,253000,126,0,130,0,131,1804800,131,1804800,132,1804800,133,1804800,133,1804800,134,1804800
210,6,212,1,221,22,211,5405284,220,0,0,224,253000,225,0,226,0,227,1804800,227,1804800,228,1804800,229,1804800,229,1804800,231,1804800
311,6,321,1,334,22,312,5413980,332,0,0,338,253000,340,0,340,0,342,1804800,343,1804800,344,1804800,345,1804800,346,1804800,347,1804800
413,6,416,1,422,22,414,5402276,420,0,0,425,253000,427,0,427,0,428,1804800,429,1804800,430,1804800,430,1804800,431,1804800,432,1804800
516,6,518,1,455,22,516,5408312,522,0,0,525,253000,527,0,527,0,528,1804800,529,1804800,529,1804800,530,1804800,530,1804800,531,1804800
614,6,618,1,523,22,615,5409556,623,0,0,629,253000,630,3,631,0,632,1804800,633,1804800,634,1804800,635,1804800,636,1804800,636,1804800
714,6,717,1,625,22,715,5414184,719,50398,43679,723,253000,724,3,724,0,725,1804800,725,1804800,726,1804800,726,1804800,727,1804800,727,1804800
817,6,827,1,720,22,822,5411524,835,50398,43679,845,253000,847,3,848,0,860,1804800,862,1804800,863,1804800,864,1804800,865,1804800,867,1804800
916,6,919,1,838,22,917,5409340,924,50398,43679,931,253000,932,3,933,0,934,1804800,934,1804800,935,1804800,936,1804800,937,1804800,937,1804800
1016,6,1019,1,926,22,1017,5397752,1023,50398,43679,1028,253000,1029,3,1030,0,1031,1324800,1032,1324800,1032,1324800,1033,1324800,1034,1324800,1035,1324800
1117,6,1121,1,1025,22,1118,5422996,1127,50398,43679,1136,253000,1138,3,1139,0,1142,1804800,1144,1804800,1145,1804800,1145,1804800,1147,1804800,1148,1804800
1219,6,1225,1,1129,22,1223,5426232,1232,50398,43679,1239,253000,1239,3,1240,0,1241,1804800,1242,1804800,1244,1804800,1245,1804800,1245,1804800,1247,1804800
1320,6,1323,1,1234,22,1321,5426672,1331,50398,43679,1338,253000,1338,3,1339,0,1340,1804800,1340,1804800,1341,1804800,1341,1804800,1342,1804800,1342,1804800
1420,6,1423,1,1333,22,1421,5415496,1429,50398,43679,1437,253000,1438,3,1439,0,1440,1516800,1440,1516800,1440,1516800,1441,1516800,1441,1516800,1442,1516800
1522,6,1525,1,1431,22,1523,5412032,1531,50398,43679,1539,253000,1540,3,1541,0,1543,1248000,1544,1248000,1545,1248000,1546,1248000,1547,1248000,1548,1248000
1622,6,1626,1,1534,22,1624,5412776,1631,50398,43679,1637,253000,1639,8,1640,0,1641,768000,1642,768000,1643,768000,1644,768000,1644,768000,1645,768000
1723,6,1727,1,1633,22,1725,5413452,1733,134395,127676,1741,253000,1743,8,1744,0,1745,768000,1746,768000,1747,768000,1748,768000,1749,768000,1749,768000
1823,6,1825,1,1735,22,1824,5405796,1828,134395,127676,1831,253000,1832,8,1833,0,1834,1804800,1834,1804800,1835,1804800,1835,1804800,1835,1804800,1836,1804800
1924,6,1927,1,1829,22,1925,5402220,1931,134395,127676,1939,253000,1940,8,1940,0,1941,1516800,1941,1516800,1942,1516800,1942,1516800,1943,1516800,1943,1516800
2025,6,2027,1,1935,22,2026,5404212,2029,134395,127676,2033,253000,2034,8,2034,0,2035,1804800,2035,1804800,2036,1804800,2036,1804800,2036,1804800,2037,1804800
2126,6,2128,1,2031,22,2127,5405028,2130,134395,127676,2133,253000,2134,8,2134,0,2134,1804800,2135,1804800,2136,1804800,2137,1804800,2137,1804800,2138,1804800
2227,6,2231,1,2131,22,2228,5405184,2236,134395,127676,2243,253000,2244,8,2245,0,2246,768000,2246,768000,2247,768000,2248,768000,2249,768000,2249,768000
2328,6,2331,1,2238,22,2330,5405136,2335,134395,127676,2341,253000,2343,8,2343,0,2344,1017600,2345,1017600,2345,1017600,2346,1017600,2347,1017600,2347,1017600
2428,6,2431,1,2338,22,2429,5406064,2434,134395,127676,2440,253000,2442,8,2443,0,2444,1017600,2445,1017600,2445,1017600,2447,1017600,2448,1017600,2449,1017600
2531,6,2534,1,2436,22,2532,5406204,2538,134395,127676,2547,253000,2548,8,2549,0,2550,1324800,2551,1324800,2551,1324800,2551,1324800,2552,1324800,2552,1324800
2630,6,2633,1,2540,22,2631,5406408,2637,134395,127676,2642,253000,2643,8,2644,0,2645,1248000,2646,1248000,2647,1248000,2648,1248000,2648,1248000,2649,1248000
2731,6,2733,1,2639,22,2732,5407116,2738,134395,127676,2744,253000,2745,5,2746,0,2747,1804800,2747,1804800,2748,1804800,2748,1804800,2749,1804800,2750,1804800
2831,6,2836,1,2739,22,2834,5409268,2838,83997,77278,2842,253000,2844,5,2845,0,2845,1516800,2846,1516800,2846,1516800,2847,1516800,2847,1516800,2847,1516800
2933,6,2934,1,2840,22,2933,5410780,2937,83997,77278,2940,253000,2940,5,2941,0,2941,1708800,2942,1708800,2942,1708800,2943,1708800,2943,1708800,2943,1708800
3035,6,3039,1,2938,22,3037,5411472,3046,83997,77278,3052,253000,3053,5,3054,0,3055,1248000,3056,1248000,3057,1248000,3058,1248000,3059,1248000,3060,1248000
3135,6,3137,1,3048,22,3136,5412400,3142,83997,77278,3146,253000,3147,5,3148,0,3148,1017600,3149,1017600,3150,1248000,3151,1248000,3151,1248000,3152,1248000
3235,6,3239,1,3143,22,3237,5413236,3243,83997,77278,3248,253000,3249,5,3251,0,3252,1248000,3252,1248000,3253,1248000,3253,1248000,3254,1248000,3254,1248000
3336,6,3339,1,3244,22,3337,5414228,3341,83997,77278,3345,253000,3346,5,3347,0,3347,1248000,3348,1248000,3348,1248000,3349,1248000,3349,1248000,3350,1324800
3437,6,3439,1,3343,22,3438,5414544,3441,83997,77278,3445,253000,3447,5,3447,0,3448,1516800,3449,1516800,3449,1516800,3450,1516800,3450,1516800,3451,1516800
