Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Battery Remaining (%) [%],Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz]
29,6,31,1,34,23,29,5397276,33,0,0,37,253000,39,0,39,0,40,1804800,41,1804800,41,1804800,42,1804800,42,1804800,42,1804800
109,6,111,1,117,23,109,5393996,116,0,0,120,253000,121,0,122,0,123,1804800,124,1804800,125,1804800,125,1804800,126,1804800,126,1804800
209,6,211,1,216,23,209,5388908,214,0,0,219,253000,220,0,221,0,222,1804800,222,1804800,223,1804800,224,1804800,224,1804800,225,1804800
309,6,311,1,317,23,310,5385712,316,0,0,320,253000,321,0,322,0,323,1804800,324,1804800,324,1804800,324,1804800,325,1804800,325,1804800
410,6,412,1,417,23,410,5380424,415,0,0,419,253000,420,0,421,0,421,1804800,422,1804800,423,1804800,423,1804800,424,1804800,424,1804800
510,6,512,1,517,23,511,5374544,515,0,0,520,253000,520,0,521,0,522,1804800,523,1804800,524,1804800,524,1804800,525,1804800,525,1804800
611,6,619,1,623,23,612,5369808,622,0,0,625,253000,627,6,628,0,629,1804800,630,1804800,631,1804800,631,1804800,632,1804800,632,1804800
711,6,715,1,720,23,713,5359824,719,100796,83997,724,253000,725,6,725,0,726,1708800,727,1708800,727,1708800,728,1708800,728,1708800,729,1708800
812,6,814,1,819,23,813,5360968,817,100796,83997,822,253000,823,6,823,0,824,1612800,825,1612800,825,1612800,826,1612800,826,1612800,827,1612800
913,6,914,1,919,23,913,5370316,918,100796,83997,923,253000,924,6,924,0,925,1804800,925,1804800,926,1804800,927,1804800,927,1804800,928,1804800
1014,6,1017,1,1023,23,1015,5377056,1021,100796,83997,1027,253000,1028,6,1029,0,1030,1248000,1031,1248000,1031,1248000,1032,1248000,1033,1248000,1034,1248000
1114,6,1122,1,1126,23,1121,5382652,1125,100796,83997,1131,253000,1133,6,1135,0,1135,1804800,1137,1804800,1139,1804800,1140,1804800,1140,1804800,1141,1804800
