Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Battery Remaining (%) [%],Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz]
73,6,74,1,4,32,73,5362060,2,0,0,6,0,7,0,7,0,8,1804800,8,1804800,8,1804800,8,1804800,9,1804800,9,1804800
174,6,176,1,78,32,175,5364372,77,0,0,82,0,83,0,83,0,84,1804800,84,1804800,85,1804800,85,1804800,85,1804800,85,1804800
276,6,278,1,193,32,277,5365896,178,0,0,196,0,197,0,198,0,198,1804800,198,1804800,199,1804800,199,1804800,199,1804800,199,1804800
378,6,380,1,284,32,379,5371856,284,0,0,286,0,286,0,295,0,296,1804800,296,1804800,297,1804800,297,1804800,298,1804800,298,1804800
476,6,478,1,391,32,477,5375352,383,0,0,393,0,394,0,395,0,396,1804800,397,1804800,397,1804800,398,1804800,398,1804800,399,1804800
580,6,581,1,482,32,580,5381092,481,0,0,484,0,485,0,486,0,486,1804800,486,1804800,489,1804800,491,1804800,492,1804800,492,1804800
680,6,682,1,584,32,681,5382884,583,0,0,585,0,586,0,586,0,597,1804800,608,1804800,609,1804800,609,1804800,614,1804800,615,1804800
780,6,782,1,687,32,781,5387860,685,0,0,692,0,693,0,693,0,694,1804800,694,1804800,694,1804800,695,1804800,695,1804800,695,1804800
881,6,882,1,788,32,881,5389908,786,0,0,790,0,791,0,794,0,795,1804800,795,1804800,796,1804800,796,1804800,797,1804800,797,1804800
981,6,983,1,813,32,982,5390164,885,0,0,888,0,888,0,889,0,889,1804800,890,1804800,890,1804800,891,1804800,891,1804800,891,1804800
1082,6,1084,1,886,32,1083,5370624,986,0,0,989,0,990,0,990,0,991,1804800,991,1804800,991,1804800,991,1804800,992,1804800,992,1804800
1185,6,1186,1,987,32,1185,5372272,1086,0,0,1095,0,1096,0,1097,0,1097,1804800,1097,1804800,1098,1804800,1098,1804800,1098,1804800,1099,1804800
1285,6,1287,1,1090,32,1286,5373760,1194,0,0,1197,0,1198,0,1198,0,1199,1804800,1199,1804800,1199,1804800,1200,1804800,1200,1804800,1200,1804800
1386,6,1388,1,1195,32,1387,5374068,1288,0,0,1292,0,1293,1,1293,0,1294,1804800,1294,1804800,1294,1804800,1294,1804800,1295,1804800,1295,1804800
1486,6,1488,1,1289,32,1487,5374872,1391,0,0,1394,0,1394,1,1396,0,1396,1804800,1397,1804800,1397,1804800,1397,1804800,1397,1804800,1398,1804800
1587,6,1588,1,1392,32,1587,5378700,1489,0,0,1491,0,1492,1,1492,0,1492,1804800,1497,1804800,1497,1804800,1498,1804800,1498,1804800,1499,1804800
1688,6,1690,1,1489,32,1689,5380496,1591,0,0,1595,0,1597,1,1598,0,1601,1804800,1602,1804800,1608,1804800,1608,1804800,1609,1804800,1610,1804800
1788,6,1790,1,1591,32,1789,5385780,1703,0,0,1710,0,1711,0,1711,0,1712,1804800,1712,1804800,1712,1804800,1713,1804800,1713,1804800,1713,1804800
1889,6,1891,1,1704,32,1889,5388244,1793,0,0,1803,0,1803,0,1804,0,1804,1804800,1805,1804800,1805,1804800,1805,1804800,1806,1804800,1806,1804800
1989,6,1990,1,1801,32,1989,5389964,1893,0,0,1897,0,1898,0,1898,0,1899,1804800,1900,1804800,1900,1804800,1901,1804800,1903,1804800,1904,1804800
2092,6,2106,1,1894,32,2093,5393132,1993,0,0,1995,0,1996,0,2001,0,2002,1708800,2003,1708800,2003,1708800,2004,1708800,2004,1708800,2004,1708800
2191,6,2193,1,1994,32,2192,5395440,2109,0,0,2114,0,2114,0,2115,0,2118,1804800,2121,1804800,2121,1804800,2123,1804800,2124,1804800,2124,1804800
2292,6,2293,1,2110,32,2292,5396776,2196,0,0,2199,0,2200,0,2200,0,2201,1804800,2201,1804800,2201,1804800,2202,1804800,2202,1804800,2202,1804800
2392,6,2393,1,2197,32,2393,5399192,2303,0,0,2305,0,2305,0,2306,0,2306,1804800,2306,1804800,2306,1804800,2307,1804800,2307,1804800,2307,1804800
2493,6,2496,1,2303,32,2494,5399700,2396,0,0,2399,0,2399,0,2400,0,2400,1804800,2401,1804800,2401,1804800,2401,1804800,2401,1804800,2402,1804800
2594,6,2604,1,2397,32,2597,5401008,2499,0,0,2502,0,2502,0,2503,0,2503,1804800,2505,1804800,2505,1804800,2505,1804800,2506,1804800,2506,1804800
2694,6,2696,1,2500,32,2695,5399584,2608,0,0,2612,0,2613,0,2614,0,2614,1804800,2615,1804800,2616,1804800,2616,1804800,2624,1804800,2630,1804800
2796,6,2798,1,2610,32,2797,5395076,2704,0,0,2706,0,2711,0,2712,0,2712,1804800,2713,1804800,2713,1804800,2713,1804800,2713,1804800,2714,1804800
2896,6,2898,1,2705,32,2897,5395756,2801,0,0,2818,0,2819,0,2820,0,2820,1804800,2820,1804800,2821,1804800,2821,1804800,2821,1804800,2821,1804800
