Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Battery Remaining (%) [%],Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz]
18,6,20,1,23,32,19,5370020,22,0,0,25,0,26,0,26,0,27,1804800,27,1804800,27,1804800,27,1804800,28,1804800,28,1804800
80,6,82,1,85,32,81,5372380,84,0,0,87,0,87,0,88,0,89,1804800,89,1804800,90,1804800,90,1804800,90,1804800,91,1804800
180,6,182,1,188,32,181,5375740,186,0,0,192,0,193,0,193,0,194,1804800,195,1804800,195,1804800,195,1804800,196,1804800,196,1804800
281,6,283,1,296,32,281,5376928,295,0,0,300,0,301,0,302,0,304,1804800,304,1804800,305,1804800,305,1804800,306,1804800,306,1804800
388,6,390,1,394,32,389,5379204,393,0,0,396,0,396,0,397,0,397,1804800,398,1804800,398,1804800,399,1804800,402,1804800,402,1804800
489,6,493,1,498,32,492,5365876,495,0,0,500,0,501,0,503,0,513,1804800,513,1804800,514,1804800,514,1804800,515,1804800,515,1804800
589,6,591,1,594,32,590,5369140,593,0,0,598,0,599,0,599,0,600,1804800,600,1804800,600,1804800,600,1804800,601,1804800,601,1804800
692,6,694,1,708,32,692,5372448,707,0,0,709,0,710,1,710,0,711,1804800,711,1804800,711,1804800,712,1804800,712,1804800,712,1804800
791,6,793,1,796,32,792,5374856,795,0,0,798,0,799,1,799,0,800,1804800,800,1804800,800,1804800,800,1804800,801,1804800,801,1804800
892,6,894,1,897,32,893,5382948,896,0,0,899,0,900,1,901,0,902,1804800,902,1804800,903,1804800,903,1804800,903,1804800,904,1804800
