Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Battery Remaining (%) [%],Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz]
23,6,25,1,27,31,24,5333332,27,385104,80253,29,565000,29,6,30,0,30,1804800,30,1804800,30,1804800,30,1804800,31,1804800,31,1804800
109,6,111,1,115,31,110,5334828,114,385104,80253,117,565000,118,6,118,0,118,1804800,119,1804800,119,1804800,120,1804800,121,1804800,121,1804800
210,6,213,1,218,31,211,5342220,217,385104,80253,222,565000,223,2,224,0,225,1804800,225,1804800,226,1804800,226,1804800,227,1804800,227,1804800
311,6,313,1,316,31,312,5346196,315,128368,0,320,565000,321,2,322,0,323,1804800,324,1804800,324,1804800,325,1804800,325,1804800,325,1804800
412,6,414,1,417,31,412,5346020,416,128368,0,420,565000,421,2,421,0,422,1804800,422,1804800,423,1804800,423,1804800,424,1804800,424,1804800
514,6,516,1,520,31,515,5364688,519,128368,0,523,565000,524,2,525,0,525,1804800,526,1804800,526,1804800,527,1804800,527,1804800,527,1804800
615,6,616,1,619,31,615,5367320,618,128368,0,621,565000,622,2,623,0,623,1804800,624,1804800,629,1804800,630,1804800,630,1804800,631,1804800
715,6,717,1,719,31,716,5369928,718,128368,0,720,565000,721,2,721,0,722,1804800,722,1804800,723,1804800,723,1804800,723,1804800,723,1804800
816,6,817,1,819,31,816,5369284,819,128368,0,822,565000,823,2,823,0,824,1804800,824,1804800,824,1804800,825,1804800,825,1804800,825,1804800
916,6,918,1,920,31,917,5369528,919,128368,0,922,565000,923,2,923,0,924,1804800,924,1804800,924,1804800,925,1804800,925,1804800,925,1804800
1017,6,1018,1,1021,31,1018,5365600,1020,128368,0,1023,565000,1023,2,1024,0,1024,1804800,1024,1804800,1024,1804800,1025,1804800,1025,1804800,1025,1804800
1118,6,1119,1,1122,31,1118,5366512,1121,128368,0,1123,565000,1124,2,1124,0,1125,1804800,1125,1804800,1125,1804800,1126,1804800,1126,1804800,1126,1804800
1218,6,1220,1,1224,31,1219,5366984,1223,128368,0,1227,430000,1228,5,1229,0,1229,1804800,1229,1804800,1230,1804800,1231,1804800,1231,1804800,1231,1804800
1319,6,1321,1,1325,31,1320,5367268,1324,200331,0,1329,430000,1330,5,1331,0,1331,1804800,1331,1804800,1332,1804800,1332,1804800,1332,1804800,1332,1804800
1420,6,1422,1,1427,31,1421,5367992,1426,200331,0,1430,430000,1431,5,1432,0,1433,1804800,1433,1804800,1434,1804800,1434,1804800,1434,1804800,1434,1804800
1520,6,1522,1,1529,31,1521,5371968,1527,200331,0,1532,430000,1534,5,1534,0,1536,1804800,1537,1804800,1537,1804800,1537,1804800,1538,1804800,1538,1804800
1620,6,1622,1,1626,31,1621,5384536,1625,200331,0,1628,430000,1629,5,1630,0,1631,1804800,1631,1804800,1632,1804800,1632,1804800,1633,1804800,1633,1804800
1721,6,1722,1,1729,31,1722,5381872,1724,200331,0,1730,253000,1731,5,1731,0,1732,1804800,1732,1804800,1732,1804800,1732,1804800,1733,1804800,1733,1804800
1821,6,1823,1,1833,31,1822,5387952,1832,83997,0,1837,253000,1838,5,1839,0,1840,1804800,1840,1804800,1841,1804800,1842,1804800,1842,1804800,1843,1804800
1922,6,1924,1,1929,31,1923,5389204,1927,83997,0,1931,253000,1932,5,1932,0,1932,1804800,1933,1804800,1933,1804800,1933,1804800,1933,1804800,1934,1804800
2024,6,2025,1,2030,31,2024,5372968,2028,83997,0,2032,253000,2034,5,2034,0,2035,1804800,2035,1804800,2035,1804800,2035,1804800,2036,1804800,2036,1804800
2124,6,2126,1,2130,31,2125,5365852,2129,83997,0,2132,253000,2133,5,2133,0,2133,1804800,2134,1804800,2134,1804800,2134,1804800,2135,1804800,2135,1804800
2226,6,2228,1,2232,31,2227,5360128,2231,83997,0,2234,253000,2235,5,2236,0,2236,1516800,2237,1516800,2238,1516800,2239,1516800,2240,1516800,2240,1516800
2326,6,2328,1,2331,31,2327,5348460,2331,83997,0,2333,253000,2334,3,2334,0,2335,1804800,2335,1804800,2336,1804800,2336,1804800,2336,1804800,2336,1804800
2428,6,2432,1,2439,31,2430,5348460,2437,50398,0,2444,253000,2445,3,2446,0,2447,576000,2448,576000,2449,1248000,2450,1248000,2450,1248000,2451,1248000
2529,6,2534,1,2544,31,2530,5340676,2540,50398,0,2549,253000,2550,3,2551,0,2553,1248000,2553,1248000,2554,1248000,2554,1248000,2555,1248000,2555,1248000
2632,6,2636,1,2650,31,2634,5341148,2648,50398,0,2657,253000,2663,3,2664,0,2665,1248000,2665,1248000,2666,1248000,2666,1248000,2673,1248000,2673,1612800
2729,6,2731,1,2737,31,2730,5341180,2736,50398,0,2739,253000,2740,3,2741,0,2741,1248000,2742,1248000,2742,1248000,2742,1248000,2743,1248000,2743,1248000
2831,6,2835,1,2842,31,2833,5341172,2841,50398,0,2847,253000,2848,3,2849,0,2850,1248000,2850,1248000,2851,1248000,2851,1248000,2852,1248000,2852,1248000
