Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Battery Remaining (%) [%],Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz]
69,6,71,1,75,31,70,5263556,74,577657,153138,78,565000,79,9,79,0,80,1804800,80,1804800,81,1804800,81,1804800,82,1804800,82,1804800
170,6,171,1,173,31,170,5264596,173,577657,153138,176,565000,177,9,178,0,178,1804800,179,1804800,180,1804800,180,1804800,181,1804800,181,1804800
270,6,272,1,276,31,270,5265604,274,577657,153138,279,565000,279,2,280,0,280,1804800,281,1804800,281,1804800,282,1804800,282,1804800,282,1804800
370,6,372,1,374,31,371,5266236,373,128368,0,375,565000,376,2,376,0,377,1804800,377,1804800,377,1804800,378,1804800,378,1804800,378,1804800
471,6,473,1,476,31,471,5266740,475,128368,0,479,565000,479,2,480,0,481,1804800,481,1804800,481,1804800,482,1804800,482,1804800,482,1804800
571,6,573,1,577,31,572,5267012,576,128368,0,583,565000,584,2,584,0,585,1804800,586,1804800,586,1804800,587,1804800,588,1804800,588,1804800
672,6,675,1,679,31,672,5270940,678,128368,0,681,565000,681,2,682,0,682,1804800,682,1804800,683,1804800,683,1804800,683,1804800,683,1804800
772,6,774,1,778,31,773,5275868,777,128368,0,781,565000,781,2,782,0,782,1804800,783,1804800,783,1804800,784,1804800,784,1804800,784,1804800
873,6,874,1,879,31,873,5281036,877,128368,0,881,565000,882,2,883,0,883,1804800,884,1804800,884,1804800,884,1804800,885,1804800,885,1804800
973,6,975,1,979,31,974,5289616,978,128368,0,981,565000,982,2,983,0,983,1804800,984,1804800,984,1804800,985,1804800,985,1804800,985,1804800
1074,6,1076,1,1079,31,1074,5292904,1078,128368,0,1081,565000,1082,2,1083,0,1083,1804800,1084,1804800,1084,1804800,1084,1804800,1085,1804800,1085,1804800
1174,6,1176,1,1181,31,1175,5295280,1180,128368,0,1183,565000,1184,2,1185,0,1185,1248000,1186,1248000,1186,1248000,1187,1804800,1187,1804800,1187,1804800
1275,6,1277,1,1282,31,1276,5305196,1281,128368,0,1285,565000,1286,3,1286,0,1287,1804800,1287,1804800,1287,1804800,1288,1804800,1288,1804800,1288,1804800
1376,6,1378,1,1382,31,1376,5309720,1381,192552,0,1384,430000,1385,3,1386,0,1386,1248000,1387,1804800,1387,1804800,1388,1804800,1388,1804800,1388,1804800
1477,6,1480,1,1486,31,1478,5313012,1484,120198,0,1489,355000,1491,3,1491,0,1492,1017600,1493,1017600,1494,1017600,1494,1017600,1495,1017600,1496,1017600
1578,6,1580,1,1584,31,1579,5316864,1583,87150,0,1588,253000,1589,3,1589,0,1589,1804800,1591,1804800,1591,1804800,1592,1804800,1592,1804800,1593,1804800
1679,6,1681,1,1685,31,1680,5318588,1684,50398,0,1688,253000,1689,3,1690,0,1690,1248000,1691,1248000,1691,1017600,1692,1017600,1692,1017600,1693,1248000
1780,6,1786,1,1790,31,1780,5319824,1789,50398,0,1793,253000,1794,3,1795,0,1795,1248000,1796,1248000,1797,1248000,1798,1248000,1798,1248000,1799,1248000
1880,6,1882,1,1886,31,1881,5310528,1885,50398,0,1892,253000,1894,3,1894,0,1895,1804800,1896,1804800,1896,1804800,1897,1804800,1897,1804800,1897,1804800
1980,6,1983,1,1988,31,1981,5312448,1987,50398,0,1991,253000,1993,3,1993,0,1994,768000,1995,768000,1996,768000,1997,768000,1997,768000,1998,768000
2082,6,2084,1,2094,31,2083,5316268,2092,50398,0,2098,253000,2099,3,2099,0,2100,768000,2101,768000,2101,768000,2102,768000,2103,768000,2103,768000
2185,6,2187,1,2193,31,2186,5320016,2191,50398,0,2196,253000,2196,3,2197,0,2198,1248000,2198,1248000,2199,1248000,2199,1248000,2201,1248000,2201,1248000
2287,6,2289,1,2296,31,2288,5312544,2295,50398,0,2300,253000,2301,8,2302,0,2303,768000,2303,768000,2304,768000,2304,768000,2305,768000,2306,768000
2386,6,2388,1,2393,31,2386,5315348,2392,134395,0,2396,253000,2397,8,2398,0,2399,1017600,2400,1017600,2400,1017600,2401,1017600,2401,1017600,2402,1017600
2487,6,2489,1,2493,31,2487,5316384,2493,134395,0,2496,253000,2497,8,2497,0,2498,1804800,2498,1804800,2499,1804800,2499,768000,2500,768000,2500,768000
2587,6,2589,1,2594,31,2588,5316696,2593,134395,0,2596,253000,2597,8,2598,0,2599,1017600,2600,1017600,2600,1017600,2601,1804800,2601,1804800,2601,1804800
2687,6,2689,1,2693,31,2688,5320700,2692,134395,0,2698,253000,2699,8,2700,0,2700,1017600,2701,1017600,2701,1017600,2702,1017600,2703,1017600,2703,1017600
2789,6,2791,1,2795,31,2789,5324556,2793,134395,0,2797,253000,2798,8,2799,0,2800,1248000,2800,1248000,2801,1248000,2801,1516800,2802,1324800,2802,1324800
2889,6,2891,1,2899,31,2890,5333288,2894,134395,0,2901,253000,2902,8,2902,0,2903,1804800,2903,1804800,2904,1804800,2904,1804800,2905,1804800,2905,1804800
