Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Battery Remaining (%) [%],Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz]
67,6,69,1,75,30,67,5454176,74,385104,201728,78,565000,79,6,80,0,81,1804800,0,1804800,0,1804800,0,1804800,1,1804800,1,1804800
167,6,168,1,172,30,167,5461952,170,385104,201728,176,565000,178,6,178,0,180,1804800,81,1804800,82,1804800,82,1804800,83,1804800,83,1804800
268,6,281,1,296,30,276,5460360,292,385104,201728,300,565000,301,6,302,0,303,1804800,181,1804800,183,1804800,183,1804800,184,1804800,184,1804800
372,6,375,1,380,30,373,5425204,379,385104,201728,383,565000,384,6,386,0,386,1804800,304,1804800,305,1804800,306,1804800,307,1804800,307,1804800
473,6,475,1,484,30,474,5426048,478,385104,201728,495,565000,496,6,499,0,500,1804800,387,1804800,389,1804800,389,1804800,390,1804800,391,1804800
575,6,579,1,600,30,575,5438480,590,385104,201728,606,565000,607,6,608,0,609,1804800,501,1804800,502,1804800,502,1804800,503,1804800,503,1804800
675,6,678,1,688,30,676,5447208,687,385104,201728,690,565000,691,6,692,0,694,1804800,609,1804800,610,1804800,610,1804800,612,1804800,613,1804800
776,6,779,1,786,30,777,5456488,785,385104,201728,789,565000,790,6,791,0,792,1804800,696,1804800,697,1804800,698,1804800,698,1804800,699,1804800
878,6,881,1,894,30,879,5456696,890,385104,201728,899,565000,900,6,901,0,903,1804800,792,1804800,797,1804800,797,1804800,798,1804800,799,1804800
981,6,984,1,992,30,982,5444292,990,385104,201728,996,565000,997,6,997,0,999,1804800,904,1804800,905,1804800,906,1804800,907,1804800,908,1804800
1081,6,1084,1,1115,30,1082,5454244,1114,385104,201728,1123,565000,1126,6,1127,0,1129,1804800,1000,1804800,1000,1804800,1001,1804800,1001,1804800,1002,1804800
1183,6,1185,1,1195,30,1184,5456948,1194,385104,201728,1202,565000,1203,6,1204,0,1204,1804800,1130,1804800,1133,1804800,1134,1804800,1134,1804800,1135,1804800
1285,6,1291,1,1296,30,1286,5446084,1294,385104,201728,1303,430000,1306,6,1307,0,1308,1804800,1205,1804800,1205,1804800,1206,1804800,1207,1804800,1207,1804800
1386,6,1389,1,1396,30,1387,5445744,1394,240397,57021,1399,355000,1400,6,1400,0,1401,1804800,1310,1804800,1311,1804800,1312,1804800,1316,1804800,1316,1804800
1488,6,1490,1,1496,30,1489,5449776,1495,174300,0,1499,355000,1500,6,1501,0,1502,1804800,1402,1804800,1402,1804800,1403,1804800,1403,1804800,1404,1804800
1596,6,1598,1,1616,30,1597,5457384,1615,174300,0,1619,253000,1620,6,1621,0,1621,1804800,1502,1804800,1503,1804800,1503,1804800,1504,1804800,1505,1804800
1694,6,1696,1,1701,30,1695,5464724,1700,100796,0,1708,253000,1709,6,1710,0,1711,1804800,1622,1804800,1627,1804800,1628,1804800,1629,1804800,1629,1804800
1801,6,1811,1,1833,30,1802,5464952,1830,100796,0,1838,253000,1839,10,1840,0,1841,1804800,1711,1804800,1712,1804800,1713,1804800,1717,1804800,1719,1804800
1896,6,1899,1,1906,30,1897,5457492,1904,167994,0,1910,253000,1911,10,1912,0,1912,1804800,1842,1804800,1843,1804800,1844,1804800,1845,1804800,1845,1804800
1998,6,2000,1,2005,30,1999,5460128,2003,167994,0,2008,253000,2008,10,2009,0,2010,1804800,1913,1804800,1914,1804800,1915,1804800,1915,1804800,1916,1804800
2098,6,2100,1,2121,30,2099,5463704,2103,167994,0,2123,253000,2124,10,2126,0,2126,1804800,2010,1804800,2011,1804800,2011,1804800,2011,1804800,2012,1804800
2203,6,2206,1,2213,30,2204,5455004,2211,167994,0,2219,253000,2220,10,2220,0,2222,1804800,2127,1804800,2128,1804800,2129,1804800,2129,1804800,2130,1804800
2302,6,2303,1,2307,30,2303,5458548,2305,167994,0,2316,253000,2317,10,2318,0,2319,1804800,2222,1804800,2223,1804800,2224,1804800,2224,1804800,2225,1804800
2404,6,2406,1,2413,30,2405,5451504,2411,167994,0,2416,253000,2418,10,2418,0,2419,1804800,2319,1804800,2320,1804800,2321,1804800,2321,1804800,2322,1804800
2503,6,2505,1,2507,30,2504,5456008,2506,167994,0,2508,253000,2508,10,2514,0,2516,1804800,2420,1804800,2421,1804800,2421,1804800,2422,1804800,2423,1804800
2609,6,2610,1,2612,30,2610,5449320,2612,167994,0,2613,253000,2614,10,2614,0,2614,1804800,2517,1804800,2517,1804800,2517,1804800,2517,1804800,2517,1804800
2711,6,2713,1,2717,30,2711,5456984,2716,167994,0,2720,253000,2721,10,2722,0,2723,1804800,2615,1804800,2615,1804800,2615,1804800,2615,1804800,2615,1804800
2812,6,2814,1,2821,30,2812,5459848,2819,167994,0,2825,253000,2826,15,2827,0,2828,1804800,2723,1804800,2724,1804800,2725,1804800,2725,1804800,2726,1804800
2911,6,2912,1,2915,30,2912,5459524,2914,251991,68615,2916,253000,2917,15,2917,0,2917,1804800,2829,1804800,2830,1804800,2831,1804800,2832,1804800,2833,1804800
3013,6,3014,1,3016,30,3013,5460144,3016,251991,68615,3019,253000,3020,15,3021,0,3022,1804800,2917,1804800,2917,1804800,2918,1804800,2919,1804800,2919,1804800
3113,6,3115,1,3124,30,3114,5459640,3122,251991,68615,3128,253000,3129,15,3130,0,3130,1804800,3022,1804800,3023,1804800,3023,1804800,3023,1804800,3024,1804800
3215,6,3218,1,3227,30,3216,5457072,3223,251991,68615,3233,253000,3235,15,3235,0,3239,1804800,3131,1804800,3131,1804800,3132,1804800,3133,1804800,3134,1804800
3321,6,3324,1,3330,30,3322,5457376,3328,251991,68615,3334,253000,3335,15,3336,0,3338,1804800,3240,1804800,3241,1804800,3242,1804800,3242,1804800,3243,1804800
3421,6,3422,1,3425,30,3422,5458292,3424,251991,68615,3426,253000,3426,15,3427,0,3427,1804800,3338,1804800,3338,1804800,3339,1804800,3339,1804800,3339,1804800
3522,6,3525,1,3534,30,3523,5462188,3532,251991,68615,3540,253000,3541,15,3546,0,3546,1804800,3428,1804800,3429,1804800,3430,1804800,3430,1804800,3431,1804800
3621,6,3625,1,3628,30,3622,5438144,3628,251991,68615,3630,253000,3630,15,3630,0,3631,1804800,3547,1804800,3547,1804800,3547,1804800,3547,1804800,3548,1804800
3723,6,3723,1,3725,30,3723,5439368,3725,251991,68615,,,,,,,,,3631,1804800,3632,1804800,3632,1804800,3632,1804800,3632,1804800
