Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Battery Remaining (%) [%],Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz]
22,6,23,1,28,32,23,5458508,27,0,0,32,0,33,0,39,0,45,1804800,48,1804800,49,1804800,49,1804800,52,1804800,52,1804800
110,6,112,1,120,32,110,5455068,118,0,0,122,0,124,0,124,0,125,1804800,126,1804800,131,1804800,132,1804800,133,1804800,133,1804800
210,6,211,1,236,32,210,5457152,233,0,0,256,0,258,2,259,0,262,1804800,263,1804800,263,1804800,264,1804800,264,1804800,264,1804800
311,6,313,1,319,32,312,5456744,318,0,0,321,0,334,2,335,0,336,1804800,336,1804800,336,1804800,337,1804800,337,1804800,337,1804800
412,6,414,1,417,32,413,5445628,416,0,0,418,0,419,2,419,0,419,1804800,420,1804800,420,1804800,420,1804800,420,1804800,421,1804800
513,6,514,1,526,32,513,5447868,523,0,0,535,0,536,2,537,0,537,1804800,538,1804800,538,1804800,539,1804800,539,1804800,540,1804800
613,6,615,1,620,32,613,5449864,617,0,0,632,0,632,2,633,0,634,1804800,635,1804800,635,1804800,635,1804800,636,1804800,640,1804800
714,6,716,1,720,32,714,5452700,719,0,0,722,0,723,2,724,0,724,1804800,725,1804800,725,1804800,725,1804800,725,1804800,726,1804800
816,6,817,1,821,32,816,5455488,820,0,0,823,0,824,2,824,0,825,1804800,825,1804800,825,1804800,825,1804800,828,1804800,829,1804800
916,6,918,1,921,32,917,5457452,920,0,0,923,0,924,2,925,0,925,1804800,926,1804800,927,1804800,927,1804800,927,1804800,928,1804800
1017,6,1018,1,1021,32,1017,5459416,1020,0,0,1027,0,1028,2,1029,0,1029,1804800,1030,1804800,1030,1804800,1030,1804800,1031,1804800,1031,1804800
1119,6,1127,1,1153,32,1119,5459300,1144,0,0,1156,0,1157,2,1157,0,1167,1804800,1169,1804800,1170,1804800,1171,1804800,1173,1804800,1175,1804800
1219,6,1221,1,1233,32,1219,5459804,1231,0,0,1236,0,1242,2,1243,0,1245,1804800,1247,1804800,1247,1804800,1248,1804800,1248,1804800,1249,1804800
1319,6,1322,1,1329,32,1320,5459344,1327,0,0,1333,0,1335,2,1335,0,1336,1804800,1336,1804800,1337,1804800,1337,1804800,1337,1804800,1337,1804800
1420,6,1422,1,1443,32,1421,5458500,1440,0,0,1447,0,1448,2,1449,0,1450,1804800,1451,1804800,1451,1804800,1452,1804800,1452,1804800,1452,1804800
