Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Battery Remaining (%) [%],Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz]
19,6,44,1,48,33,43,5418456,47,0,0,49,0,57,0,58,0,58,1804800,59,1804800,59,1804800,59,1804800,60,1804800,67,1804800
82,6,85,1,89,33,83,5409284,88,0,0,91,0,92,0,92,0,92,1804800,93,1804800,93,1804800,93,1804800,93,1804800,96,1804800
182,6,184,1,187,33,183,5402628,187,0,0,188,0,189,0,189,0,189,1804800,190,1804800,190,1804800,190,1804800,190,1804800,191,1804800
283,6,286,1,310,33,284,5404988,289,0,0,312,0,313,0,313,0,314,1804800,314,1804800,316,1804800,316,1804800,318,1804800,318,1804800
384,6,386,1,398,33,385,5409364,397,0,0,400,0,400,0,401,0,401,1804800,402,1804800,402,1804800,402,1804800,413,1804800,413,1804800
484,6,486,1,493,33,485,5412296,491,0,0,494,0,495,0,495,0,496,1804800,496,1804800,496,1804800,497,1804800,497,1804800,497,1804800
585,6,587,1,591,33,586,5414208,590,0,0,593,0,593,0,594,0,594,1804800,595,1804800,595,1804800,595,1804800,595,1804800,596,1804800
687,6,689,1,701,33,688,5416452,698,0,0,703,0,703,0,706,0,707,1804800,707,1804800,708,1804800,708,1804800,708,1804800,708,1804800
788,6,790,1,814,33,788,5423312,810,0,0,817,0,818,0,819,0,820,1804800,821,1804800,822,1804800,822,1804800,822,1804800,822,1804800
888,6,890,1,893,33,889,5425076,892,0,0,895,0,895,0,896,0,897,1804800,897,1804800,897,1804800,898,1804800,898,1804800,898,1804800
988,6,990,1,994,33,989,5426860,993,0,0,996,0,996,1,997,0,997,1804800,998,1804800,998,1804800,998,1804800,999,1804800,999,1804800
1090,6,1092,1,1096,33,1091,5432320,1095,0,0,1099,0,1099,1,1100,0,1101,1804800,1101,1804800,1102,1804800,1102,1804800,1103,1804800,1103,1804800
1190,6,1192,1,1195,33,1190,5435336,1194,0,0,1196,0,1197,1,1197,0,1197,1804800,1197,1804800,1198,1804800,1198,1804800,1198,1804800,1198,1804800
1290,6,1293,1,1304,33,1291,5436140,1295,0,0,1307,0,1308,0,1308,0,1308,1804800,1308,1804800,1309,1804800,1309,1804800,1309,1804800,1309,1804800
1394,6,1397,1,1403,33,1395,5438024,1402,0,0,1405,0,1405,0,1406,0,1406,1804800,1412,1804800,1413,1804800,1413,1804800,1414,1804800,1414,1804800
1500,6,1502,1,1512,33,1501,5440248,1510,0,0,1518,0,1519,0,1519,0,1520,1804800,1520,1804800,1521,1804800,1524,1804800,1524,1804800,1524,1804800
1600,6,1602,1,1613,33,1601,5441952,1606,0,0,1629,0,1629,0,1630,0,1630,1804800,1631,1804800,1631,1804800,1631,1804800,1631,1804800,1632,1804800
1701,6,1704,1,1709,33,1702,5443708,1706,0,0,1716,0,1717,0,1718,0,1718,1804800,1719,1804800,1719,1804800,1719,1804800,1720,1804800,1724,1804800
1805,6,1807,1,1816,33,1806,5448476,1814,0,0,1817,0,1818,0,1819,0,1819,1804800,1823,1804800,1824,1804800,1824,1804800,1825,1804800,1825,1804800
1909,6,1910,1,1915,33,1909,5452508,1914,0,0,1917,0,1924,0,1925,0,1926,1804800,1926,1804800,1926,1804800,1927,1804800,1927,1804800,1927,1804800
2009,6,2011,1,2015,33,2010,5446628,2015,0,0,2024,0,2025,0,2025,0,2026,1804800,2026,1804800,2027,1804800,2028,1804800,2028,1804800,2030,1804800
2112,6,2113,1,2117,33,2112,5447312,2116,0,0,2122,0,2123,1,2123,0,2124,1804800,2124,1804800,2125,1804800,2125,1804800,2125,1804800,2126,1804800
