Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Battery Remaining (%) [%],Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz]
69,3,72,1,76,31,70,5230224,75,256736,128843,79,565000,80,4,81,0,81,1804800,82,1804800,82,1804800,83,1804800,83,1804800,83,1804800
109,6,173,1,177,31,172,5231012,176,256736,128843,180,565000,181,4,182,0,182,1804800,182,1804800,183,1804800,183,1804800,183,1804800,184,1804800
170,6,273,1,277,31,271,5231880,276,256736,128843,279,565000,280,4,281,0,281,1804800,281,1804800,282,1804800,282,1804800,283,1804800,283,1804800
271,6,374,1,379,31,372,5235428,378,256736,128843,381,565000,382,4,382,0,382,1804800,383,1804800,383,1804800,383,1804800,384,1804800,384,1804800
371,6,476,1,480,31,474,5238484,479,256736,128843,483,565000,484,4,484,0,485,1804800,486,1804800,486,1804800,487,1804800,488,1804800,488,1804800
472,6,579,1,582,31,577,5242164,582,256736,128843,585,565000,586,3,586,0,587,1804800,588,1804800,588,1804800,589,1804800,589,1804800,589,1804800
576,6,679,1,683,31,677,5244612,681,192552,64659,685,565000,686,3,686,0,687,1804800,688,1804800,688,1804800,689,1804800,689,1804800,690,1804800
677,6,778,1,781,31,778,5248092,780,192552,64659,782,565000,782,3,783,0,783,1804800,783,1804800,784,1804800,784,1804800,784,1804800,784,1804800
777,6,880,1,884,31,879,5256660,883,192552,64659,887,565000,888,3,889,0,889,1804800,890,1804800,890,1804800,891,1804800,891,1804800,892,1804800
878,6,980,1,984,31,979,5261004,983,192552,64659,986,565000,988,3,989,0,989,1804800,990,1804800,991,1804800,991,1804800,991,1804800,992,1804800
