Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Battery Remaining (%) [%],Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz]
15,6,16,1,19,32,15,5405352,18,0,0,24,0,31,0,31,0,32,1804800,32,1804800,32,1804800,33,1804800,33,1804800,33,1804800
116,6,119,1,124,32,117,5409256,122,0,0,127,0,127,0,128,0,128,1804800,129,1804800,129,1804800,129,1804800,153,1804800,154,1804800
218,6,219,1,231,32,218,5414592,229,0,0,233,0,233,0,234,0,234,1804800,235,1804800,235,1804800,235,1804800,235,1804800,236,1804800
319,6,321,1,346,32,320,5419496,324,0,0,354,0,355,0,357,0,357,1804800,361,1804800,361,1804800,362,1804800,362,1804800,363,1804800
430,6,432,1,442,32,431,5423108,433,0,0,444,0,445,0,445,0,445,1804800,446,1804800,446,1804800,446,1804800,447,1804800,447,1804800
531,6,533,1,536,32,532,5424248,535,0,0,544,0,545,1,545,0,546,1804800,546,1804800,546,1804800,547,1804800,547,1804800,547,1804800
633,6,635,1,643,32,634,5427256,641,0,0,646,0,647,1,647,0,648,1804800,653,1804800,654,1804800,655,1804800,655,1804800,656,1804800
735,6,740,1,745,32,737,5433756,744,0,0,770,0,771,1,777,0,784,1804800,786,1804800,798,1804800,798,1804800,801,1804800,811,1804800
835,6,838,1,869,32,836,5436956,849,0,0,875,0,876,1,884,0,885,1804800,885,1804800,886,1804800,888,1804800,890,1804800,891,1804800
938,6,944,1,963,32,938,5442188,962,0,0,965,0,977,1,977,0,978,1804800,979,1804800,979,1804800,979,1804800,980,1804800,981,1804800
1037,6,1038,1,1041,32,1038,5436112,1040,0,0,1043,0,1043,1,1044,0,1044,1804800,1045,1804800,1045,1804800,1045,1804800,1046,1804800,1046,1804800
1138,6,1140,1,1144,32,1139,5437928,1143,0,0,1145,0,1146,1,1147,0,1147,1804800,1147,1804800,1148,1804800,1148,1804800,1148,1804800,1148,1804800
1239,6,1241,1,1244,32,1240,5441716,1243,0,0,1264,0,1266,1,1272,0,1273,1804800,1275,1804800,1277,1804800,1279,1804800,1281,1804800,1282,1804800
1341,6,1350,1,1355,32,1348,5445424,1353,0,0,1357,0,1358,1,1358,0,1359,1804800,1359,1804800,1360,1804800,1360,1804800,1360,1804800,1360,1804800
1441,6,1443,1,1450,32,1442,5447352,1449,0,0,1452,0,1453,1,1453,0,1454,1804800,1454,1804800,1455,1804800,1455,1804800,1455,1804800,1455,1804800
1541,6,1544,1,1547,32,1542,5451188,1546,0,0,1548,0,1548,1,1549,0,1549,1804800,1549,1804800,1549,1804800,1550,1804800,1552,1804800,1552,1804800
1642,6,1644,1,1648,32,1643,5453748,1647,0,0,1653,0,1654,1,1655,0,1661,1804800,1661,1804800,1662,1804800,1662,1804800,1669,1804800,1672,1804800
1745,6,1747,1,1754,32,1745,5455440,1749,0,0,1756,0,1757,1,1757,0,1758,1804800,1759,1804800,1766,1804800,1767,1804800,1767,1804800,1767,1804800
1846,6,1848,1,1856,32,1846,5458464,1855,0,0,1858,0,1859,1,1859,0,1859,1804800,1860,1804800,1860,1804800,1860,1804800,1861,1804800,1861,1804800
1947,6,1955,1,1960,32,1948,5457376,1959,0,0,1962,0,1962,1,1963,0,1964,1804800,1965,1804800,1966,1804800,1972,1804800,1975,1804800,1976,1804800
2047,6,2049,1,2052,32,2048,5461624,2051,0,0,2061,0,2064,1,2064,0,2065,1804800,2074,1804800,2074,1804800,2075,1804800,2076,1804800,2076,1804800
2149,6,2152,1,2162,32,2150,5457032,2161,0,0,2164,0,2164,1,2165,0,2165,1804800,2166,1804800,2166,1804800,2166,1804800,2167,1804800,2167,1804800
2250,6,2252,1,2255,32,2251,5457120,2255,0,0,2261,0,2262,1,2263,0,2263,1804800,2263,1804800,2267,1804800,2272,1804800,2273,1804800,2275,1804800
2352,6,2354,1,2358,32,2352,5459236,2357,0,0,2361,0,2362,1,2363,0,2364,1804800,2365,1804800,2365,1804800,2365,1804800,2366,1804800,2366,1804800
2453,6,2457,1,2462,32,2455,5459096,2461,0,0,2465,0,2467,1,2469,0,2469,1804800,2470,1804800,2470,1804800,2471,1804800,2471,1804800,2471,1804800
2555,6,2557,1,2560,32,2555,5457456,2559,0,0,2562,0,2562,1,2564,0,2564,1804800,2565,1804800,2565,1804800,2567,1804800,2567,1804800,2568,1804800
2655,6,2657,1,2679,32,2656,5457596,2678,0,0,2683,0,2695,1,2696,0,2702,1804800,2703,1804800,2703,1804800,2708,1804800,2709,1804800,2709,1804800
2755,6,2757,1,2762,32,2756,5458644,2760,0,0,2763,0,2764,1,2764,0,2765,1804800,2765,1804800,2766,1804800,2766,1804800,2767,1804800,2767,1804800
2856,6,2865,1,2872,32,2857,5459060,2870,0,0,2876,0,2878,1,2878,0,2880,1804800,2880,1804800,2881,1804800,2882,1804800,2888,1804800,2889,1804800
2959,6,2962,1,2967,32,2960,5445420,2965,0,0,2977,0,2978,1,2979,0,2981,1804800,2986,1804800,2986,1804800,2989,1804800,2989,1804800,2990,1804800
3061,6,3063,1,3065,32,3062,5446280,3064,0,0,3066,0,3067,1,3067,0,3068,1804800,3068,1804800,3068,1804800,3068,1804800,3069,1804800,3069,1804800
