Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Battery Remaining (%) [%],Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz]
68,6,71,1,82,32,70,5398052,79,0,0,1,0,2,0,3,0,3,1804800,3,1804800,4,1804800,4,1804800,5,1804800,5,1804800
167,6,168,1,172,32,167,5396440,171,0,0,121,0,122,0,122,0,123,1804800,123,1804800,124,1804800,124,1804800,125,1804800,125,1804800
269,6,271,1,274,32,270,5375116,274,0,0,174,0,175,0,175,0,176,1804800,176,1804800,177,1804800,177,1804800,177,1804800,203,1804800
371,6,373,1,376,32,372,5374244,375,0,0,278,0,278,0,279,0,279,1804800,280,1804800,280,1804800,280,1804800,280,1804800,281,1804800
474,6,480,1,488,32,478,5376520,487,0,0,378,0,378,0,388,0,389,1804800,389,1804800,390,1804800,390,1804800,390,1804800,390,1804800
575,6,577,1,582,32,576,5376660,581,0,0,490,0,490,0,491,0,491,1804800,491,1804800,492,1804800,492,1804800,492,1804800,493,1804800
676,6,677,1,686,32,676,5378328,684,0,0,584,0,585,1,587,0,587,1804800,588,1804800,589,1804800,591,1804800,591,1804800,592,1804800
778,6,780,1,785,32,779,5381896,784,0,0,688,0,688,1,689,0,689,1804800,689,1804800,690,1804800,690,1804800,690,1804800,690,1804800
878,6,881,1,890,32,879,5382136,889,0,0,787,0,788,1,789,0,789,1804800,790,1804800,791,1804800,792,1804800,793,1804800,793,1804800
979,6,981,1,986,32,980,5383904,985,0,0,892,0,893,1,894,0,894,1708800,894,1708800,899,1708800,899,1708800,900,1708800,900,1708800
1080,6,1082,1,1107,32,1081,5384592,1105,0,0,988,0,989,1,989,0,990,1804800,990,1804800,991,1804800,991,1804800,991,1804800,992,1804800
1180,6,1182,1,1194,32,1181,5385724,1192,0,0,1109,0,1110,1,1110,0,1111,1804800,1111,1804800,1112,1804800,1112,1804800,1112,1804800,1112,1804800
1281,6,1284,1,1291,32,1282,5387544,1290,0,0,1196,0,1197,1,1197,0,1204,1804800,1205,1804800,1205,1804800,1206,1804800,1206,1804800,1206,1804800
1382,6,1384,1,1388,32,1383,5392788,1387,0,0,1292,0,1293,1,1293,0,1293,1804800,1293,1804800,1294,1804800,1294,1804800,1294,1804800,1294,1804800
1484,6,1486,1,1497,32,1484,5391788,1496,0,0,1389,0,1390,1,1403,0,1404,1804800,1405,1804800,1405,1804800,1405,1804800,1406,1804800,1406,1804800
1585,6,1591,1,1600,32,1586,5396184,1594,0,0,1499,0,1500,1,1500,0,1501,1804800,1501,1804800,1502,1804800,1502,1804800,1502,1804800,1502,1804800
1686,6,1688,1,1695,32,1687,5403300,1690,0,0,1603,0,1609,1,1610,0,1611,1804800,1612,1804800,1612,1804800,1613,1804800,1613,1804800,1614,1804800
1789,6,1792,1,1802,32,1790,5405736,1794,0,0,1707,0,1708,1,1708,0,1709,1804800,1709,1804800,1709,1804800,1717,1804800,1720,1804800,1725,1804800
1890,6,1894,1,1901,32,1891,5405556,1899,0,0,1807,0,1809,1,1816,0,1824,1804800,1825,1804800,1826,1804800,1826,1804800,1827,1804800,1827,1804800
1991,6,1993,1,1999,32,1991,5408888,1997,0,0,1903,0,1909,1,1912,0,1913,1804800,1914,1804800,1917,1804800,1918,1804800,1919,1804800,1920,1804800
2091,6,2093,1,2101,32,2092,5410896,2096,0,0,2001,0,2002,1,2003,0,2004,1804800,2004,1804800,2004,1804800,2005,1804800,2005,1804800,2005,1804800
2192,6,2194,1,2199,32,2192,5413880,2198,0,0,2103,0,2104,1,2105,0,2105,1804800,2105,1804800,2105,1804800,2106,1804800,2106,1804800,2106,1804800
2292,6,2294,1,2304,32,2293,5415700,2303,0,0,2200,0,2201,1,2202,0,2202,1804800,2202,1804800,2204,1804800,2205,1804800,2205,1804800,2206,1804800
2393,6,2402,1,2405,32,2394,5420176,2405,0,0,2305,0,2310,1,2314,0,2315,1804800,2316,1804800,2317,1804800,2317,1804800,2317,1804800,2318,1804800
2494,6,2496,1,2501,32,2494,5424268,2499,0,0,2415,0,2416,1,2417,0,2418,1804800,2418,1804800,2418,1804800,2419,1804800,2419,1804800,2419,1804800
2594,6,2596,1,2613,32,2595,5431860,2612,0,0,2522,0,2523,1,2523,0,2524,1804800,2524,1804800,2525,1804800,2525,1804800,2525,1804800,2526,1804800
2694,6,2711,1,2728,32,2696,5433700,2727,0,0,2623,0,2624,1,2625,0,2625,1804800,2625,1804800,2626,1804800,2626,1804800,2626,1804800,2627,1804800
2796,6,2798,1,2803,32,2797,5420632,2802,0,0,2730,0,2744,1,2745,0,2746,1804800,2746,1804800,2748,1804800,2749,1804800,2749,1804800,2755,1804800
2897,6,2898,1,2902,32,2897,5420812,2901,0,0,2805,0,2806,1,2806,0,2806,1804800,2807,1804800,2808,1804800,2811,1804800,2812,1804800,2812,1804800
2998,6,3001,1,3004,32,2999,5423544,3003,0,0,2910,0,2911,1,2914,0,2914,1804800,2915,1804800,2915,1804800,2916,1804800,2916,1804800,2916,1804800
