Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Battery Remaining (%) [%],Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz]
5,6,7,1,15,33,6,5413720,14,0,0,17,0,18,0,18,0,18,1804800,19,1804800,19,1804800,19,1804800,20,1804800,20,1804800
84,6,98,1,110,33,96,5415144,107,0,0,112,0,113,0,113,0,113,1804800,114,1804800,114,1804800,115,1804800,115,1804800,115,1804800
185,6,186,1,190,33,185,5415236,189,0,0,191,0,192,0,193,0,194,1804800,194,1804800,194,1804800,195,1804800,196,1804800,197,1804800
286,6,289,1,294,33,287,5418068,292,0,0,296,0,297,0,298,0,298,1804800,299,1804800,299,1804800,300,1804800,301,1804800,302,1804800
386,6,388,1,391,33,387,5411412,390,0,0,392,0,393,0,393,0,394,1804800,394,1804800,394,1804800,395,1804800,396,1804800,396,1804800
487,6,489,1,492,33,488,5411732,491,0,0,494,0,495,0,496,0,496,1804800,496,1804800,497,1804800,497,1804800,497,1804800,498,1804800
588,6,590,1,593,33,589,5414116,593,0,0,595,0,596,0,597,0,597,1804800,598,1804800,598,1804800,598,1804800,599,1804800,599,1804800
689,6,691,1,696,33,690,5417140,694,0,0,700,0,700,0,701,0,702,1804800,702,1804800,704,1804800,704,1804800,705,1804800,706,1804800
790,6,792,1,798,33,790,5418684,796,0,0,801,0,802,0,803,0,803,1804800,804,1804800,804,1804800,805,1804800,805,1804800,806,1804800
890,6,892,1,899,33,891,5420164,897,0,0,901,0,903,0,904,0,906,1804800,907,1804800,907,1804800,908,1804800,908,1804800,908,1804800
991,6,993,1,1000,33,992,5423480,997,0,0,1005,0,1008,0,1008,0,1009,1804800,1009,1804800,1010,1804800,1010,1804800,1010,1804800,1011,1804800
1092,6,1094,1,1099,33,1093,5426044,1098,0,0,1101,0,1102,0,1103,0,1104,1804800,1105,1804800,1108,1804800,1109,1804800,1110,1804800,1112,1804800
1193,6,1197,1,1199,33,1194,5428124,1199,0,0,1201,0,1201,0,1202,0,1202,1804800,1203,1804800,1203,1804800,1203,1804800,1204,1804800,1204,1804800
1293,6,1296,1,1300,33,1294,5430428,1299,0,0,1303,0,1304,0,1305,0,1310,1804800,1310,1804800,1311,1804800,1311,1804800,1311,1804800,1313,1804800
1393,6,1395,1,1400,33,1394,5430472,1398,0,0,1402,0,1403,0,1403,0,1404,1804800,1404,1804800,1404,1804800,1405,1804800,1405,1804800,1405,1804800
1495,6,1497,1,1503,33,1496,5431676,1502,0,0,1504,0,1505,0,1506,0,1507,1516800,1508,1516800,1509,1516800,1509,1516800,1510,1516800,1510,1516800
1597,6,1599,1,1609,33,1598,5438416,1607,0,0,1611,0,1612,0,1615,0,1615,1804800,1617,1804800,1618,1804800,1619,1804800,1620,1804800,1620,1804800
1697,6,1699,1,1703,33,1697,5446384,1702,0,0,1705,0,1706,0,1708,0,1708,1804800,1708,1804800,1709,1804800,1709,1804800,1709,1804800,1710,1804800
1797,6,1800,1,1807,33,1799,5443496,1805,0,0,1810,0,1811,0,1811,0,1813,1804800,1813,1804800,1813,1804800,1814,1804800,1814,1804800,1815,1804800
1899,6,1901,1,1906,33,1900,5445732,1904,0,0,1913,0,1914,0,1915,0,1915,1804800,1916,1804800,1916,1804800,1916,1804800,1916,1804800,1917,1804800
1999,6,2001,1,2003,33,2000,5446976,2003,0,0,2004,0,2005,0,2005,0,2006,1804800,2006,1804800,2006,1804800,2006,1804800,2008,1804800,2008,1804800
2101,6,2103,1,2106,33,2102,5447920,2105,0,0,2112,0,2113,0,2115,0,2116,1804800,2117,1804800,2118,1804800,2118,1804800,2119,1804800,2119,1804800
2200,6,2202,1,2204,33,2201,5451792,2204,0,0,2205,0,2206,0,2206,0,2207,1612800,2207,1612800,2207,1612800,2207,1612800,2208,1612800,2208,1612800
2301,6,2304,1,2307,33,2302,5452296,2306,0,0,2308,0,2309,0,2309,0,2309,1612800,2310,1612800,2310,1612800,2310,1612800,2311,1612800,2311,1612800
2402,6,2404,1,2409,33,2403,5453176,2407,0,0,2411,0,2412,0,2413,0,2413,1324800,2414,1324800,2414,1324800,2414,1324800,2415,1324800,2415,1324800
2503,6,2505,1,2510,33,2504,5453112,2509,0,0,2512,0,2513,2,2514,0,2514,1248000,2515,1248000,2515,1248000,2516,1248000,2516,1248000,2516,1248000
2604,6,2606,1,2611,33,2605,5454340,2609,0,0,2614,0,2616,2,2616,0,2617,1017600,2617,1017600,2618,1017600,2618,1017600,2618,1017600,2619,1248000
2704,6,2709,1,2716,33,2705,5454624,2714,0,0,2719,0,2720,2,2721,0,2721,1324800,2721,1324800,2722,1324800,2722,1324800,2723,1324800,2723,1324800
2805,6,2808,1,2815,33,2806,5455884,2813,0,0,2818,0,2819,2,2820,0,2820,1516800,2820,1516800,2821,1516800,2821,1516800,2821,1516800,2822,1516800
2906,6,2908,1,2913,33,2906,5456356,2912,0,0,2915,0,2916,2,2917,0,2917,1017600,2918,1017600,2918,1017600,2919,1248000,2919,1248000,2920,1248000
3008,6,3011,1,3019,33,3009,5457112,3017,0,0,3022,0,3024,2,3025,0,3026,1248000,3027,1248000,3027,1248000,3028,1248000,3028,1248000,3028,1248000
3109,6,3111,1,3116,33,3110,5457836,3115,0,0,3119,0,3121,2,3122,0,3123,1612800,3124,1612800,3125,1612800,3126,1612800,3126,1612800,3127,1612800
3209,6,3212,1,3217,33,3210,5458560,3214,0,0,3219,0,3220,2,3221,0,3221,1324800,3221,1324800,3222,1324800,3222,1324800,3223,1324800,3223,1324800
