Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Battery Remaining (%) [%],Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz]
57,6,59,1,62,33,58,5377696,61,0,0,64,0,65,0,66,0,66,1804800,67,1804800,67,1804800,67,1804800,68,1804800,68,1804800
109,6,111,1,120,33,110,5373480,119,0,0,121,0,122,0,123,0,124,1804800,124,1804800,125,1804800,126,1804800,129,1804800,130,1804800
209,6,211,1,228,33,210,5374564,213,0,0,239,0,240,0,241,0,242,1804800,243,1804800,243,1804800,245,1804800,246,1804800,254,1804800
310,6,311,1,322,33,310,5376892,314,0,0,325,0,325,0,326,0,327,1804800,327,1804800,327,1804800,328,1804800,328,1804800,328,1804800
410,6,412,1,421,33,411,5378312,419,0,0,425,0,426,0,427,0,428,1804800,429,1804800,430,1804800,430,1804800,431,1804800,431,1804800
516,6,518,1,532,33,516,5385388,520,0,0,567,0,569,0,572,0,573,1804800,574,1804800,574,1804800,575,1804800,575,1804800,576,1804800
616,6,618,1,621,33,617,5387404,620,0,0,622,0,623,0,623,0,624,1804800,624,1804800,624,1804800,624,1804800,627,1804800,628,1804800
717,6,720,1,723,33,719,5390608,723,0,0,725,0,726,0,726,0,727,1804800,727,1804800,727,1804800,727,1804800,728,1804800,728,1804800
817,6,820,1,824,33,819,5393160,823,0,0,834,0,835,0,837,0,838,1804800,838,1804800,838,1804800,838,1804800,839,1804800,839,1804800
918,6,922,1,933,33,919,5390404,924,0,0,937,0,940,0,942,0,946,1804800,948,1804800,949,1804800,952,1804800,953,1804800,954,1804800
1020,6,1022,1,1029,33,1021,5391012,1027,0,0,1032,0,1033,1,1033,0,1035,1804800,1035,1804800,1036,1804800,1038,1804800,1038,1804800,1039,1804800
1121,6,1125,1,1129,33,1123,5391984,1128,0,0,1131,0,1131,1,1133,0,1134,1804800,1134,1804800,1134,1804800,1134,1804800,1135,1804800,1135,1804800
1222,6,1225,1,1229,33,1223,5395324,1228,0,0,1231,0,1232,1,1233,0,1233,1804800,1234,1804800,1234,1804800,1234,1804800,1234,1804800,1235,1804800
1323,6,1325,1,1328,33,1323,5401152,1327,0,0,1330,0,1330,1,1331,0,1332,1804800,1332,1804800,1333,1804800,1333,1804800,1333,1804800,1334,1804800
1423,6,1425,1,1428,33,1424,5402296,1427,0,0,1429,0,1430,1,1430,0,1431,1804800,1431,1804800,1431,1804800,1432,1804800,1432,1804800,1432,1804800
1524,6,1526,1,1533,33,1524,5409792,1528,0,0,1535,0,1536,1,1537,0,1537,1804800,1538,1804800,1538,1804800,1538,1804800,1539,1804800,1539,1804800
1624,6,1626,1,1631,33,1625,5415188,1630,0,0,1633,0,1633,1,1634,0,1634,1804800,1634,1804800,1635,1804800,1635,1804800,1635,1804800,1635,1804800
1727,6,1729,1,1732,33,1727,5417432,1731,0,0,1740,0,1741,1,1741,0,1742,1804800,1742,1804800,1742,1804800,1742,1804800,1743,1804800,1743,1804800
1827,6,1828,1,1832,33,1828,5418024,1831,0,0,1839,0,1840,1,1842,0,1843,1804800,1843,1804800,1843,1804800,1844,1804800,1844,1804800,1844,1804800
1928,6,1930,1,1935,33,1929,5421504,1934,0,0,1937,0,1938,1,1942,0,1942,1804800,1944,1804800,1946,1804800,1949,1804800,1954,1804800,1954,1804800
2030,6,2032,1,2036,33,2031,5425784,2035,0,0,2040,0,2041,1,2041,0,2042,1804800,2042,1804800,2043,1804800,2043,1804800,2043,1804800,2043,1804800
2129,6,2131,1,2138,33,2130,5426080,2135,0,0,2144,0,2145,1,2146,0,2147,1804800,2149,1804800,2150,1804800,2150,1804800,2151,1804800,2151,1804800
2230,6,2232,1,2241,33,2231,5428068,2235,0,0,2245,0,2245,1,2246,0,2246,1804800,2246,1804800,2247,1804800,2247,1804800,2247,1804800,2248,1804800
2331,6,2332,1,2342,33,2331,5429228,2341,0,0,2344,0,2345,1,2345,0,2346,1804800,2346,1804800,2346,1804800,2347,1804800,2347,1804800,2348,1804800
2431,6,2433,1,2436,33,2432,5430708,2435,0,0,2440,0,2441,1,2441,0,2442,1804800,2443,1804800,2443,1804800,2443,1804800,2443,1804800,2444,1804800
