Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Battery Remaining (%) [%],Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz]
69,6,71,1,6,33,70,5452132,87,0,0,8,0,9,0,9,0,10,1804800,10,1804800,10,1804800,10,1804800,11,1804800,11,1804800
169,6,170,1,88,33,170,5456196,172,0,0,90,0,90,0,91,0,91,1804800,91,1804800,97,1804800,98,1804800,99,1804800,112,1804800
270,6,273,1,173,33,271,5459184,294,0,0,175,0,176,0,176,0,177,1804800,177,1804800,177,1804800,178,1804800,178,1804800,178,1804800
378,6,379,1,302,33,378,5456164,382,0,0,318,0,331,0,332,0,332,1804800,333,1804800,333,1804800,333,1804800,333,1804800,334,1804800
481,6,483,1,383,33,481,5446124,484,0,0,385,0,385,0,386,0,386,1804800,387,1804800,391,1804800,392,1804800,393,1804800,393,1804800
580,6,582,1,486,33,581,5448464,594,0,0,494,0,495,0,495,0,496,1804800,496,1804800,496,1804800,497,1804800,497,1804800,497,1804800
682,6,683,1,595,33,682,5450244,686,0,0,598,0,599,0,603,0,604,1804800,605,1804800,608,1804800,609,1804800,614,1804800,615,1804800
790,6,795,1,687,33,791,5454108,807,0,0,689,0,690,0,690,0,691,1804800,691,1804800,691,1804800,692,1804800,692,1804800,692,1804800
896,6,899,1,821,33,897,5446308,902,0,0,830,0,831,0,832,0,834,1804800,834,1804800,835,1804800,835,1804800,835,1804800,836,1804800
989,6,992,1,903,33,990,5446632,994,0,0,912,0,915,1,916,0,916,1804800,917,1804800,917,1804800,917,1804800,918,1804800,918,1804800
1091,6,1100,1,995,33,1092,5446352,1124,0,0,1005,0,1006,1,1006,0,1007,1804800,1008,1804800,1008,1804800,1009,1804800,1009,1804800,1010,1804800
1190,6,1193,1,1125,33,1191,5448532,1196,0,0,1127,0,1128,1,1140,0,1142,1804800,1143,1804800,1144,1804800,1144,1804800,1144,1804800,1144,1804800
1291,6,1292,1,1154,33,1291,5451604,1311,0,0,1199,0,1202,1,1203,0,1211,1804800,1212,1804800,1214,1804800,1215,1804800,1215,1804800,1215,1804800
1394,6,1396,1,1197,33,1395,5454864,1411,0,0,1314,0,1315,1,1316,0,1316,1804800,1316,1804800,1321,1804800,1321,1804800,1321,1804800,1322,1804800
1494,6,1496,1,1312,33,1495,5457020,1509,0,0,1415,0,1416,1,1417,0,1417,1804800,1417,1804800,1418,1804800,1418,1804800,1418,1804800,1419,1804800
1595,6,1597,1,1412,33,1596,5458444,1600,0,0,1512,0,1512,1,1516,0,1517,1804800,1517,1804800,1517,1804800,1518,1804800,1518,1804800,1518,1804800
1696,6,1699,1,1510,33,1697,5458020,1717,0,0,1602,0,1603,1,1603,0,1604,1804800,1604,1804800,1606,1804800,1607,1804800,1608,1804800,1613,1804800
1797,6,1800,1,1601,33,1798,5454792,1815,0,0,1723,0,1733,1,1733,0,1735,1804800,1735,1804800,1736,1804800,1737,1804800,1737,1804800,1737,1804800
1901,6,1906,1,1720,33,1902,5458276,1923,0,0,1838,0,1839,1,1840,0,1841,1804800,1841,1804800,1842,1804800,1842,1804800,1843,1804800,1843,1804800
1999,6,2001,1,1820,33,1999,5458032,2004,0,0,1926,0,1926,1,1927,0,1927,1804800,1927,1804800,1928,1804800,1928,1804800,1928,1804800,1928,1804800
2099,6,2101,1,1924,33,2099,5459056,2103,0,0,2021,0,2022,1,2023,0,2033,1804800,2034,1804800,2035,1804800,2035,1804800,2036,1804800,2036,1804800
2199,6,2201,1,2015,33,2200,5459056,2203,0,0,2108,0,2109,1,2109,0,2110,1804800,2110,1804800,2110,1804800,2110,1804800,2110,1804800,2111,1804800
2301,6,2304,1,2104,33,2302,5458532,2308,0,0,2205,0,2205,1,2206,0,2206,1804800,2206,1804800,2207,1804800,2207,1804800,2207,1804800,2207,1804800
2404,6,2407,1,2204,33,2405,5459120,2420,0,0,2315,0,2317,1,2319,0,2327,1804800,2328,1804800,2328,1804800,2329,1804800,2329,1804800,2330,1804800
2504,6,2506,1,2310,33,2504,5456340,2508,0,0,2426,0,2427,1,2428,0,2428,1804800,2436,1804800,2436,1804800,2437,1804800,2437,1804800,2437,1804800
2605,6,2608,1,2422,33,2606,5458044,2615,0,0,2514,0,2514,1,2515,0,2516,1804800,2516,1804800,2517,1804800,2517,1804800,2517,1804800,2518,1804800
2706,6,2708,1,2509,33,2706,5460828,2712,0,0,2621,0,2622,1,2626,0,2628,1804800,2629,1804800,2631,1804800,2632,1804800,2637,1804800,2637,1804800
2806,6,2809,1,2618,33,2807,5458640,2811,0,0,2715,0,2716,1,2716,0,2717,1804800,2717,1804800,2717,1804800,2718,1804800,2718,1804800,2718,1804800
2907,6,2910,1,2713,33,2908,5460128,2913,0,0,2814,0,2814,1,2815,0,2815,1804800,2815,1804800,2815,1804800,2816,1804800,2816,1804800,2816,1804800
3008,6,3012,1,2812,33,3010,5442244,3018,0,0,2915,0,2917,1,2918,0,2926,1804800,2928,1804800,2931,1804800,2934,1804800,2934,1804800,2935,1804800
3110,6,3111,1,2914,33,3110,5442280,3113,0,0,3023,0,3024,1,3026,0,3027,1516800,3028,1516800,3029,1516800,3029,1516800,3030,1516800,3030,1516800
3209,6,3211,1,3019,33,3210,5442120,3213,0,0,3116,0,3117,1,3117,0,3117,1248000,3118,1248000,3118,1248000,3119,1324800,3120,1324800,3120,1324800
3310,6,3312,1,3114,33,3311,5444052,3316,0,0,3219,0,3220,1,3221,0,3221,1017600,3222,1017600,3222,1017600,3223,1017600,3223,1017600,3223,1017600
3411,6,3414,1,3215,33,3412,5446028,3419,0,0,3319,0,3319,1,3320,0,3320,1804800,3320,1804800,3321,1804800,3321,1804800,3321,1804800,3322,1804800
3511,6,3514,1,3317,33,3513,5447328,3518,0,0,3423,0,3425,1,3427,0,3428,1804800,3428,1804800,3429,1804800,3431,1804800,3431,1804800,3432,1804800
3612,6,3615,1,3421,33,3613,5448384,3618,0,0,3521,0,3522,1,3523,0,3523,1804800,3523,1804800,3524,1804800,3525,1804800,3525,1804800,3525,1804800
3712,6,3714,1,3519,33,3713,5450480,3717,0,0,3620,0,3621,1,3622,0,3622,1804800,3623,1804800,3623,1804800,3624,1804800,3624,1804800,3624,1804800
3813,6,3815,1,3618,33,3814,5452496,3817,0,0,3721,0,3722,1,3722,0,3723,1804800,3723,1804800,3724,1804800,3725,1804800,3725,1804800,3726,1804800
3914,6,3915,1,3718,33,3914,5455232,3917,0,0,3820,0,3821,1,3821,0,3822,1804800,3822,1804800,3822,1804800,3823,1804800,3823,1804800,3823,1804800
4014,6,4019,1,3818,33,4016,5455620,4023,0,0,3919,0,3920,1,3920,0,3920,1516800,3921,1516800,3921,1516800,3921,1516800,3922,1516800,3922,1516800
,,,,3918,33,,,,,,4030,0,4031,1,,,,,,,,,,,,,,
,,,,4024,33,,,,,,,,,,,,,,,,,,,,,,,
