Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Battery Remaining (%) [%],Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz]
42,6,44,1,46,31,43,5291308,45,0,0,47,0,49,0,50,0,52,1804800,55,1804800,59,1804800,60,1804800,60,1804800,60,1804800
117,6,119,1,129,31,118,5290008,127,0,0,132,0,134,0,135,0,136,1804800,136,1804800,137,1804800,137,1804800,138,1804800,138,1804800
217,6,219,1,222,31,217,5295372,221,0,0,226,0,228,0,228,0,230,1804800,241,1804800,245,1804800,247,1804800,248,1804800,248,1804800
317,6,320,1,327,31,318,5298388,326,0,0,329,0,331,0,331,0,332,1804800,332,1804800,333,1804800,333,1804800,333,1804800,334,1804800
417,6,419,1,423,31,418,5301380,423,0,0,425,0,426,0,427,0,427,1804800,427,1804800,428,1804800,428,1804800,428,1804800,429,1804800
518,6,520,1,523,31,519,5305228,522,0,0,524,0,525,0,526,0,526,1804800,526,1804800,531,1804800,532,1804800,532,1804800,532,1804800
621,6,624,1,629,31,622,5310516,628,0,0,639,0,641,0,642,0,643,1804800,644,1804800,644,1804800,645,1804800,645,1804800,646,1804800
723,6,728,1,736,31,723,5313848,734,0,0,738,0,739,1,739,0,744,1804800,749,1804800,752,1804800,755,1804800,757,1804800,758,1804800
829,6,832,1,835,31,830,5315180,834,0,0,837,0,837,1,838,0,839,1804800,840,1804800,841,1804800,841,1804800,841,1804800,842,1804800
930,6,932,1,938,31,931,5318028,935,0,0,939,0,940,1,941,0,941,1804800,941,1804800,941,1804800,942,1804800,942,1804800,942,1804800
1030,6,1033,1,1040,31,1031,5320020,1038,0,0,1042,0,1043,1,1044,0,1044,1804800,1045,1804800,1045,1804800,1045,1804800,1045,1804800,1048,1804800
1132,6,1135,1,1139,31,1133,5323184,1138,0,0,1140,0,1141,1,1141,0,1142,1804800,1142,1804800,1142,1804800,1142,1804800,1143,1804800,1143,1804800
1232,6,1233,1,1237,31,1232,5324616,1236,0,0,1238,0,1239,1,1239,0,1240,1804800,1240,1804800,1240,1804800,1241,1804800,1241,1804800,1241,1804800
1332,6,1336,1,1341,31,1333,5325724,1340,0,0,1343,0,1345,1,1345,0,1346,1804800,1346,1804800,1346,1804800,1347,1804800,1347,1804800,1348,1804800
1433,6,1435,1,1439,31,1434,5326524,1438,0,0,1440,0,1441,1,1442,0,1442,1804800,1442,1804800,1443,1804800,1443,1804800,1444,1804800,1444,1804800
1533,6,1536,1,1539,31,1534,5327376,1538,0,0,1541,0,1543,1,1544,0,1544,1804800,1545,1804800,1545,1804800,1546,1804800,1546,1804800,1546,1804800
1634,6,1636,1,1643,31,1635,5328288,1638,0,0,1648,0,1649,1,1650,0,1651,1804800,1652,1804800,1652,1804800,1653,1804800,1655,1804800,1656,1804800
1735,6,1738,1,1744,31,1736,5331320,1742,0,0,1748,0,1749,1,1749,0,1750,1804800,1750,1804800,1751,1804800,1751,1804800,1752,1804800,1752,1804800
1835,6,1837,1,1840,31,1836,5334184,1839,0,0,1841,0,1842,1,1842,0,1842,1804800,1843,1804800,1843,1804800,1843,1804800,1843,1804800,1844,1804800
1936,6,1937,1,1940,31,1936,5335696,1939,0,0,1941,0,1942,1,1942,0,1942,1804800,1943,1804800,1943,1804800,1943,1804800,1944,1804800,1944,1804800
