Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Battery Remaining (%) [%],Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz]
75,6,76,1,1,32,75,5352816,0,0,0,3,0,3,0,4,0,4,1804800,4,1804800,4,1804800,5,1804800,5,1804800,5,1804800
174,6,176,1,81,32,175,5357492,79,0,0,83,0,84,0,84,0,85,1804800,85,1804800,86,1804800,86,1804800,86,1804800,86,1804800
275,6,277,1,178,32,276,5358184,177,0,0,179,0,180,0,180,0,181,1804800,181,1804800,185,1804800,186,1804800,186,1804800,186,1804800
376,6,378,1,283,32,377,5362024,281,0,0,285,0,285,0,286,0,286,1804800,287,1804800,287,1804800,289,1804800,290,1804800,290,1804800
476,6,478,1,383,32,477,5364868,382,0,0,388,0,389,0,390,0,390,1804800,391,1804800,391,1804800,392,1804800,392,1804800,392,1804800
577,6,579,1,493,32,578,5366204,488,0,0,495,0,495,0,496,0,497,1804800,497,1804800,498,1804800,498,1804800,499,1804800,500,1804800
677,6,679,1,589,32,678,5376680,586,0,0,593,0,594,2,596,0,597,1804800,598,1804800,598,1804800,601,1804800,601,1804800,601,1804800
778,6,787,1,684,32,779,5377328,682,0,0,690,0,692,2,697,0,698,1804800,699,1804800,699,1804800,700,1804800,700,1804800,700,1804800
879,6,882,1,792,32,880,5379404,791,0,0,793,0,794,2,795,0,801,1804800,801,1804800,802,1804800,802,1804800,803,1804800,803,1804800
980,6,982,1,893,32,981,5382860,891,0,0,900,0,901,2,902,0,902,1804800,903,1804800,903,1804800,904,1804800,904,1804800,904,1804800
1080,6,1083,1,988,32,1081,5386232,985,0,0,990,0,991,2,993,0,993,1804800,994,1804800,996,1804800,996,1804800,997,1804800,997,1804800
1183,6,1186,1,1093,32,1184,5389720,1091,0,0,1095,0,1096,2,1096,0,1096,1804800,1097,1804800,1097,1804800,1099,1804800,1100,1804800,1101,1804800
1281,6,1295,1,1197,32,1283,5391100,1194,0,0,1200,0,1201,2,1201,0,1202,1804800,1203,1804800,1203,1804800,1203,1804800,1204,1804800,1204,1804800
1382,6,1386,1,1304,32,1383,5398468,1301,0,0,1306,0,1307,2,1308,0,1308,1804800,1309,1804800,1309,1804800,1310,1804800,1310,1804800,1310,1804800
1482,6,1486,1,1393,32,1483,5401784,1391,0,0,1397,0,1398,2,1399,0,1400,1804800,1400,1804800,1401,1804800,1401,1804800,1402,1804800,1402,1804800
1583,6,1585,1,1490,32,1584,5404304,1489,0,0,1492,0,1493,2,1494,0,1494,1804800,1495,1804800,1495,1804800,1495,1804800,1496,1804800,1496,1804800
1683,6,1686,1,1588,32,1684,5409344,1587,0,0,1590,0,1591,2,1591,0,1592,1804800,1592,1804800,1593,1804800,1593,1804800,1593,1804800,1593,1804800
1784,6,1786,1,1691,32,1785,5412116,1689,0,0,1693,0,1694,2,1695,0,1695,1804800,1696,1804800,1696,1804800,1697,1804800,1697,1804800,1698,1804800
1885,6,1887,1,1791,32,1886,5415140,1790,0,0,1793,0,1794,2,1794,0,1795,1804800,1795,1804800,1796,1804800,1796,1804800,1796,1804800,1796,1804800
1985,6,1987,1,1891,32,1986,5418568,1890,0,0,1892,0,1893,2,1893,0,1893,1804800,1894,1804800,1894,1804800,1894,1804800,1895,1804800,1895,1804800
2086,6,2088,1,1991,32,2087,5420328,1990,0,0,1993,0,1994,2,1994,0,1995,1804800,1995,1804800,1996,1804800,1996,1804800,1996,1804800,1997,1804800
2187,6,2189,1,2091,32,2188,5420568,2091,0,0,2093,0,2094,1,2095,0,2095,1804800,2096,1804800,2096,1804800,2096,1804800,2096,1804800,2097,1804800
2288,6,2289,1,2195,32,2288,5422280,2194,0,0,2197,0,2198,1,2199,0,2200,1804800,2200,1804800,2200,1804800,2201,1804800,2201,1804800,2201,1804800
2390,6,2392,1,2294,32,2390,5423600,2293,0,0,2295,0,2296,1,2296,0,2297,1804800,2297,1804800,2298,1804800,2298,1804800,2298,1804800,2298,1804800
2491,6,2493,1,2396,32,2492,5425800,2395,0,0,2398,0,2399,1,2399,0,2400,1804800,2400,1804800,2401,1804800,2401,1804800,2401,1804800,2401,1804800
2593,6,2595,1,2495,32,2594,5413408,2495,0,0,2497,0,2498,1,2498,0,2499,1804800,2499,1804800,2500,1804800,2501,1804800,2501,1804800,2501,1804800
2694,6,2697,1,2601,32,2695,5413956,2600,0,0,2603,0,2603,1,2605,0,2606,1804800,2608,1804800,2609,1804800,2609,1804800,2609,1804800,2610,1804800
