Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Battery Remaining (%) [%],Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz]
35,6,37,1,40,31,36,5265600,39,320920,307481,42,565000,43,5,44,0,44,1804800,45,1804800,45,1804800,45,1804800,46,1804800,46,1804800
114,6,117,1,129,31,115,5273192,126,320920,307481,137,565000,138,5,139,0,139,1804800,140,1804800,140,1804800,141,1804800,141,1804800,142,1804800
215,6,217,1,221,31,216,5280048,220,320920,307481,224,565000,226,5,227,0,228,1804800,229,1804800,229,1804800,230,1804800,230,1804800,231,1804800
320,6,323,1,327,31,321,5292352,326,320920,307481,330,565000,330,5,331,0,332,1804800,332,1804800,333,1804800,333,1804800,334,1804800,334,1804800
421,6,424,1,428,31,422,5303392,427,320920,307481,430,565000,431,5,432,0,432,1804800,433,1804800,433,1804800,434,1804800,435,1804800,435,1804800
522,6,525,1,531,31,523,5308252,530,320920,307481,533,565000,535,5,536,0,537,1804800,537,1804800,538,1804800,538,1804800,539,1804800,539,1804800
624,6,626,1,630,31,625,5309852,629,320920,307481,633,565000,634,5,634,0,635,1804800,635,1804800,636,1804800,636,1804800,637,1804800,637,1804800
726,6,727,1,732,31,726,5307788,730,320920,307481,735,565000,736,5,737,0,737,1804800,738,1804800,744,1804800,744,1804800,745,1804800,745,1804800
826,6,829,1,832,31,827,5316824,831,320920,307481,835,565000,835,5,836,0,837,1804800,837,1804800,838,1804800,839,1804800,839,1804800,840,1804800
927,6,929,1,932,31,927,5319064,931,320920,307481,935,565000,936,8,936,0,937,1804800,937,1804800,938,1804800,938,1804800,938,1804800,939,1804800
1027,6,1029,1,1034,31,1028,5319356,1033,513472,500033,1036,565000,1037,8,1038,0,1038,1804800,1038,1804800,1038,1804800,1039,1804800,1039,1804800,1040,1804800
1128,6,1130,1,1134,31,1129,5326416,1133,513472,500033,1137,565000,1138,8,1139,0,1139,1804800,1140,1804800,1141,1804800,1141,1804800,1142,1804800,1142,1804800
1228,6,1230,1,1187,31,1229,5327908,1233,513472,500033,1236,565000,1237,8,1238,0,1238,1612800,1239,1612800,1239,1612800,1240,1804800,1240,1804800,1241,1804800
1329,6,1331,1,1234,31,1330,5327576,1335,513472,500033,1338,565000,1339,8,1340,0,1341,1804800,1341,1804800,1342,1804800,1343,1804800,1343,1804800,1343,1804800
1431,6,1434,1,1336,31,1432,5326612,1437,513472,500033,1440,430000,1443,8,1444,0,1444,1804800,1445,1804800,1445,1804800,1445,1804800,1446,1804800,1446,1804800
1533,6,1540,1,1438,31,1535,5326432,1544,320530,307091,1548,253000,1550,8,1551,0,1552,1248000,1552,1248000,1554,1248000,1554,1248000,1555,1248000,1555,1248000
1634,6,1637,1,1545,31,1635,5326716,1642,134395,120956,1647,253000,1648,8,1649,0,1650,1017600,1650,1017600,1651,1017600,1651,1017600,1651,1017600,1652,1017600
1735,6,1738,1,1643,31,1737,5327440,1744,134395,120956,1748,253000,1749,8,1750,0,1750,1248000,1751,1248000,1751,1248000,1752,1248000,1752,1248000,1753,1248000
1838,6,1843,1,1745,31,1840,5327976,1848,134395,120956,1855,253000,1858,8,1859,0,1860,1248000,1861,1248000,1862,1248000,1862,1248000,1863,1248000,1863,1248000
1939,6,1943,1,1850,31,1940,5328504,1948,134395,120956,1953,253000,1955,8,1956,0,1957,1248000,1958,1248000,1958,1248000,1959,1248000,1959,1248000,1960,1248000
2040,6,2043,1,1950,31,2041,5328920,2048,134395,120956,2053,253000,2055,7,2056,0,2057,1248000,2058,1248000,2058,1248000,2059,1248000,2059,1248000,2060,1248000
2141,6,2145,1,2049,31,2143,5329928,2151,117595,104156,2158,253000,2159,7,2160,0,2161,1248000,2161,1248000,2162,1248000,2162,1248000,2162,1248000,2163,1248000
2242,6,2249,1,2154,31,2247,5329036,2257,117595,104156,2262,253000,2263,7,2264,0,2265,1248000,2266,1248000,2266,1248000,2267,1248000,2267,1248000,2268,1248000
2343,6,2345,1,2259,31,2344,5318352,2350,117595,104156,2357,253000,2358,7,2359,0,2359,1248000,2360,1248000,2361,1248000,2361,1248000,2361,1248000,2363,1248000
2444,6,2449,1,2353,31,2445,5318652,2455,117595,104156,2462,253000,2467,7,2468,0,2469,768000,2470,768000,2470,768000,2471,768000,2472,768000,2472,768000
2493,5,2551,1,2457,31,2550,5317212,2554,117595,104156,2567,253000,2575,7,2575,0,2576,1804800,2576,1804800,2577,1804800,2577,1804800,2582,1804800,2585,1804800
2549,5,2652,1,2555,31,2651,5324016,2656,117595,104156,2661,253000,2664,7,2665,0,2665,1804800,2666,1804800,2666,1804800,2666,1804800,2667,1804800,2667,1804800
2650,5,2756,1,2658,31,2754,5322208,2759,117595,104156,2766,253000,2767,7,2768,0,2769,1017600,2770,1017600,2771,1017600,2771,1017600,2772,1017600,2772,1017600
