Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Battery Remaining (%) [%],Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz]
74,6,76,1,83,33,75,5372616,82,0,0,87,0,87,0,88,0,88,1804800,89,1804800,90,1804800,91,1804800,92,1804800,92,1804800
173,6,175,1,178,33,174,5370420,177,0,0,179,0,180,0,180,0,181,1804800,181,1804800,182,1804800,182,1612800,182,1612800,182,1612800
275,6,277,1,281,33,276,5371540,280,0,0,287,0,288,0,288,0,290,1804800,290,1804800,291,1804800,291,1804800,292,1804800,292,1804800
376,6,378,1,395,33,377,5375852,393,0,0,398,0,398,2,399,0,400,1804800,400,1804800,401,1804800,401,1804800,401,1804800,402,1804800
478,6,493,1,503,33,479,5380176,497,0,0,511,0,512,2,512,0,513,1804800,514,1804800,514,1804800,514,1804800,515,1804800,515,1804800
578,6,582,1,633,33,579,5382836,585,0,0,636,0,636,2,637,0,637,1804800,637,1804800,638,1804800,638,1804800,638,1804800,639,1804800
679,6,682,1,685,33,679,5379792,684,0,0,708,0,709,2,709,0,710,1804800,710,1804800,710,1804800,711,1804800,711,1804800,711,1804800
779,6,781,1,784,33,780,5383148,783,0,0,794,0,795,2,795,0,796,1804800,796,1804800,797,1804800,797,1804800,797,1804800,797,1804800
880,6,890,1,895,33,881,5388060,894,0,0,896,0,897,2,897,0,900,1804800,901,1804800,902,1804800,902,1804800,902,1804800,903,1804800
980,6,984,1,988,33,982,5392924,987,0,0,989,0,990,2,991,0,991,1804800,991,1804800,992,1804800,992,1804800,992,1804800,992,1804800
1081,6,1084,1,1089,33,1082,5388444,1087,0,0,1091,0,1092,2,1093,0,1094,1804800,1094,1804800,1095,1804800,1095,1804800,1095,1804800,1095,1804800
1185,6,1187,1,1194,33,1186,5390728,1189,0,0,1196,0,1196,2,1197,0,1197,1804800,1197,1804800,1198,1804800,1198,1804800,1198,1804800,1198,1804800
1287,6,1289,1,1293,33,1288,5398416,1292,0,0,1301,0,1305,2,1306,0,1306,1804800,1307,1804800,1307,1804800,1313,1804800,1314,1804800,1314,1804800
1388,6,1390,1,1394,33,1389,5401936,1393,0,0,1397,0,1397,2,1398,0,1398,1804800,1399,1804800,1400,1804800,1400,1804800,1400,1804800,1400,1804800
1488,6,1491,1,1494,33,1489,5402432,1493,0,0,1495,0,1496,1,1497,0,1497,1804800,1498,1804800,1498,1804800,1498,1804800,1498,1804800,1499,1804800
1589,6,1591,1,1597,33,1590,5404732,1593,0,0,1602,0,1610,1,1610,0,1611,1804800,1611,1804800,1612,1804800,1612,1804800,1612,1804800,1613,1804800
1691,6,1693,1,1697,33,1692,5406076,1697,0,0,1700,0,1701,1,1701,0,1702,1804800,1702,1804800,1702,1804800,1702,1804800,1703,1804800,1703,1804800
1791,6,1794,1,1797,33,1792,5409328,1796,0,0,1798,0,1799,1,1799,0,1800,1804800,1800,1804800,1800,1804800,1800,1804800,1801,1804800,1801,1804800
1891,6,1893,1,1897,33,1892,5410336,1896,0,0,1899,0,1899,1,1900,0,1900,1804800,1901,1804800,1901,1804800,1904,1804800,1905,1804800,1907,1804800
1992,6,1994,1,1997,33,1993,5412136,1996,0,0,1999,0,2000,1,2000,0,2001,1804800,2001,1804800,2001,1804800,2002,1804800,2002,1804800,2002,1804800
2092,6,2094,1,2097,33,2093,5414232,2096,0,0,2100,0,2101,1,2101,0,2102,1804800,2102,1804800,2102,1804800,2103,1804800,2103,1804800,2103,1804800
2193,6,2195,1,2202,33,2194,5415372,2198,0,0,2204,0,2205,1,2206,0,2206,1804800,2207,1804800,2207,1804800,2209,1804800,2210,1804800,2212,1804800
2293,6,2295,1,2302,33,2294,5417460,2297,0,0,2309,0,2311,1,2311,0,2316,1804800,2317,1804800,2317,1804800,2317,1804800,2318,1804800,2318,1804800
2394,6,2395,1,2397,33,2394,5418876,2397,0,0,2399,0,2399,1,2399,0,2400,1804800,2400,1804800,2400,1804800,2400,1804800,2401,1804800,2401,1804800
2495,6,2499,1,2504,33,2496,5421200,2503,0,0,2508,0,2509,1,2509,0,2509,1804800,2510,1804800,2510,1804800,2510,1804800,2510,1804800,2511,1804800
2596,6,2598,1,2603,33,2597,5424216,2601,0,0,2608,0,2609,1,2609,0,2610,1804800,2611,1804800,2611,1804800,2612,1804800,2612,1804800,2612,1804800
2696,6,2697,1,2700,33,2696,5425028,2699,0,0,2701,0,2703,1,2709,0,2709,1804800,2710,1804800,2711,1804800,2711,1804800,2711,1804800,2712,1804800
2800,6,2803,1,2807,33,2801,5428068,2805,0,0,2811,0,2813,1,2814,0,2815,1804800,2816,1804800,2816,1804800,2816,1804800,2816,1804800,2817,1804800
2901,6,2905,1,2909,33,2903,5426612,2907,0,0,2933,0,2934,1,2935,0,2935,1804800,2936,1804800,2936,1804800,2936,1804800,2936,1804800,2937,1804800
3002,6,3004,1,3008,33,3003,5426124,3007,0,0,3010,0,3011,1,3011,0,3011,1804800,3012,1804800,3012,1804800,3012,1804800,3012,1804800,3012,1804800
3103,6,3104,1,3108,33,3103,5428216,3107,0,0,3109,0,3114,1,3114,0,3115,1804800,3115,1804800,3115,1804800,3116,1804800,3116,1804800,3116,1804800
3204,6,3206,1,3232,33,3204,5433260,3220,0,0,3237,0,3239,1,3241,0,3243,1804800,3244,1804800,3246,1804800,3246,1804800,3246,1804800,3247,1804800
3306,6,3308,1,3317,33,3307,5438104,3311,0,0,3319,0,3320,1,3320,0,3321,1804800,3321,1804800,3321,1804800,3322,1804800,3322,1804800,3323,1804800
3407,6,3409,1,3419,33,3408,5440448,3419,0,0,3429,0,3430,1,3430,0,3431,1804800,3431,1804800,3431,1804800,3431,1804800,3431,1804800,3432,1804800
3510,6,3512,1,3520,33,3511,5442492,3519,0,0,3529,0,3535,1,3535,0,3536,1804800,3536,1804800,3537,1804800,3537,1804800,3539,1804800,3540,1804800
3610,6,3612,1,3616,33,3611,5445040,3615,0,0,3617,0,3618,1,3618,0,3619,1804800,3619,1804800,3619,1804800,3619,1804800,3619,1804800,3620,1804800
3710,6,3712,1,3715,33,3711,5446700,3715,0,0,3716,0,3717,1,3717,0,3718,1804800,3718,1804800,3718,1804800,3719,1804800,3719,1804800,3719,1804800
3811,6,3814,1,3818,33,3812,5447052,3816,0,0,3820,0,3820,1,3822,0,3822,1804800,3823,1804800,3823,1804800,3824,1804800,3824,1804800,3824,1804800
3911,6,3914,1,3920,33,3912,5448768,3918,0,0,3921,0,3922,1,3928,0,3929,1804800,3929,1804800,3930,1804800,3942,1804800,3943,1804800,3944,1804800
4013,6,4015,1,4019,33,4014,5426924,4018,0,0,4020,0,4021,1,4021,0,4022,1804800,4026,1804800,4027,1804800,4031,1804800,4031,1804800,,
