Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Battery Remaining (%) [%],Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz]
68,6,73,1,76,31,71,5358016,75,0,0,77,0,81,0,81,0,84,1804800,85,1804800,87,1804800,88,1804800,88,1804800,88,1804800
169,6,171,1,174,31,170,5357976,173,0,0,176,0,177,0,178,0,178,1804800,179,1804800,179,1804800,179,1804800,180,1804800,180,1804800
270,6,272,1,277,31,271,5360076,276,0,0,278,0,279,0,280,0,280,1804800,280,1804800,281,1804800,281,1804800,281,1804800,281,1804800
370,6,373,1,377,31,371,5362416,376,0,0,387,0,388,0,396,0,397,1804800,397,1804800,398,1804800,398,1804800,399,1804800,401,1804800
472,6,474,1,480,31,472,5364092,479,0,0,482,0,483,2,483,0,483,1804800,484,1804800,484,1804800,484,1804800,484,1804800,485,1804800
572,6,574,1,580,31,573,5369796,578,0,0,582,0,583,2,583,0,584,1804800,584,1804800,584,1804800,584,1804800,585,1804800,585,1804800
672,6,676,1,682,31,674,5373052,681,0,0,684,0,685,2,685,0,699,1804800,706,1804800,707,1804800,707,1804800,707,1804800,707,1804800
773,6,775,1,782,31,774,5374252,780,0,0,790,0,793,2,794,0,796,1804800,798,1804800,799,1804800,799,1804800,800,1804800,800,1804800
875,6,876,1,881,31,875,5377356,880,0,0,890,0,890,2,891,0,892,1804800,892,1804800,892,1804800,892,1804800,893,1804800,893,1804800
976,6,978,1,992,31,977,5381428,987,0,0,994,0,998,2,999,0,999,1804800,1002,1804800,1003,1804800,1003,1804800,1004,1804800,1004,1804800
1076,6,1078,1,1080,31,1077,5387380,1080,0,0,1083,0,1084,2,1089,0,1090,1804800,1091,1804800,1091,1804800,1091,1804800,1092,1804800,1092,1804800
1177,6,1181,1,1187,31,1179,5390700,1186,0,0,1199,0,1200,2,1201,0,1203,1804800,1203,1804800,1204,1804800,1204,1804800,1204,1804800,1205,1804800
1278,6,1280,1,1286,31,1279,5393012,1284,0,0,1288,0,1288,2,1289,0,1289,1804800,1290,1804800,1292,1804800,1294,1804800,1294,1804800,1299,1804800
