Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Battery Remaining (%) [%],Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz]
53,6,55,1,61,30,54,5492024,59,0,0,64,253000,66,8,67,0,67,1804800,68,1804800,72,1804800,73,1804800,74,1804800,76,1804800
109,6,116,1,123,30,110,5494424,121,134395,120956,132,253000,133,8,133,0,134,1804800,135,1804800,136,1804800,137,1804800,138,1804800,139,1804800
211,6,221,1,233,30,218,5500496,229,134395,120956,247,253000,248,8,249,0,250,1804800,251,1804800,251,1804800,253,1804800,254,1804800,255,1804800
311,6,314,1,342,30,312,5492216,325,134395,120956,345,253000,347,8,347,0,356,1804800,356,1804800,357,1804800,364,1804800,365,1804800,366,1804800
413,6,415,1,428,30,414,5505796,419,134395,120956,431,253000,432,8,433,0,433,1804800,434,1804800,434,1804800,435,1804800,444,1804800,445,1804800
514,6,517,1,531,30,515,5495240,525,134395,120956,535,253000,536,8,537,0,538,1804800,539,1804800,539,1804800,540,1804800,541,1804800,541,1804800
615,6,617,1,623,30,616,5477668,621,134395,120956,627,253000,629,8,631,0,632,1804800,633,1804800,634,1804800,635,1804800,637,1804800,638,1804800
716,6,719,1,724,30,717,5460100,722,134395,120956,728,253000,729,8,730,0,732,1804800,733,1804800,733,1804800,739,1804800,740,1804800,740,1804800
816,6,818,1,827,30,817,5361256,825,134395,120956,830,253000,831,8,832,0,833,1804800,833,1804800,834,1804800,835,1804800,835,1804800,836,1804800
917,6,919,1,923,30,917,5310940,922,134395,120956,927,253000,928,8,929,0,929,1804800,930,1804800,930,1804800,931,1804800,931,1804800,935,1804800
1017,6,1019,1,1022,30,1018,5322060,1021,134395,120956,1028,253000,1029,8,1030,0,1031,1804800,1031,1804800,1032,1804800,1032,1804800,1033,1804800,1033,1804800
1119,6,1122,1,1132,30,1120,5328312,1131,134395,120956,1135,253000,1139,8,1141,0,1144,1804800,1145,1804800,1145,1804800,1146,1804800,1147,1804800,1147,1804800
1226,6,1229,1,1234,30,1227,5336376,1233,134395,120956,1237,253000,1237,6,1238,0,1240,1804800,1240,1804800,1241,1804800,1241,1804800,1241,1804800,1242,1804800
1326,6,1329,1,1333,30,1327,5343716,1331,100796,87357,1335,253000,1336,6,1337,0,1337,1804800,1338,1804800,1338,1804800,1339,1804800,1340,1804800,1340,1804800
1427,6,1429,1,1434,30,1428,5347180,1433,100796,87357,1437,253000,1438,6,1438,0,1439,1804800,1440,1804800,1440,1804800,1441,1804800,1442,1804800,1442,1804800
1528,6,1530,1,1536,30,1529,5349260,1535,100796,87357,1539,253000,1540,6,1541,0,1541,1708800,1542,1708800,1542,1708800,1542,1708800,1543,1708800,1543,1708800
1628,6,1630,1,1635,30,1629,5360116,1634,100796,87357,1638,253000,1639,6,1640,0,1641,1804800,1641,1804800,1641,1804800,1642,1804800,1642,1804800,1642,1804800
1729,6,1733,1,1741,30,1731,5384280,1739,100796,87357,1746,253000,1747,6,1748,0,1749,1804800,1750,1804800,1750,1804800,1751,1804800,1752,1804800,1752,1804800
1829,6,1831,1,1835,30,1830,5407748,1834,100796,87357,1845,253000,1847,6,1848,0,1848,1804800,1849,1804800,1849,1804800,1850,1804800,1850,1804800,1850,1804800
1930,6,1932,1,1937,30,1930,5398488,1936,100796,87357,1940,253000,1941,6,1942,0,1942,1804800,1943,1804800,1944,1804800,1944,1804800,1945,1804800,1945,1804800
2031,6,2034,1,2043,30,2032,5410184,2042,100796,87357,2045,253000,2046,6,2047,0,2047,1708800,2047,1708800,2048,1708800,2048,1708800,2049,1708800,2049,1708800
2131,6,2133,1,2142,30,2132,5420888,2138,100796,87357,2145,253000,2146,7,2147,0,2148,1804800,2149,1804800,2150,1804800,2153,1804800,2154,1804800,2154,1804800
2232,6,2235,1,2242,30,2233,5451664,2241,117595,104156,2246,253000,2247,7,2247,0,2248,1804800,2249,1804800,2249,1804800,2250,1804800,2250,1804800,2251,1804800
2331,6,2332,1,2336,30,2332,5454944,2334,117595,104156,2338,253000,2338,7,2339,0,2339,1804800,2339,1804800,2341,1804800,2346,1804800,2346,1804800,2348,1804800
2432,6,2433,1,2438,30,2433,5460188,2436,117595,104156,2441,253000,2442,7,2443,0,2443,1804800,2444,1804800,2444,1804800,2445,1804800,2445,1804800,2445,1804800
2534,6,2535,1,2537,30,2534,5452688,2537,117595,104156,2538,253000,2539,7,2539,0,2539,1804800,2540,1804800,2542,1804800,2543,1804800,2543,1804800,2544,1804800
2635,6,2638,1,2646,30,2636,5454320,2644,117595,104156,2651,253000,2652,7,2653,0,2654,1804800,2655,1804800,2656,1804800,2657,1804800,2658,1804800,2658,1804800
