Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Battery Remaining (%) [%],Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz]
76,6,78,1,0,31,77,5307564,79,256736,66640,2,565000,3,4,4,0,4,1804800,5,1804800,5,1804800,6,1804800,6,1804800,7,1804800
177,6,179,1,80,31,178,5310672,182,256736,66640,82,565000,83,4,84,0,84,1804800,84,1804800,85,1804800,85,1804800,85,1804800,86,1804800
277,6,279,1,183,31,278,5314760,282,256736,66640,186,565000,187,4,188,0,188,1804800,189,1804800,189,1804800,190,1804800,191,1804800,191,1804800
378,6,380,1,283,31,379,5329644,385,128368,0,285,565000,286,2,286,0,287,1804800,287,1804800,288,1804800,288,1804800,289,1804800,289,1804800
478,6,480,1,386,31,479,5323492,490,128368,0,389,565000,390,2,390,0,391,1804800,391,1804800,392,1804800,392,1804800,393,1804800,394,1804800
579,6,580,1,491,31,579,5325600,584,128368,0,506,565000,507,2,516,0,517,1804800,518,1804800,518,1804800,518,1804800,519,1804800,520,1804800
679,6,681,1,585,31,680,5328908,685,128368,0,589,565000,590,2,591,0,592,1804800,592,1804800,593,1804800,593,1804800,594,1804800,594,1804800
779,6,781,1,686,31,780,5336056,785,128368,0,688,565000,689,2,690,0,690,1804800,691,1804800,691,1804800,692,1804800,692,1804800,693,1804800
883,6,885,1,786,31,884,5343172,889,128368,0,789,565000,789,2,790,0,790,1804800,791,1804800,792,1804800,792,1804800,793,1804800,793,1804800
983,6,987,1,891,31,985,5347532,993,128368,0,894,565000,895,2,896,0,897,1804800,901,1804800,902,1804800,903,1804800,904,1804800,905,1804800
1084,6,1086,1,994,31,1085,5350484,1089,128368,0,996,565000,997,2,998,0,999,1804800,1000,1804800,1000,1804800,1001,1804800,1002,1804800,1002,1804800
1185,6,1187,1,1090,31,1186,5352004,1190,128368,0,1093,565000,1094,2,1094,0,1095,1804800,1095,1804800,1096,1804800,1096,1804800,1097,1804800,1097,1804800
1285,6,1287,1,1191,31,1286,5356700,1289,80132,0,1193,430000,1194,2,1195,0,1195,1248000,1196,1516800,1196,1516800,1197,1804800,1197,1804800,1197,1804800
1386,6,1390,1,1289,31,1388,5364420,1395,240397,50301,1291,430000,1292,6,1293,0,1294,1248000,1294,1248000,1294,1248000,1295,1248000,1295,1248000,1296,1248000
1487,6,1489,1,1396,31,1488,5364884,1493,100796,0,1400,253000,1402,6,1402,0,1403,1804800,1404,1804800,1405,1804800,1405,1804800,1406,1804800,1406,1804800
1589,6,1592,1,1496,31,1590,5364924,1596,100796,0,1500,253000,1501,6,1502,0,1503,768000,1504,768000,1505,768000,1506,768000,1506,768000,1507,768000
1691,6,1695,1,1598,31,1692,5365428,1700,100796,0,1601,253000,1602,6,1603,0,1604,1017600,1604,1017600,1605,1017600,1605,1017600,1606,1017600,1606,1017600
1792,6,1795,1,1701,31,1793,5365988,1800,100796,0,1706,253000,1707,6,1708,0,1709,1248000,1709,1248000,1710,1248000,1711,1248000,1711,1248000,1712,1248000
1893,6,1897,1,1802,31,1895,5366280,1902,100796,0,1807,253000,1809,6,1810,0,1811,1248000,1811,1248000,1812,1248000,1813,1248000,1814,1248000,1814,1248000
1994,6,1999,1,1904,31,1997,5367288,2006,100796,0,1908,253000,1910,6,1911,0,1912,1248000,1913,1248000,1913,1248000,1914,1248000,1914,1248000,1914,1248000
2098,6,2101,1,2008,31,2099,5367824,2106,100796,0,2013,253000,2015,6,2016,0,2017,1248000,2017,1248000,2018,1248000,2020,1248000,2021,1248000,2022,1248000
